loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582527589.907754,1,0,131366.1395484167,-0.0321197509765625,-0.2122955322265625,-1.037948608398438,0
1582527589.939592,2,0,131366.1975904167,0.0348968505859375,-0.2439117431640625,-1.058609008789062,0
1582527589.997571,3,0,131366.2556204167,0.014678955078125,-0.2661285400390625,-0.9097747802734375,0
1582527590.055184,4,0,131366.3136214167,0.0589752197265625,-0.2854461669921875,-0.7656707763671875,0
1582527590.113448,5,0,131366.3716484167,0.01171875,-0.240875244140625,-0.6395416259765625,0
1582527590.173615,6,0,131366.4296914167,0.146148681640625,-0.229827880859375,-0.61767578125,0
1582527590.229246,7,0,131366.4877004167,0.0712127685546875,-0.155120849609375,-0.4768829345703125,0
1582527590.287651,8,0,131366.5457414167,0.019500732421875,-0.086181640625,-0.703826904296875,0
1582527590.348546,9,0,131366.6037694167,-0.1214752197265625,-0.022003173828125,-0.7616119384765625,0
1582527590.403759,10,0,131366.6617994167,-0.3358917236328125,0.1631317138671875,-1.108489990234375,0
1582527590.468235,11,0,131366.7198284167,-0.23046875,0.1137847900390625,-1.601455688476562,0
1582527590.521533,12,0,131366.7778524167,-0.2400360107421875,0.2174224853515625,-1.65118408203125,0
1582527590.577594,13,0,131366.8358514167,-0.178070068359375,0.2447357177734375,-1.799453735351562,0
1582527590.637516,14,0,131366.8938874167,0.0842742919921875,0.164825439453125,-1.672698974609375,0
1582527590.696391,15,0,131366.9519124167,0.2816314697265625,0.069610595703125,-1.542831420898438,0
1582527590.756473,16,0,131367.0099374167,0.3785400390625,0.1092376708984375,-1.235260009765625,0
1582527590.817646,17,0,131367.0679334167,0.372833251953125,0.052215576171875,-0.867645263671875,0
1582527590.876561,18,0,131367.1259654167,0.324127197265625,-0.034912109375,-0.765625,0
1582527590.935918,19,0,131367.1840034167,0.16119384765625,-0.0337371826171875,-0.7317047119140625,0
1582527590.996303,20,0,131367.2420104167,0.068511962890625,-0.1245269775390625,-0.73406982421875,0
1582527591.057837,21,0,131367.3000244167,-0.075225830078125,-0.062896728515625,-0.743438720703125,0
1582527591.117642,22,0,131367.3580314167,-0.1818695068359375,0.0014190673828125,-0.7484588623046875,0
1582527591.177614,23,0,131367.4160524167,-0.3133087158203125,-0.144561767578125,-0.8260345458984375,0
1582527591.237474,24,0,131367.4740994167,-0.3532257080078125,-0.2813873291015625,-1.082122802734375,0
1582527591.276871,25,0,131367.5321214167,-0.2805023193359375,-0.3562164306640625,-1.156890869140625,0
1582527591.331996,26,0,131367.5901454167,-0.2515716552734375,-0.093292236328125,-1.235916137695312,0
1582527591.389964,27,0,131367.6481674167,-0.01959228515625,-0.2499542236328125,-0.8983612060546875,0
1582527591.447624,28,0,131367.7061824167,0.0324249267578125,-0.242645263671875,-0.9828643798828125,0
1582527591.506888,29,0,131367.7641964167,-0.0115814208984375,-0.2520751953125,-0.8843231201171875,0
1582527591.56855,30,0,131367.8222334167,-0.0659637451171875,-0.197265625,-1.002609252929688,0
