loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:00:46.848 -0700,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282677.90119975,0.01544189453125,-0.1425628662109375,-0.9526824951171875,0
2020-03-12 17:00:46.908 -0700,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282677.96088375,-0.007110595703125,-0.17059326171875,-1.232666015625,0
2020-03-12 17:00:46.967 -0700,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.02056875,-0.0675811767578125,-0.12457275390625,-1.397491455078125,0
2020-03-12 17:00:47.027 -0700,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.08025275,-0.0745086669921875,-0.1519012451171875,-1.271377563476562,0
2020-03-12 17:00:47.087 -0700,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.13993775,-0.046356201171875,-0.1849517822265625,-1.063735961914062,0
2020-03-12 17:00:47.147 -0700,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.19962175,-0.023773193359375,-0.190216064453125,-0.8854522705078125,0
2020-03-12 17:00:47.206 -0700,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.25930575,-0.01409912109375,-0.211029052734375,-0.8567657470703125,0
2020-03-12 17:00:47.266 -0700,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.31899075,0.0155181884765625,-0.2469024658203125,-0.689422607421875,0
2020-03-12 17:00:47.326 -0700,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.37867475,-0.0199432373046875,-0.2801513671875,-0.6199951171875,0
2020-03-12 17:00:47.385 -0700,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.43835975,-0.03790283203125,-0.2818603515625,-0.597076416015625,0
2020-03-12 17:00:47.445 -0700,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.49804375,-0.0784454345703125,-0.2877655029296875,-0.6779937744140625,0
2020-03-12 17:00:47.505 -0700,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.55772775,-0.114105224609375,-0.2255859375,-0.7383575439453125,0
2020-03-12 17:00:47.564 -0700,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.61741175,-0.07763671875,-0.1787109375,-0.836090087890625,0
2020-03-12 17:00:47.624 -0700,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.67709675,0.0358428955078125,-0.1996002197265625,-1.094070434570312,0
2020-03-12 17:00:47.684 -0700,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.73678075,-0.0258026123046875,-0.1903228759765625,-1.139312744140625,0
2020-03-12 17:00:47.743 -0700,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.79646475,0.0126190185546875,-0.17572021484375,-1.261001586914062,0
2020-03-12 17:00:47.803 -0700,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.85614975,0.013397216796875,-0.1165924072265625,-1.254074096679688,0
2020-03-12 17:00:47.863 -0700,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.91583375,-0.0411376953125,-0.1415557861328125,-1.102401733398438,0
2020-03-12 17:00:47.922 -0700,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282678.97551875,-0.0469818115234375,-0.1016693115234375,-1.044357299804688,0
2020-03-12 17:00:47.982 -0700,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282679.03520275,-0.0613555908203125,-0.1039581298828125,-1.021514892578125,0
