loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 16:42:56.610 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.5756982501,0.2914886474609375,-0.1194305419921875,-0.99029541015625,0
2020-03-12 16:42:56.635 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.60577825,0.18133544921875,-0.179107666015625,-1.052154541015625,0
2020-03-12 16:42:56.665 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.6358592501,0.2278900146484375,-0.1434478759765625,-0.89288330078125,0
2020-03-12 16:42:56.698 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.66593925,0.2795867919921875,-0.1040802001953125,-0.9844512939453125,0
2020-03-12 16:42:56.726 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.6960202501,0.3294219970703125,-0.070556640625,-1.1192626953125,0
2020-03-12 16:42:56.758 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.72610025,0.2187652587890625,-0.0894622802734375,-0.97344970703125,0
2020-03-12 16:42:56.786 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.7561812501,0.2130584716796875,-0.0897369384765625,-0.9517974853515625,0
2020-03-12 16:42:56.819 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.78626125,0.2840576171875,-0.0962066650390625,-1.005828857421875,0
2020-03-12 16:42:56.846 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.81634225,0.220306396484375,-0.0609283447265625,-0.940032958984375,0
2020-03-12 16:42:56.880 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.84642225,0.046844482421875,-0.12481689453125,-0.921142578125,0
2020-03-12 16:42:56.906 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.87650325,-0.201324462890625,-0.16925048828125,-0.99951171875,0
2020-03-12 16:42:56.939 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.90658325,-0.4017791748046875,-0.07879638671875,-0.983917236328125,0
2020-03-12 16:42:56.966 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.93666425,-0.3270721435546875,-0.06463623046875,-1.076019287109375,0
2020-03-12 16:42:56.999 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.96674425,-0.3493194580078125,-0.081512451171875,-1.231475830078125,0
2020-03-12 16:42:57.026 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,599500.99682525,-0.4756011962890625,-0.0818634033203125,-1.36407470703125,0
2020-03-12 16:42:57.060 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.02690525,-0.4334716796875,-0.0617218017578125,-1.498733520507812,0
2020-03-12 16:42:57.087 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.05698625,-0.2233123779296875,-0.0144500732421875,-1.62677001953125,0
2020-03-12 16:42:57.121 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.08706625,-0.0438079833984375,0.0493011474609375,-1.711669921875,0
2020-03-12 16:42:57.147 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.11714725,0.1864471435546875,0.1284637451171875,-1.760910034179688,0
2020-03-12 16:42:57.178 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.14722725,0.3521881103515625,0.230133056640625,-1.559555053710938,0
2020-03-12 16:42:57.207 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.17730825,0.6596832275390625,0.296234130859375,-1.40093994140625,0
2020-03-12 16:42:57.240 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.20738825,0.8859405517578125,0.3181304931640625,-1.106887817382812,0
2020-03-12 16:42:57.267 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.23746925,0.981903076171875,0.2987213134765625,-0.884002685546875,0
2020-03-12 16:42:57.297 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.26754925,0.989654541015625,0.103057861328125,-0.7158050537109375,0
2020-03-12 16:42:57.327 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.29763025,0.7905731201171875,0.04473876953125,-0.493255615234375,0
2020-03-12 16:42:57.357 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.32771025,0.6075897216796875,-0.028839111328125,-0.559906005859375,0
2020-03-12 16:42:57.387 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.35779125,0.4501800537109375,0.0373992919921875,-0.50567626953125,0
2020-03-12 16:42:57.423 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.38787125,0.4058685302734375,0.0679168701171875,-0.3684539794921875,0
2020-03-12 16:42:57.447 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,599501.41795225,0.312408447265625,0.104339599609375,-0.2491607666015625,0
