loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582588662.451163,1,0,192439.381398625,0.141326904296875,-0.3210906982421875,-0.97515869140625,0
1582588662.505778,2,0,192439.439374625,0.2505340576171875,-0.287384033203125,-0.947509765625,0
1582588662.563867,3,0,192439.497377625,0.20001220703125,-0.38861083984375,-1.024093627929688,0
1582588662.62182,4,0,192439.555355625,-0.05255126953125,-0.473602294921875,-1.407333374023438,0
1582588662.682946,5,0,192439.613338625,-0.3401641845703125,-0.374664306640625,-1.302032470703125,0
1582588662.747218,6,0,192439.671321625,-0.4590301513671875,-0.3612518310546875,-1.08465576171875,0
1582588662.805355,7,0,192439.729299625,-0.528778076171875,-0.2229156494140625,-0.799652099609375,0
1582588662.852227,8,0,192439.787263625,-0.2710113525390625,-0.26177978515625,-0.5585479736328125,0
1582588662.914089,9,0,192439.845261625,-0.094512939453125,-0.293365478515625,-0.5432586669921875,0
1582588662.969707,10,0,192439.903244625,0.1657867431640625,-0.2745208740234375,-0.336944580078125,0
1582588663.032906,11,0,192439.961228625,0.3756103515625,-0.1392974853515625,-0.4393310546875,0
1582588663.093519,12,0,192440.019213625,0.57525634765625,-0.2599639892578125,-0.5785675048828125,0
1582588663.143102,13,0,192440.077199625,0.61468505859375,-0.01190185546875,-0.7061309814453125,0
1582588663.201674,14,0,192440.135186625,0.7897491455078125,-0.331939697265625,-1.1336669921875,0
1582588663.262917,15,0,192440.193169625,0.3480987548828125,-0.5245208740234375,-1.847015380859375,0
1582588663.322175,16,0,192440.251140625,-0.475860595703125,-0.2149505615234375,-2.218429565429688,0
1582588663.378798,17,0,192440.309127625,-0.52618408203125,-0.3237762451171875,-1.74029541015625,0
1582588663.440474,18,0,192440.367086625,-0.3773040771484375,-0.25323486328125,-1.205841064453125,0
1582588663.501362,19,0,192440.425084625,-0.2586822509765625,-0.3105926513671875,-0.899383544921875,0
1582588663.561576,20,0,192440.483066625,-0.120269775390625,-0.196044921875,-0.78521728515625,0
1582588663.620932,21,0,192440.541047625,0.0833282470703125,-0.050811767578125,-0.733001708984375,0
1582588663.681367,22,0,192440.599019625,0.354644775390625,-0.1139373779296875,-0.670166015625,0
1582588663.742386,23,0,192440.657003625,0.5316162109375,-0.204498291015625,-0.645904541015625,0
1582588663.800874,24,0,192440.714964625,0.5681304931640625,-0.38262939453125,-0.7572479248046875,0
1582588663.839873,25,0,192440.772957625,0.490081787109375,-0.5664825439453125,-0.76763916015625,0
1582588663.897432,26,0,192440.830943625,0.3526763916015625,-0.51416015625,-1.116485595703125,0
1582588663.955506,27,0,192440.888927625,0.1047210693359375,-0.3792266845703125,-0.9141845703125,0
1582588664.013398,28,0,192440.946905625,0.1475372314453125,-0.38470458984375,-0.9708251953125,0
1582588664.070915,29,0,192441.004871625,0.1570281982421875,-0.382354736328125,-0.855743408203125,0
1582588664.131295,30,0,192441.062795625,0.1873016357421875,-0.3684234619140625,-0.8863677978515625,0
1582588664.188721,31,0,192441.120762625,0.14886474609375,-0.489227294921875,-0.8055419921875,0
