loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 16:50:51.501 -0700,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.53971275,-0.0084228515625,-0.210662841796875,-0.987548828125,0
2020-03-12 16:50:51.555 -0700,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.59939475,-0.04443359375,-0.2000274658203125,-0.9788970947265625,0
2020-03-12 16:50:51.615 -0700,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.65907775,-0.1837921142578125,-0.1874847412109375,-1.007965087890625,0
2020-03-12 16:50:51.675 -0700,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.71875975,-0.308624267578125,-0.1582794189453125,-1.0294189453125,0
2020-03-12 16:50:51.734 -0700,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.77844175,-0.2537384033203125,-0.18048095703125,-0.9385833740234375,0
2020-03-12 16:50:51.794 -0700,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.83812375,-0.1227874755859375,-0.12298583984375,-1.018020629882812,0
2020-03-12 16:50:51.854 -0700,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.89780675,-0.05474853515625,-0.164459228515625,-1.016921997070312,0
2020-03-12 16:50:51.917 -0700,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282082.95748875,0.14208984375,-0.204345703125,-0.9458160400390625,0
2020-03-12 16:50:51.973 -0700,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.017172,0.28948974609375,-0.2185821533203125,-0.9938507080078125,0
2020-03-12 16:50:52.034 -0700,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.076854,0.3805999755859375,-0.225494384765625,-0.9344482421875,0
2020-03-12 16:50:52.092 -0700,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.136537,0.34832763671875,-0.2353515625,-0.9781951904296875,0
2020-03-12 16:50:52.152 -0700,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.196219,0.190704345703125,-0.22833251953125,-1.0123291015625,0
2020-03-12 16:50:52.212 -0700,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.255901,-0.17462158203125,-0.204345703125,-1.006881713867188,0
2020-03-12 16:50:52.271 -0700,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.315584,-0.2095184326171875,-0.1389923095703125,-0.9823760986328125,0
2020-03-12 16:50:52.335 -0700,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.375266,-0.246673583984375,-0.1576385498046875,-0.8859405517578125,0
2020-03-12 16:50:52.391 -0700,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.434948,-0.114105224609375,-0.0960693359375,-0.7922515869140625,0
2020-03-12 16:50:52.451 -0700,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.49463,-0.0893096923828125,-0.05499267578125,-0.736328125,0
2020-03-12 16:50:52.510 -0700,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.554313,-0.023223876953125,-0.0699462890625,-0.861480712890625,0
2020-03-12 16:50:52.570 -0700,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.613995,0.0129547119140625,-0.1627197265625,-1.007919311523438,0
2020-03-12 16:50:52.634 -0700,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.673677,0.0542449951171875,-0.1430511474609375,-1.232955932617188,0
2020-03-12 16:50:52.689 -0700,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.73336,-0.016754150390625,-0.2104339599609375,-1.231704711914062,0
2020-03-12 16:50:52.751 -0700,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.793042,0.0133819580078125,-0.1699981689453125,-1.290756225585938,0
2020-03-12 16:50:52.809 -0700,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.852724,-0.04937744140625,-0.07196044921875,-1.088897705078125,0
2020-03-12 16:50:52.868 -0700,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.912406,-0.005218505859375,-0.0680389404296875,-1.050872802734375,0
2020-03-12 16:50:52.928 -0700,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282083.972089,-0.0467681884765625,-0.11334228515625,-1.015380859375,0
