loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 16:50:42.364 -0700,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.408323875,-0.0597991943359375,-0.1968994140625,-0.984100341796875,0
2020-03-12 16:50:42.424 -0700,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.468005875,-0.1824493408203125,-0.200927734375,-1.018722534179688,0
2020-03-12 16:50:42.484 -0700,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.527687875,-0.144287109375,-0.1789703369140625,-0.993072509765625,0
2020-03-12 16:50:42.543 -0700,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.587370875,-0.0650177001953125,-0.1829833984375,-0.9938201904296875,0
2020-03-12 16:50:42.603 -0700,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.647052875,-0.040557861328125,-0.21759033203125,-1.017684936523438,0
2020-03-12 16:50:42.662 -0700,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.706734875,0.05413818359375,-0.2421722412109375,-0.975494384765625,0
2020-03-12 16:50:42.722 -0700,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.766416875,0.1534576416015625,-0.2198486328125,-0.9939422607421875,0
2020-03-12 16:50:42.782 -0700,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.826099875,0.146575927734375,-0.2226409912109375,-0.91143798828125,0
2020-03-12 16:50:42.841 -0700,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.885781875,0.096343994140625,-0.221832275390625,-0.8002777099609375,0
2020-03-12 16:50:42.901 -0700,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282073.945463875,0.0410919189453125,-0.137359619140625,-0.76702880859375,0
2020-03-12 16:50:42.961 -0700,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.005147375,-0.059783935546875,-0.1037139892578125,-0.731353759765625,0
2020-03-12 16:50:43.021 -0700,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.064829375,-0.0816802978515625,-0.10540771484375,-0.9684906005859375,0
2020-03-12 16:50:43.080 -0700,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.124511375,-0.215057373046875,-0.0369873046875,-1.061813354492188,0
2020-03-12 16:50:43.140 -0700,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.184193375,-0.2856903076171875,-0.010589599609375,-1.21307373046875,0
2020-03-12 16:50:43.200 -0700,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.243876375,-0.2401580810546875,-0.108917236328125,-1.196029663085938,0
2020-03-12 16:50:43.259 -0700,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.303558375,0.0471343994140625,-0.11285400390625,-1.48492431640625,0
2020-03-12 16:50:43.319 -0700,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.363240375,0.21173095703125,-0.0912322998046875,-1.402603149414062,0
2020-03-12 16:50:43.379 -0700,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.422923375,0.0951385498046875,-0.1268463134765625,-1.058547973632812,0
2020-03-12 16:50:43.438 -0700,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.482605375,0.054473876953125,-0.1152191162109375,-0.873931884765625,0
2020-03-12 16:50:43.498 -0700,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.542287375,0.08245849609375,-0.116607666015625,-0.6546783447265625,0
2020-03-12 16:50:43.558 -0700,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.601969375,0.00018310546875,-0.1415557861328125,-0.6974639892578125,0
2020-03-12 16:50:43.618 -0700,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.661652375,0.0165557861328125,-0.192901611328125,-0.8012237548828125,0
2020-03-12 16:50:43.677 -0700,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.721334375,-0.0387115478515625,-0.1838836669921875,-0.997955322265625,0
2020-03-12 16:50:43.737 -0700,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.781016375,0.0341644287109375,-0.1636962890625,-1.086929321289062,0
2020-03-12 16:50:43.796 -0700,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.840699375,0.00726318359375,-0.17236328125,-1.022979736328125,0
2020-03-12 16:50:43.856 -0700,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,282074.900381375,7.62939453125e-05,-0.200653076171875,-0.9888763427734375,0
