loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 16:46:57.482 -0700,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.528120375,-0.000762939453125,-0.2882537841796875,-0.9961700439453125,0
2020-03-12 16:46:57.539 -0700,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.587800375,-0.046173095703125,-0.27105712890625,-0.901702880859375,0
2020-03-12 16:46:57.599 -0700,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.647481375,-0.0768585205078125,-0.2513275146484375,-0.813323974609375,0
2020-03-12 16:46:57.658 -0700,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.707162375,-0.1344451904296875,-0.1891021728515625,-0.70855712890625,0
2020-03-12 16:46:57.718 -0700,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.766843375,-0.145782470703125,-0.1183013916015625,-0.698699951171875,0
2020-03-12 16:46:57.778 -0700,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.8265249167,-0.13067626953125,-0.0494384765625,-0.7551727294921875,0
2020-03-12 16:46:57.837 -0700,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.8862059167,-0.0660400390625,-0.0408782958984375,-1.105239868164062,0
2020-03-12 16:46:57.897 -0700,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281848.9458869167,0.01422119140625,-0.080322265625,-1.263900756835938,0
2020-03-12 16:46:57.957 -0700,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.0055679167,0.081878662109375,-0.1935272216796875,-1.45843505859375,0
2020-03-12 16:46:58.016 -0700,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.0652489167,0.019561767578125,-0.1949920654296875,-1.535232543945312,0
2020-03-12 16:46:58.076 -0700,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.1249299167,-0.06158447265625,-0.141815185546875,-1.50201416015625,0
2020-03-12 16:46:58.136 -0700,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.1846099167,-0.0677642822265625,-0.0921783447265625,-1.230697631835938,0
2020-03-12 16:46:58.196 -0700,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.2442909167,0.008453369140625,-0.109405517578125,-0.86077880859375,0
2020-03-12 16:46:58.255 -0700,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.3039719167,0.0246124267578125,-0.186859130859375,-0.5627593994140625,0
2020-03-12 16:46:58.315 -0700,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.3636529167,0.0708160400390625,-0.217498779296875,-0.6278228759765625,0
2020-03-12 16:46:58.375 -0700,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.4233339167,0.0586700439453125,-0.1600341796875,-0.6897735595703125,0
2020-03-12 16:46:58.434 -0700,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.4830149167,0.1171417236328125,-0.2642364501953125,-0.660491943359375,0
2020-03-12 16:46:58.494 -0700,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.5426959167,0.1899566650390625,-0.2699737548828125,-0.7257232666015625,0
2020-03-12 16:46:58.554 -0700,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.6023769167,0.232879638671875,-0.22991943359375,-0.8887939453125,0
2020-03-12 16:46:58.613 -0700,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.6620579167,-0.0212554931640625,-0.1616668701171875,-0.9783172607421875,0
2020-03-12 16:46:58.673 -0700,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.7217389167,-0.0211334228515625,-0.1669769287109375,-1.162033081054688,0
2020-03-12 16:46:58.733 -0700,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.7814195,-0.1202392578125,-0.1431121826171875,-1.13970947265625,0
2020-03-12 16:46:58.792 -0700,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.8410995,-0.1031341552734375,-0.074798583984375,-1.213577270507812,0
2020-03-12 16:46:58.852 -0700,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.9007805,-0.071044921875,-0.0898284912109375,-1.168914794921875,0
2020-03-12 16:46:58.912 -0700,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281849.9604615,-0.041839599609375,-0.1169891357421875,-1.1029052734375,0
2020-03-12 16:46:58.972 -0700,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281850.0201425,0.0001983642578125,-0.1128082275390625,-0.9859619140625,0
2020-03-12 16:46:59.031 -0700,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281850.0798235,-0.049224853515625,-0.1190032958984375,-0.9792327880859375,0
2020-03-12 16:46:59.091 -0700,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281850.1395045,0.018035888671875,-0.1491851806640625,-0.9985504150390625,0
