loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 16:43:21.611 -0700,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.66127325,-0.00299072265625,-0.173583984375,-0.9992828369140625,0
2020-03-12 16:43:21.671 -0700,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.72095425,-0.000457763671875,-0.16583251953125,-0.9571990966796875,0
2020-03-12 16:43:21.730 -0700,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.78063425,-0.0884552001953125,-0.1489410400390625,-1.014022827148438,0
2020-03-12 16:43:21.790 -0700,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.84031525,-0.203155517578125,-0.18304443359375,-0.9969482421875,0
2020-03-12 16:43:21.849 -0700,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.89999625,-0.2772216796875,-0.1526947021484375,-0.9994049072265625,0
2020-03-12 16:43:21.909 -0700,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281632.95967625,-0.2075958251953125,-0.1439208984375,-0.972869873046875,0
2020-03-12 16:43:21.969 -0700,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.01935725,-0.0703582763671875,-0.1308441162109375,-0.984832763671875,0
2020-03-12 16:43:22.029 -0700,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.07903725,0.0362548828125,-0.17950439453125,-0.952239990234375,0
2020-03-12 16:43:22.088 -0700,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.13871825,0.218536376953125,-0.152130126953125,-0.9844970703125,0
2020-03-12 16:43:22.148 -0700,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.19839825,0.2799835205078125,-0.163116455078125,-0.90374755859375,0
2020-03-12 16:43:22.208 -0700,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.25807925,0.3246917724609375,-0.182861328125,-0.867095947265625,0
2020-03-12 16:43:22.267 -0700,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.31776025,0.270355224609375,-0.1590576171875,-0.8155670166015625,0
2020-03-12 16:43:22.327 -0700,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.37744025,0.1063232421875,-0.080780029296875,-0.8714141845703125,0
2020-03-12 16:43:22.387 -0700,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.43712125,-0.0709686279296875,-0.0655517578125,-1.056228637695312,0
2020-03-12 16:43:22.447 -0700,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.49680125,-0.1549835205078125,0.0178375244140625,-1.14892578125,0
2020-03-12 16:43:22.506 -0700,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.55648225,-0.3453521728515625,0.0289154052734375,-1.1973876953125,0
2020-03-12 16:43:22.566 -0700,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.616158875,-0.383636474609375,-0.0879974365234375,-1.079391479492188,0
2020-03-12 16:43:22.626 -0700,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.675839875,-0.34136962890625,-0.034454345703125,-1.016342163085938,0
2020-03-12 16:43:22.685 -0700,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.735520875,-0.376739501953125,0.0434722900390625,-1.060791015625,0
2020-03-12 16:43:22.745 -0700,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.795200875,-0.085052490234375,0.059356689453125,-1.088394165039062,0
2020-03-12 16:43:22.804 -0700,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.854881875,0.1774749755859375,-0.026702880859375,-0.9926910400390625,0
2020-03-12 16:43:22.864 -0700,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.914561875,0.2584686279296875,-0.10015869140625,-1.039169311523438,0
2020-03-12 16:43:22.924 -0700,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281633.974242875,0.22271728515625,-0.081512451171875,-0.9683380126953125,0
2020-03-12 16:43:22.983 -0700,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281634.033922875,0.1202239990234375,-0.1053619384765625,-1.00909423828125,0
2020-03-12 16:43:23.043 -0700,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281634.093603875,0.0133209228515625,-0.05877685546875,-0.9612579345703125,0
2020-03-12 16:43:23.103 -0700,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281634.153284875,-0.02435302734375,-0.0550689697265625,-0.990875244140625,0
2020-03-12 16:43:23.162 -0700,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,281634.212964875,-0.0188446044921875,-0.1099395751953125,-1.1171875,0
