loggingTime,loggingSample,label,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ
1582437864,109,3,0.00541687,-0.136993408,-0.992492676
1582437864,110,3,0.027145386,-0.120910645,-1.039199829
1582437864,111,3,0.028091431,-0.114715576,-1.029800415
1582437864,112,3,0.020095825,-0.121673584,-0.994537354
1582437864,113,3,0.035476685,-0.105407715,-1.017700195
1582437864,114,3,0.021072388,-0.106750488,-1.047317505
1582437864,115,3,0.014312744,-0.104125977,-1.027084351
1582437864,116,3,0.028182983,-0.096328735,-1.020874023
1582437865,117,3,0.080932617,-0.068939209,-1.145217896
1582437865,118,3,0.151031494,-0.031005859,-1.304336548
1582437865,119,3,-0.03263855,-0.18800354,-1.324752808
1582437865,120,3,-0.027908325,-0.231735229,-1.287872314
1582437865,121,3,-0.019378662,-0.199356079,-1.356536865
1582437865,122,3,-0.04788208,-0.161224365,-1.163574219
1582437865,123,3,0.062011719,-0.065460205,-0.819625854
1582437865,124,3,0.079162598,-0.198669434,-0.562744141
1582437865,125,3,-0.047042847,-0.292297363,-0.646316528
1582437865,126,3,0.035217285,-0.283859253,-0.708480835
1582437865,127,3,0.14781189,-0.228729248,-0.73008728
1582437865,128,3,0.061355591,-0.264221191,-0.840774536
1582437865,129,3,-0.026123047,-0.286575317,-0.829803467
1582437865,130,3,-0.178695679,-0.213272095,-0.691299438
1582437865,131,3,-0.164901733,-0.172531128,-0.568115234
1582437865,132,3,-0.248565674,-0.204589844,-0.614440918
1582437865,133,3,0.088150024,-0.155227661,-1.078735352
1582437866,134,3,0.468154907,-0.100524902,-1.758636475
1582437866,135,3,0.352722168,-0.181976318,-1.708648682
1582437866,136,3,0.195098877,-0.241958618,-1.17565918
1582437866,137,3,0.102050781,-0.161880493,-1.048965454
1582437866,138,3,-0.066268921,-0.120819092,-0.99798584
1582437866,139,3,-0.043212891,-0.089538574,-1.016540527
1582437866,140,3,-0.010772705,-0.092163086,-1.057281494
1582437866,141,3,-0.063201904,-0.096466064,-1.001266479
1582437866,142,3,-0.025512695,-0.135925293,-0.984802246
1582437866,143,3,-0.094299316,-0.146759033,-0.999176025
1582437866,144,3,-0.066726685,-0.127990723,-1.009262085
1582437866,145,3,-0.039932251,-0.103942871,-1.043441772
1582437866,146,3,-0.067169189,-0.129898071,-1.002700806
1582437866,147,3,-0.03503418,-0.125289917,-0.990707397
1582437866,148,3,-0.061126709,-0.104705811,-1.03742981
1582437866,149,3,-0.014297485,-0.093002319,-1.049224854
1582437866,150,3,-0.063156128,-0.133163452,-1.025924683
1582437867,151,3,-0.016159058,-0.110961914,-0.947280884
1582437867,152,3,-0.050857544,-0.130325317,-1.071258545
