loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582528306.331461,1,0,132082.5845336667,-0.062896728515625,-0.20294189453125,-1.016250610351562,0
1582528306.38151,2,0,132082.6425166667,-0.064483642578125,-0.2146148681640625,-1.133819580078125,0
1582528306.440029,3,0,132082.7005406667,0.036865234375,-0.3300018310546875,-1.305511474609375,0
1582528306.496615,4,0,132082.7585346667,-0.0297088623046875,-0.2642364501953125,-1.737533569335938,0
1582528306.555718,5,0,132082.8164476667,-0.0953521728515625,-0.289581298828125,-1.255386352539062,0
1582528306.615942,6,0,132082.8744696667,-0.097015380859375,-0.2858428955078125,-1.1673583984375,0
1582528306.672364,7,0,132082.9324686667,-0.155029296875,-0.1983642578125,-0.8058319091796875,0
1582528306.734873,8,0,132082.9904696667,0.04742431640625,-0.2399749755859375,-0.6762847900390625,0
1582528306.793415,9,0,132083.0484736667,0.109283447265625,-0.17071533203125,-0.3401641845703125,0
1582528306.850782,10,0,132083.1064596667,0.087371826171875,-0.2974090576171875,-0.365478515625,0
1582528306.909501,11,0,132083.1644456667,-0.10919189453125,-0.2918701171875,-0.284149169921875,0
1582528306.971879,12,0,132083.2224846667,-0.1970367431640625,-0.2110595703125,-0.369720458984375,0
1582528307.032742,13,0,132083.2804786667,-0.2846221923828125,-0.068023681640625,-0.6234588623046875,0
1582528307.092574,14,0,132083.3384766667,0.0284423828125,-0.1543121337890625,-0.982330322265625,0
1582528307.150778,15,0,132083.3964606667,0.37548828125,-0.417755126953125,-1.159896850585938,0
1582528307.210458,16,0,132083.4544416667,0.330291748046875,-0.2850189208984375,-1.571792602539062,0
1582528307.270682,17,0,132083.5124346667,0.1466522216796875,-0.2612152099609375,-1.390289306640625,0
1582528307.331803,18,0,132083.5704436667,0.0802154541015625,-0.198944091796875,-1.367294311523438,0
1582528307.392707,19,0,132083.6284356667,0.0428619384765625,-0.241119384765625,-1.1676025390625,0
1582528307.428755,20,0,132083.6864386667,0.0023345947265625,-0.2190399169921875,-1.0499267578125,0
1582528307.485581,21,0,132083.7444256667,-0.058868408203125,-0.1866607666015625,-0.9535369873046875,0
1582528307.544367,22,0,132083.8024286667,-0.0561981201171875,-0.239837646484375,-0.89788818359375,0
1582528307.600414,23,0,132083.8604506667,-0.002288818359375,-0.1933135986328125,-1.0633544921875,0
