loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:10:20.202 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.2053515001,0.0119171142578125,-0.0664520263671875,-1.021316528320312,0
2020-03-12 17:10:20.230 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.2354345,-0.0080413818359375,-0.0782318115234375,-0.9883880615234375,0
2020-03-12 17:10:20.261 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.2655175,0.0156402587890625,-0.062164306640625,-1.0126953125,0
2020-03-12 17:10:20.292 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.2956015001,0.027069091796875,-0.0647735595703125,-1.052932739257812,0
2020-03-12 17:10:20.321 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.3256845,0.0208282470703125,-0.07318115234375,-1.039566040039062,0
2020-03-12 17:10:20.353 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.3557675,0.013397216796875,-0.0645599365234375,-1.0125732421875,0
2020-03-12 17:10:20.381 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.3858515001,0.0146484375,-0.0618743896484375,-1.026504516601562,0
2020-03-12 17:10:20.428 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.4159345001,0.0142059326171875,-0.069976806640625,-1.011016845703125,0
2020-03-12 17:10:20.441 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.4460175,0.021026611328125,-0.0718536376953125,-1.030731201171875,0
2020-03-12 17:10:20.473 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.4761015,0.0125579833984375,-0.0818634033203125,-1.052566528320312,0
2020-03-12 17:10:20.501 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.5061845001,-0.0028076171875,-0.10736083984375,-1.09051513671875,0
2020-03-12 17:10:20.533 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.5362675,-0.017669677734375,-0.134552001953125,-1.152816772460938,0
2020-03-12 17:10:20.561 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.5663505,-0.0090789794921875,-0.1536102294921875,-1.214111328125,0
2020-03-12 17:10:20.592 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.5964345001,-0.04644775390625,-0.1533355712890625,-1.217453002929688,0
2020-03-12 17:10:20.622 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.6265175,-0.084228515625,-0.1476287841796875,-1.20904541015625,0
2020-03-12 17:10:20.670 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.6566005,-0.094146728515625,-0.14581298828125,-1.246414184570312,0
2020-03-12 17:10:20.682 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.6866845001,-0.0965118408203125,-0.1274566650390625,-1.253662109375,0
2020-03-12 17:10:20.713 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.7167675,-0.108184814453125,-0.126434326171875,-1.172897338867188,0
2020-03-12 17:10:20.742 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.7468505,-0.142822265625,-0.1489105224609375,-1.112213134765625,0
2020-03-12 17:10:20.773 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.7769345001,-0.15667724609375,-0.176055908203125,-1.074081420898438,0
2020-03-12 17:10:20.802 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.8070175,-0.153717041015625,-0.1926116943359375,-1.008377075195312,0
2020-03-12 17:10:20.848 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.8371005,-0.159088134765625,-0.1870269775390625,-1.004623413085938,0
2020-03-12 17:10:20.862 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.8671845001,-0.1773681640625,-0.195343017578125,-1.037765502929688,0
2020-03-12 17:10:20.910 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.8972675001,-0.1643829345703125,-0.187530517578125,-0.983489990234375,0
2020-03-12 17:10:20.922 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.9273505,-0.15557861328125,-0.17645263671875,-0.910675048828125,0
2020-03-12 17:10:20.971 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.9574335001,-0.168609619140625,-0.16180419921875,-0.9115753173828125,0
2020-03-12 17:10:20.982 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,601144.9875175001,-0.1384429931640625,-0.1729278564453125,-0.8681182861328125,0
2020-03-12 17:10:21.030 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.0176005,-0.1041259765625,-0.1843719482421875,-0.827392578125,0
2020-03-12 17:10:21.043 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.04768275,-0.09368896484375,-0.189849853515625,-0.848907470703125,0
2020-03-12 17:10:21.092 -0700,30,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.07776675,-0.0751190185546875,-0.20025634765625,-0.8667144775390625,0
2020-03-12 17:10:21.103 -0700,31,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.1078497501,-0.02734375,-0.2248687744140625,-0.8204498291015625,0
2020-03-12 17:10:21.133 -0700,32,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.13793275,-0.0016632080078125,-0.2470550537109375,-0.82330322265625,0
2020-03-12 17:10:21.163 -0700,33,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.16801675,-0.01104736328125,-0.252288818359375,-0.7903594970703125,0
2020-03-12 17:10:21.210 -0700,34,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.1980997501,-0.018035888671875,-0.2749176025390625,-0.76495361328125,0
2020-03-12 17:10:21.223 -0700,35,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.2281827501,-0.0247802734375,-0.307586669921875,-0.7050933837890625,0
2020-03-12 17:10:21.269 -0700,36,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.25826675,-0.03253173828125,-0.331817626953125,-0.689697265625,0
2020-03-12 17:10:21.283 -0700,37,78C976E1-270D-4701-AAC5-034656C6C0A8,601145.28834975,-0.061248779296875,-0.3287506103515625,-0.7164154052734375,0
