loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:19:17.800 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139434.818855,0.035430908203125,-0.28570556640625,-0.98516845703125,0
2020-03-05 18:19:17.860 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139434.878546,0.060455322265625,-0.3074493408203125,-1.005111694335938,0
2020-03-05 18:19:17.920 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139434.938238,0.070556640625,-0.3061065673828125,-0.959442138671875,0
2020-03-05 18:19:17.979 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139434.997929,0.0620574951171875,-0.2995147705078125,-0.935638427734375,0
2020-03-05 18:19:18.039 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.057621,0.048736572265625,-0.2954864501953125,-0.89013671875,0
2020-03-05 18:19:18.099 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.117312,0.023651123046875,-0.27734375,-0.874908447265625,0
2020-03-05 18:19:18.158 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.177004,6.103515625e-05,-0.263763427734375,-0.8520965576171875,0
2020-03-05 18:19:18.218 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.236695,-0.05987548828125,-0.241485595703125,-0.9225311279296875,0
2020-03-05 18:19:18.278 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.296387,-0.097625732421875,-0.227783203125,-0.926971435546875,0
2020-03-05 18:19:18.337 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.356078,-0.128021240234375,-0.21624755859375,-1.024505615234375,0
2020-03-05 18:19:18.397 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.41577,-0.143707275390625,-0.1739654541015625,-0.978546142578125,0
2020-03-05 18:19:18.457 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.475461,-0.1314849853515625,-0.166351318359375,-1.074325561523438,0
2020-03-05 18:19:18.517 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.535153125,-0.1009521484375,-0.1538238525390625,-1.14007568359375,0
2020-03-05 18:19:18.576 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.594844125,-0.0641632080078125,-0.1638641357421875,-1.133682250976562,0
2020-03-05 18:19:18.636 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.654536125,-0.00677490234375,-0.17657470703125,-1.134429931640625,0
2020-03-05 18:19:18.696 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.714227125,0.0164794921875,-0.1782073974609375,-1.045516967773438,0
2020-03-05 18:19:18.755 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.773919125,0.0359039306640625,-0.2074127197265625,-0.9635772705078125,0
2020-03-05 18:19:18.815 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139435.833610125,-0.00518798828125,-0.2238616943359375,-0.9397125244140625,0
