loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:26:46.398 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.4088662917,-0.025848388671875,-0.2984619140625,-0.981597900390625,0
2020-03-05 18:26:46.462 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.4685592917,-0.070037841796875,-0.30169677734375,-0.97137451171875,0
2020-03-05 18:26:46.522 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.5282522917,-0.1010589599609375,-0.299407958984375,-0.97381591796875,0
2020-03-05 18:26:46.583 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.5879452917,-0.1151885986328125,-0.289031982421875,-0.9705810546875,0
2020-03-05 18:26:46.643 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.6476392917,-0.079864501953125,-0.2896728515625,-0.950164794921875,0
2020-03-05 18:26:46.704 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.7073322917,-0.0576324462890625,-0.2996826171875,-0.863433837890625,0
2020-03-05 18:26:46.762 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.7670252917,-0.013671875,-0.2766265869140625,-0.8558197021484375,0
2020-03-05 18:26:46.824 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.8267182917,0.0134124755859375,-0.2544708251953125,-0.8858184814453125,0
2020-03-05 18:26:46.884 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.8864112917,0.0561676025390625,-0.2372894287109375,-0.9449920654296875,0
2020-03-05 18:26:46.943 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139883.946104375,0.0991668701171875,-0.236297607421875,-0.9401702880859375,0
2020-03-05 18:26:47.004 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.005798375,0.0935516357421875,-0.1869354248046875,-1.035171508789062,0
2020-03-05 18:26:47.063 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.065491375,0.0601348876953125,-0.1804351806640625,-1.034225463867188,0
2020-03-05 18:26:47.127 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.125184375,0.0575408935546875,-0.1617431640625,-1.042800903320312,0
2020-03-05 18:26:47.185 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.184877375,-0.0052337646484375,-0.13873291015625,-1.008132934570312,0
2020-03-05 18:26:47.242 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.244570375,-0.01422119140625,-0.14715576171875,-1.107345581054688,0
2020-03-05 18:26:47.303 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.304263375,-0.0387725830078125,-0.1153411865234375,-1.08941650390625,0
2020-03-05 18:26:47.364 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.363957375,-0.0446929931640625,-0.104644775390625,-1.054351806640625,0
2020-03-05 18:26:47.422 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.423650375,-0.0801849365234375,-0.13970947265625,-1.030685424804688,0
2020-03-05 18:26:47.483 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.483343375,-0.0789794921875,-0.1367340087890625,-0.9879608154296875,0
2020-03-05 18:26:47.543 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139884.543036375,-0.06683349609375,-0.17022705078125,-0.9530487060546875,0
