loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:30:07.817 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.8233547917,0.22906494140625,-0.223602294921875,-0.9174041748046875,0
2020-03-12 17:30:07.836 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.8534387917,0.269439697265625,-0.223419189453125,-0.9612274169921875,0
2020-03-12 17:30:07.872 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.8835227917,0.3849639892578125,-0.21026611328125,-0.9018707275390625,0
2020-03-12 17:30:07.899 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.9136067918,0.2853546142578125,-0.163055419921875,-0.7850189208984375,0
2020-03-12 17:30:07.934 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.9436907917,0.3817596435546875,-0.1697540283203125,-0.9024505615234375,0
2020-03-12 17:30:07.956 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,602331.9737757917,0.438507080078125,-0.13568115234375,-0.869140625,0
2020-03-12 17:30:07.994 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.0038597917,0.471038818359375,-0.1044769287109375,-0.828216552734375,0
2020-03-12 17:30:08.017 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.0339437918,0.4832000732421875,-0.078948974609375,-0.719024658203125,0
2020-03-12 17:30:08.055 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.0640277917,0.418212890625,-0.053009033203125,-0.7350006103515625,0
2020-03-12 17:30:08.077 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.0941117917,0.3406524658203125,-0.13433837890625,-0.848236083984375,0
2020-03-12 17:30:08.111 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.12419525,0.17596435546875,-0.1384429931640625,-0.912811279296875,0
2020-03-12 17:30:08.137 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.1542802501,0.051544189453125,-0.1231689453125,-1.005447387695312,0
2020-03-12 17:30:08.177 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.18436425,-0.0145416259765625,-0.1119537353515625,-1.117630004882812,0
2020-03-12 17:30:08.200 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.21444825,-0.0849609375,-0.06512451171875,-1.141220092773438,0
2020-03-12 17:30:08.234 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.24453225,-0.1570281982421875,-0.0637664794921875,-1.178695678710938,0
2020-03-12 17:30:08.258 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.2746162501,-0.2288665771484375,-0.026519775390625,-1.258010864257812,0
2020-03-12 17:30:08.296 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.30470125,-0.25469970703125,0.023773193359375,-1.278182983398438,0
2020-03-12 17:30:08.317 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.33478525,-0.2087249755859375,0.0623779296875,-1.261459350585938,0
2020-03-12 17:30:08.355 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.36486925,-0.1391143798828125,0.1060791015625,-1.179229736328125,0
2020-03-12 17:30:08.377 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.3949532501,-0.0538482666015625,0.1388092041015625,-1.185836791992188,0
2020-03-12 17:30:08.413 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.42503725,0.031341552734375,0.132781982421875,-1.18487548828125,0
2020-03-12 17:30:08.438 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.45512125,0.0896148681640625,0.07720947265625,-1.199234008789062,0
2020-03-12 17:30:08.475 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.4852052501,0.08184814453125,0.085540771484375,-1.190536499023438,0
2020-03-12 17:30:08.499 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.5152902501,0.214599609375,0.1086578369140625,-1.2501220703125,0
2020-03-12 17:30:08.532 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.54537425,0.3497161865234375,0.1188201904296875,-1.310104370117188,0
2020-03-12 17:30:08.558 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.57545825,0.369964599609375,0.1155548095703125,-1.2484130859375,0
2020-03-12 17:30:08.596 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.6055422501,0.51373291015625,0.1514434814453125,-1.157302856445312,0
2020-03-12 17:30:08.618 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.6356262501,0.7181396484375,0.15484619140625,-1.09783935546875,0
2020-03-12 17:30:08.658 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,602332.66571125,0.83001708984375,0.131378173828125,-1.096969604492188,0
