loggingTime,loggingSample,identifierForVendor,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,label
1582531448.03126,1,0,135224.2819207917,0.1278533935546875,-0.36138916015625,-1.258468627929688,0
1582531448.062273,2,0,135224.3398977917,0.3936614990234375,-0.3849639892578125,-1.630859375,0
1582531448.115966,3,0,135224.3979187917,0.4059600830078125,-0.308563232421875,-1.160919189453125,0
1582531448.176293,4,0,135224.4559187917,0.3551483154296875,-0.3234405517578125,-0.7799224853515625,0
1582531448.237425,5,0,135224.5139167917,0.0737762451171875,-0.1726531982421875,-0.36767578125,0
1582531448.298719,6,0,135224.5719147917,-0.1206512451171875,-0.256805419921875,-0.288238525390625,0
1582531448.338172,7,0,135224.6298817917,-0.391021728515625,-0.00653076171875,-0.4033050537109375,0
1582531448.397479,8,0,135224.6878827917,-0.2867584228515625,-0.165679931640625,-0.5912322998046875,0
1582531448.455379,9,0,135224.745818,-0.345123291015625,0.2183380126953125,-0.6143798828125,0
1582531448.513518,10,0,135224.803819,0.0395050048828125,-0.035186767578125,-0.863067626953125,0
1582531448.574076,11,0,135224.861819,0.04718017578125,0.0854034423828125,-1.000320434570312,0
1582531448.628263,12,0,135224.919809,0.3632354736328125,-0.23455810546875,-1.82135009765625,0
1582531448.690645,13,0,135224.977789,0.3094024658203125,-0.160888671875,-2.421249389648438,0
1582531448.743694,14,0,135225.035776,-0.0198516845703125,0.0874786376953125,-1.869476318359375,0
1582531448.803789,15,0,135225.093788,0.3787384033203125,-0.2419586181640625,-1.3524169921875,0
1582531448.861804,16,0,135225.151778,0.2395172119140625,-0.03167724609375,-1.115982055664062,0
1582531448.917806,17,0,135225.209753,-0.13812255859375,0.23370361328125,-0.528350830078125,0
1582531448.975743,18,0,135225.267754,-0.8942718505859375,0.4639434814453125,-0.6238555908203125,0
1582531449.036243,19,0,135225.325743,-1.07513427734375,0.4347076416015625,-0.71240234375,0
1582531449.096297,20,0,135225.383677,-0.873809814453125,0.4064788818359375,-0.97576904296875,0
1582531449.153954,21,0,135225.441691,-0.3767547607421875,0.260833740234375,-0.9044647216796875,0
1582531449.211122,22,0,135225.499689,0.13360595703125,0.101593017578125,-0.971343994140625,0
1582531449.267893,23,0,135225.557686,0.4398956298828125,6.103515625e-05,-1.014846801757812,0
1582531449.325455,24,0,135225.615667,0.8577117919921875,-0.4237823486328125,-1.403076171875,0
1582531449.386136,25,0,135225.673681,0.2220001220703125,-0.013916015625,-1.031631469726562,0
1582531449.442945,26,0,135225.731659,0.068267822265625,-0.1190338134765625,-1.131088256835938,0
1582531449.502123,27,0,135225.789682,-0.06121826171875,-0.125457763671875,-1.03558349609375,0
1582531449.560346,28,0,135225.847681,-0.0686798095703125,-0.095855712890625,-0.9976959228515625,0
1582531449.620708,29,0,135225.905672,-0.0882110595703125,-0.105316162109375,-1.012939453125,0
1582531449.67844,30,0,135225.963665,-0.10009765625,-0.158721923828125,-0.859466552734375,0
1582531449.739254,31,0,135226.02165,-0.086151123046875,-0.1604461669921875,-1.037887573242188,0
1582531449.800585,32,0,135226.079663,-0.1561431884765625,-0.0050811767578125,-0.952728271484375,0
