loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-12 19:37:21.027 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651492.8488905,-0.001434326171875,-0.127899169921875,-1.094146728515625,0
2020-04-12 19:37:21.089 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651492.9085795,0.011383056640625,-0.1100921630859375,-1.106719970703125,0
2020-04-12 19:37:21.151 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651492.968267042,0.0499420166015625,-0.1153564453125,-1.121307373046875,0
2020-04-12 19:37:21.211 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.027955042,0.077911376953125,-0.1468353271484375,-1.120193481445312,0
2020-04-12 19:37:21.270 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.087643042,0.074493408203125,-0.1719207763671875,-1.13543701171875,0
2020-04-12 19:37:21.330 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.147331042,0.0854034423828125,-0.15167236328125,-1.086944580078125,0
2020-04-12 19:37:21.390 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.207019042,0.10565185546875,-0.168731689453125,-1.033172607421875,0
2020-04-12 19:37:21.451 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.266708042,0.112457275390625,-0.2008819580078125,-0.9188690185546875,0
2020-04-12 19:37:21.511 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.326396042,0.09869384765625,-0.2150421142578125,-0.84844970703125,0
2020-04-12 19:37:21.571 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.386084042,0.09808349609375,-0.2388763427734375,-0.76751708984375,0
2020-04-12 19:37:21.628 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.445772042,0.030670166015625,-0.2707061767578125,-0.68096923828125,0
2020-04-12 19:37:21.693 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.505460042,-0.0043792724609375,-0.27008056640625,-0.704010009765625,0
2020-04-12 19:37:21.751 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651493.565148042,-0.075714111328125,-0.30120849609375,-0.72930908203125,0
