loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:53:16.844 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141473.832136625,-0.0109710693359375,-0.2744903564453125,-0.895660400390625,0
2020-03-05 18:53:16.904 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141473.891829625,0.024017333984375,-0.2442626953125,-0.890777587890625,0
2020-03-05 18:53:16.966 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141473.951523625,0.0543975830078125,-0.22564697265625,-0.8898162841796875,0
2020-03-05 18:53:17.028 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.011216625,0.04583740234375,-0.18695068359375,-0.9779510498046875,0
2020-03-05 18:53:17.086 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.070909625,0.0187835693359375,-0.17755126953125,-1.067535400390625,0
2020-03-05 18:53:17.147 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.130602625,0.0795745849609375,-0.1662750244140625,-1.14434814453125,0
2020-03-05 18:53:17.206 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.190295625,-0.04229736328125,-0.1683197021484375,-1.1893310546875,0
2020-03-05 18:53:17.267 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.249988625,-0.0990447998046875,-0.1818084716796875,-1.195358276367188,0
2020-03-05 18:53:17.326 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.3096825,-0.1236572265625,-0.169403076171875,-1.1737060546875,0
2020-03-05 18:53:17.386 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.3693755,-0.094451904296875,-0.185821533203125,-1.05438232421875,0
2020-03-05 18:53:17.448 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.4290685,-0.1278076171875,-0.2318267822265625,-0.9354095458984375,0
2020-03-05 18:53:17.506 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.4887615,-0.100677490234375,-0.253387451171875,-0.8598785400390625,0
2020-03-05 18:53:17.565 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.5484545,-0.0791015625,-0.26898193359375,-0.8022613525390625,0
2020-03-05 18:53:17.628 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.6081485,-0.0235137939453125,-0.2598114013671875,-0.757080078125,0
2020-03-05 18:53:17.689 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.6678415,0.020904541015625,-0.30633544921875,-0.6889190673828125,0
2020-03-05 18:53:17.748 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.7275345,0.0431060791015625,-0.27392578125,-0.6259765625,0
2020-03-05 18:53:17.806 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.7872275,0.0044097900390625,-0.170379638671875,-0.7375640869140625,0
2020-03-05 18:53:17.865 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.8469205,0.06768798828125,-0.12445068359375,-0.9805145263671875,0
2020-03-05 18:53:17.928 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.9066145,0.1411590576171875,-0.057586669921875,-1.002456665039062,0
2020-03-05 18:53:17.985 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141474.9663075,0.2091217041015625,-0.031890869140625,-1.203567504882812,0
2020-03-05 18:53:18.050 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.0260005,0.12762451171875,-0.0655975341796875,-1.230850219726562,0
2020-03-05 18:53:18.107 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.0856935,0.126617431640625,-0.0438995361328125,-1.345870971679688,0
2020-03-05 18:53:18.167 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.1453865,-0.087158203125,-0.0487518310546875,-1.391326904296875,0
2020-03-05 18:53:18.228 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.2050805,-0.14306640625,-0.0504913330078125,-1.253936767578125,0
2020-03-05 18:53:18.285 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.264770375,-0.2003936767578125,-0.024871826171875,-1.159774780273438,0
2020-03-05 18:53:18.346 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.324463375,-0.185333251953125,-0.05224609375,-0.9501800537109375,0
2020-03-05 18:53:18.408 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.384156375,-0.151458740234375,-0.096343994140625,-0.84521484375,0
2020-03-05 18:53:18.465 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.443849375,-0.05841064453125,-0.1016387939453125,-0.712799072265625,0
2020-03-05 18:53:18.527 -0800,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.503543375,0.0247650146484375,-0.1382904052734375,-0.7925567626953125,0
2020-03-05 18:53:18.585 -0800,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.563236375,0.1334381103515625,-0.184906005859375,-0.844879150390625,0
2020-03-05 18:53:18.646 -0800,31,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.622929375,0.1300048828125,-0.23956298828125,-0.9750518798828125,0
2020-03-05 18:53:18.704 -0800,32,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141475.682622375,0.0786285400390625,-0.2725677490234375,-1.068267822265625,0
