loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:00:30.737 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.379151,-0.0225372314453125,-0.283538818359375,-0.976837158203125,0
2020-04-13 13:00:30.791 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.438844,-0.019683837890625,-0.28570556640625,-0.95263671875,0
2020-04-13 13:00:30.851 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.498536,-0.00830078125,-0.273895263671875,-0.948394775390625,0
2020-04-13 13:00:30.910 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.558229,-0.034027099609375,-0.276885986328125,-0.925537109375,0
2020-04-13 13:00:30.970 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.617922,-0.0211639404296875,-0.2850189208984375,-0.8634796142578125,0
2020-04-13 13:00:31.030 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.677614,-0.0273590087890625,-0.259521484375,-0.844879150390625,0
2020-04-13 13:00:31.089 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.737307,-0.0236663818359375,-0.2513885498046875,-0.8389434814453125,0
2020-04-13 13:00:31.149 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.79699900001,-0.00909423828125,-0.2402496337890625,-0.8834075927734375,0
2020-04-13 13:00:31.209 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.856692,-0.0180816650390625,-0.2145843505859375,-0.9057159423828125,0
2020-04-13 13:00:31.268 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.916384,-0.01031494140625,-0.188568115234375,-0.9626007080078125,0
2020-04-13 13:00:31.328 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35395.976077,-0.0522003173828125,-0.2075042724609375,-1.004486083984375,0
2020-04-13 13:00:31.388 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.03576891667,-0.01263427734375,-0.189117431640625,-1.156356811523438,0
2020-04-13 13:00:31.447 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.09546191667,-0.0481414794921875,-0.1945648193359375,-1.17376708984375,0
2020-04-13 13:00:31.507 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.15515391667,-0.018768310546875,-0.1802215576171875,-1.15936279296875,0
2020-04-13 13:00:31.567 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.21484691667,-0.020172119140625,-0.15838623046875,-1.05548095703125,0
2020-04-13 13:00:31.627 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.27453991667,0.0156707763671875,-0.144134521484375,-0.965423583984375,0
2020-04-13 13:00:31.686 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.33423191667,0.0465850830078125,-0.123931884765625,-0.8974456787109375,0
2020-04-13 13:00:31.746 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.39392491667,0.0922393798828125,-0.1193695068359375,-0.8805999755859375,0
2020-04-13 13:00:31.806 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.45361691667,0.068115234375,-0.1191864013671875,-0.9484100341796875,0
2020-04-13 13:00:31.865 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.51330991667,0.0608978271484375,-0.1107025146484375,-0.93475341796875,0
2020-04-13 13:00:31.925 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.57300191667,0.0337066650390625,-0.102813720703125,-0.9353790283203125,0
2020-04-13 13:00:31.985 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.63269491667,0.020538330078125,-0.082794189453125,-1.071075439453125,0
2020-04-13 13:00:32.044 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.69238691667,-0.0718994140625,-0.0661163330078125,-1.060760498046875,0
2020-04-13 13:00:32.104 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.75207991667,-0.0889129638671875,-0.1024627685546875,-1.0955810546875,0
2020-04-13 13:00:32.164 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.81177291667,-0.13470458984375,-0.0809173583984375,-1.038131713867188,0
2020-04-13 13:00:32.224 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.87146491667,-0.122772216796875,-0.081787109375,-1.0877685546875,0
2020-04-13 13:00:32.283 -1000,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.93115791667,-0.1052093505859375,-0.0832061767578125,-0.9969940185546875,0
2020-04-13 13:00:32.343 -1000,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35396.99084991667,-0.0942230224609375,-0.067596435546875,-0.9863739013671875,0
2020-04-13 13:00:32.405 -1000,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.05054254167,-0.085784912109375,-0.0443115234375,-0.8871917724609375,0
2020-04-13 13:00:32.462 -1000,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.11023454167,-0.09185791015625,-0.0449981689453125,-0.955230712890625,0
2020-04-13 13:00:32.522 -1000,31,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.16992754167,-0.1204833984375,-0.035736083984375,-0.893707275390625,0
2020-04-13 13:00:32.582 -1000,32,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.22961954167,-0.095672607421875,0.0048675537109375,-0.9202423095703125,0
2020-04-13 13:00:32.641 -1000,33,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.28931254167,-0.0334625244140625,0.0135040283203125,-1.020065307617188,0
2020-04-13 13:00:32.701 -1000,34,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.34900554167,0.019805908203125,0.0140838623046875,-1.042694091796875,0
2020-04-13 13:00:32.761 -1000,35,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.40869754167,0.0805206298828125,0.0093536376953125,-1.096099853515625,0
2020-04-13 13:00:32.821 -1000,36,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.46839054167,0.0969085693359375,0.011627197265625,-1.089279174804688,0
2020-04-13 13:00:32.880 -1000,37,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.52808254167,0.0956268310546875,-0.010467529296875,-1.074264526367188,0
2020-04-13 13:00:32.940 -1000,38,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35397.58777554167,0.0783538818359375,0.023681640625,-1.036849975585938,0
