loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-12 19:37:51.887 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651523.707724167,0.01959228515625,-0.13262939453125,-0.9942626953125,0
2020-04-12 19:37:51.946 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651523.767412167,0.0201416015625,-0.1652679443359375,-0.978515625,0
2020-04-12 19:37:52.006 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651523.827100167,0.0346221923828125,-0.1746978759765625,-0.965057373046875,0
2020-04-12 19:37:52.066 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651523.886789167,0.0222320556640625,-0.184967041015625,-0.9633636474609375,0
2020-04-12 19:37:52.125 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651523.946477167,0.0341339111328125,-0.162017822265625,-0.95843505859375,0
2020-04-12 19:37:52.185 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.00616925,0.0399932861328125,-0.16864013671875,-0.9357452392578125,0
2020-04-12 19:37:52.245 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.06585725,0.029876708984375,-0.17474365234375,-0.929779052734375,0
2020-04-12 19:37:52.304 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.12554525,0.019012451171875,-0.1595306396484375,-0.9065093994140625,0
2020-04-12 19:37:52.364 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.18523425,0.0065765380859375,-0.1417388916015625,-0.86871337890625,0
2020-04-12 19:37:52.424 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.24492225,-0.0045928955078125,-0.141021728515625,-0.8307647705078125,0
2020-04-12 19:37:52.483 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.30461125,0.0451507568359375,-0.125701904296875,-0.843353271484375,0
2020-04-12 19:37:52.543 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.36429925,0.023468017578125,-0.1119384765625,-0.8766937255859375,0
2020-04-12 19:37:52.603 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.42398725,0.0460662841796875,-0.111480712890625,-1.054916381835938,0
2020-04-12 19:37:52.662 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.48367625,0.07293701171875,-0.0400543212890625,-1.209701538085938,0
2020-04-12 19:37:52.722 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.54336425,0.014923095703125,0.013031005859375,-1.215057373046875,0
2020-04-12 19:37:52.782 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.60305325,0.09552001953125,0.0502777099609375,-1.180587768554688,0
2020-04-12 19:37:52.842 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.66274125,0.0939178466796875,0.0467071533203125,-1.057693481445312,0
2020-04-12 19:37:52.901 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.72242925,0.1441802978515625,0.0361480712890625,-0.915252685546875,0
2020-04-12 19:37:52.961 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.78211825,0.0793914794921875,-0.0111236572265625,-0.8925933837890625,0
2020-04-12 19:37:53.021 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.84180625,0.145782470703125,0.0382080078125,-0.8950653076171875,0
2020-04-12 19:37:53.080 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.90149525,0.08819580078125,0.0257110595703125,-0.9454498291015625,0
2020-04-12 19:37:53.140 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651524.96118325,0.0168304443359375,-0.000274658203125,-1.041290283203125,0
2020-04-12 19:37:53.200 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.020867625,-0.0176544189453125,0.04071044921875,-1.060638427734375,0
2020-04-12 19:37:53.259 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.080556625,-0.0774993896484375,-0.0178680419921875,-1.097305297851562,0
2020-04-12 19:37:53.319 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.140244625,-0.079559326171875,0.029022216796875,-1.089370727539062,0
2020-04-12 19:37:53.379 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.199933625,-0.07769775390625,0.05584716796875,-0.996673583984375,0
2020-04-12 19:37:53.438 -1000,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.259621625,-0.08740234375,0.0342864990234375,-0.9888763427734375,0
2020-04-12 19:37:53.498 -1000,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.319309625,-0.097900390625,0.0492401123046875,-0.9232940673828125,0
2020-04-12 19:37:53.558 -1000,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.378998625,-0.112091064453125,0.081329345703125,-0.920501708984375,0
2020-04-12 19:37:53.617 -1000,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651525.438686625,-0.048492431640625,0.0706634521484375,-0.912872314453125,0
