loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 22:34:04.693 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.04281225,-0.0048828125,-0.25445556640625,-0.996826171875,0
2020-03-04 22:34:04.743 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.10250525,0.0081024169921875,-0.2316436767578125,-0.948150634765625,0
2020-03-04 22:34:04.802 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.16219825001,0.006103515625,-0.2499542236328125,-0.980712890625,0
2020-03-04 22:34:04.862 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.22189454167,0.0128631591796875,-0.2662506103515625,-1.132644653320312,0
2020-03-04 22:34:04.921 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.28158654168,-0.02728271484375,-0.27606201171875,-1.216827392578125,0
2020-03-04 22:34:04.982 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.34127954167,0.0048675537109375,-0.3087005615234375,-1.1954345703125,0
2020-03-04 22:34:05.043 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.40097254167,0.002227783203125,-0.262237548828125,-1.080429077148438,0
2020-03-04 22:34:05.101 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.46066454168,-0.0123748779296875,-0.2669525146484375,-0.9580535888671875,0
2020-03-04 22:34:05.163 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.52035754167,-0.0045013427734375,-0.287017822265625,-0.8099212646484375,0
2020-03-04 22:34:05.221 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.58005054167,-0.02288818359375,-0.3291015625,-0.7641143798828125,0
2020-03-04 22:34:05.281 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.63974354167,-0.0108642578125,-0.358612060546875,-0.7007293701171875,0
2020-03-04 22:34:05.342 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.69943554167,-0.01214599609375,-0.379730224609375,-0.665496826171875,0
2020-03-04 22:34:05.401 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.75912854167,-0.0430450439453125,-0.396148681640625,-0.5561676025390625,0
2020-03-04 22:34:05.462 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.81882154167,-0.0643463134765625,-0.3106536865234375,-0.7618560791015625,0
2020-03-04 22:34:05.520 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.87851354167,-0.083892822265625,-0.277191162109375,-0.7678375244140625,0
2020-03-04 22:34:05.580 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.93820654167,0.014678955078125,-0.2770843505859375,-1.064956665039062,0
2020-03-04 22:34:05.642 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96333.99789954167,-0.0507354736328125,-0.1917266845703125,-1.035507202148438,0
2020-03-04 22:34:05.698 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.05759154167,-0.01519775390625,-0.257049560546875,-1.274169921875,0
2020-03-04 22:34:05.761 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.11728454167,-0.011688232421875,-0.2160186767578125,-1.379043579101562,0
2020-03-04 22:34:05.821 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.17697754168,-0.06353759765625,-0.2231597900390625,-1.301681518554688,0
2020-03-04 22:34:05.880 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.23666550001,-0.0515289306640625,-0.1654510498046875,-1.24237060546875,0
2020-03-04 22:34:05.943 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.29635850001,-0.03533935546875,-0.16204833984375,-1.0107421875,0
2020-03-04 22:34:06.001 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.3560515,-0.003662109375,-0.2095794677734375,-0.82928466796875,0
2020-03-04 22:34:06.063 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.4157445,-0.011016845703125,-0.22137451171875,-0.7678375244140625,0
2020-03-04 22:34:06.123 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.47543650001,0.015228271484375,-0.2709503173828125,-0.7974395751953125,0
2020-03-04 22:34:06.181 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.5351295,0.0106353759765625,-0.3158721923828125,-0.7533721923828125,0
2020-03-04 22:34:06.241 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,96334.5948225,-0.02020263671875,-0.340118408203125,-0.83447265625,0
