loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:04:17.093 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35621.73648504167,0.02581787109375,-0.05584716796875,-0.9921112060546875,0
2020-04-13 13:04:17.152 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35621.79617904167,0.028076171875,-0.0506439208984375,-1.026153564453125,0
2020-04-13 13:04:17.211 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35621.85587304167,0.024200439453125,-0.0606842041015625,-1.068557739257812,0
2020-04-13 13:04:17.271 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35621.91556604167,0.0317535400390625,-0.0931396484375,-1.092208862304688,0
2020-04-13 13:04:17.332 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35621.97526004167,0.010772705078125,-0.104034423828125,-1.159896850585938,0
2020-04-13 13:04:17.393 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.03495304167,-0.0144805908203125,-0.1276397705078125,-1.154327392578125,0
2020-04-13 13:04:17.454 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.09464704167,0.034332275390625,-0.1303863525390625,-1.089065551757812,0
2020-04-13 13:04:17.513 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.15434004167,-0.0093231201171875,-0.172332763671875,-1.064559936523438,0
2020-04-13 13:04:17.575 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.21403025,0.054962158203125,-0.1242218017578125,-1.00079345703125,0
2020-04-13 13:04:17.635 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.27372325,-0.0037994384765625,-0.164154052734375,-0.9614410400390625,0
2020-04-13 13:04:17.693 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.33341725,0.005706787109375,-0.2226409912109375,-0.92205810546875,0
2020-04-13 13:04:17.753 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.39311125,0.0141754150390625,-0.2242431640625,-0.788116455078125,0
2020-04-13 13:04:17.816 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.45280425,0.012359619140625,-0.252716064453125,-0.821807861328125,0
2020-04-13 13:04:17.874 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.51249825001,0.0159454345703125,-0.2808074951171875,-0.777130126953125,0
2020-04-13 13:04:17.935 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35622.57219125,0.0125732421875,-0.30426025390625,-0.8364410400390625,0
