loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 21:22:32.126 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.5375565,-0.0016021728515625,-0.1919403076171875,-0.9986724853515625,0
2020-03-04 21:22:32.186 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.59724850001,-0.015716552734375,-0.1957855224609375,-1.091766357421875,0
2020-03-04 21:22:32.245 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.65693950001,-0.0407257080078125,-0.1815338134765625,-1.133377075195312,0
2020-03-04 21:22:32.305 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.7166305,-0.034881591796875,-0.1668548583984375,-1.217422485351562,0
2020-03-04 21:22:32.365 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.77632250001,-0.0493621826171875,-0.1654205322265625,-1.16876220703125,0
2020-03-04 21:22:32.424 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.83601350001,-0.049163818359375,-0.150177001953125,-0.9953460693359375,0
2020-03-04 21:22:32.484 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.8957045,-0.063507080078125,-0.1988067626953125,-0.902374267578125,0
2020-03-04 21:22:32.544 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92040.95539650001,-0.0320892333984375,-0.1999664306640625,-0.7833251953125,0
2020-03-04 21:22:32.603 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.01508750001,-0.0382080078125,-0.204742431640625,-0.809326171875,0
2020-03-04 21:22:32.663 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.0747785,-0.0180816650390625,-0.19647216796875,-0.858795166015625,0
2020-03-04 21:22:32.723 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.13447050001,-0.0586700439453125,-0.2298431396484375,-0.8832855224609375,0
2020-03-04 21:22:32.783 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.19416150001,-0.1116485595703125,-0.261810302734375,-0.9038238525390625,0
2020-03-04 21:22:32.842 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.253852875,-0.14105224609375,-0.2581634521484375,-0.9675445556640625,0
2020-03-04 21:22:32.902 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.31354487501,-0.1478118896484375,-0.228973388671875,-0.9798583984375,0
2020-03-04 21:22:32.962 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.373235875,-0.0679779052734375,-0.2160797119140625,-1.006011962890625,0
2020-03-04 21:22:33.021 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.432926875,0.05804443359375,-0.198089599609375,-0.9898529052734375,0
2020-03-04 21:22:33.081 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.49261887501,0.046844482421875,-0.2363739013671875,-0.9724884033203125,0
2020-03-04 21:22:33.141 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.55230987501,0.034149169921875,-0.2385406494140625,-0.9703521728515625,0
2020-03-04 21:22:33.200 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.612000875,0.00323486328125,-0.243743896484375,-0.956451416015625,0
2020-03-04 21:22:33.260 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.67169287501,-0.043975830078125,-0.23394775390625,-0.977508544921875,0
2020-03-04 21:22:33.322 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.73138387501,-0.050689697265625,-0.235870361328125,-0.9707183837890625,0
2020-03-04 21:22:33.379 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.791074875,-0.0545196533203125,-0.2451171875,-0.9505157470703125,0
2020-03-04 21:22:33.440 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,92041.85076687501,-0.107025146484375,-0.2617340087890625,-0.9935455322265625,0
