loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:05:18.913 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.554291875,0.0364837646484375,-0.092529296875,-1.030517578125,0
2020-04-13 13:05:18.967 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.613985875,0.0491943359375,-0.0742340087890625,-1.140335083007812,0
2020-04-13 13:05:19.026 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.673678875,0.0146636962890625,-0.114410400390625,-1.206634521484375,0
2020-04-13 13:05:19.086 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.733372875,0.0184173583984375,-0.145111083984375,-1.24481201171875,0
2020-04-13 13:05:19.146 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.79306687501,0.0582275390625,-0.086517333984375,-1.17535400390625,0
2020-04-13 13:05:19.205 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.852760875,0.01483154296875,-0.106536865234375,-1.040313720703125,0
2020-04-13 13:05:19.265 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.912453875,0.03057861328125,-0.123443603515625,-0.9564666748046875,0
2020-04-13 13:05:19.325 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35683.972147875,0.0228729248046875,-0.174835205078125,-0.855621337890625,0
2020-04-13 13:05:19.384 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.031841875,0.023284912109375,-0.1742095947265625,-0.8161163330078125,0
2020-04-13 13:05:19.444 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.091535875,0.0248565673828125,-0.220550537109375,-0.7644805908203125,0
2020-04-13 13:05:19.504 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.151229875,0.0102081298828125,-0.2502288818359375,-0.787567138671875,0
2020-04-13 13:05:19.564 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.21092287501,-0.00250244140625,-0.3216400146484375,-0.7965545654296875,0
2020-04-13 13:05:19.623 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.270616375,0.02349853515625,-0.288726806640625,-0.92987060546875,0
2020-04-13 13:05:19.683 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.330310375,-0.0660552978515625,-0.280548095703125,-1.008209228515625,0
2020-04-13 13:05:19.743 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.390004375,-0.09619140625,-0.2648468017578125,-1.030380249023438,0
2020-04-13 13:05:19.803 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35684.449697375,-0.121429443359375,-0.2649078369140625,-0.99169921875,0
