loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:51:15.257 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.0212566667,0.1195831298828125,-0.15228271484375,-0.98016357421875,0
2020-03-13 13:51:15.276 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.0513406667,0.077972412109375,-0.1373443603515625,-0.9944305419921875,0
2020-03-13 13:51:15.306 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.0814246667,0.1225433349609375,-0.1623382568359375,-1.065048217773438,0
2020-03-13 13:51:15.337 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.1115086667,0.1067047119140625,-0.1784210205078125,-1.035873413085938,0
2020-03-13 13:51:15.367 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.1415936667,0.0832061767578125,-0.1782073974609375,-0.953765869140625,0
2020-03-13 13:51:15.397 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.1716776667,0.0818023681640625,-0.1490325927734375,-0.9625091552734375,0
2020-03-13 13:51:15.427 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.2017616667,0.077117919921875,-0.145904541015625,-0.9734954833984375,0
2020-03-13 13:51:15.457 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.2318456667,0.08636474609375,-0.1357269287109375,-0.992645263671875,0
2020-03-13 13:51:15.488 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.2619306667,0.093475341796875,-0.134857177734375,-0.9842987060546875,0
2020-03-13 13:51:15.517 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.2920146667,0.11541748046875,-0.149444580078125,-1.029464721679688,0
2020-03-13 13:51:15.547 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.3220986667,0.10406494140625,-0.171600341796875,-1.079132080078125,0
2020-03-13 13:51:15.577 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.3521836667,0.1300506591796875,-0.204071044921875,-1.196640014648438,0
2020-03-13 13:51:15.609 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.3822676667,0.1250457763671875,-0.242431640625,-1.297149658203125,0
2020-03-13 13:51:15.637 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.4123516667,0.148895263671875,-0.309326171875,-1.360153198242188,0
2020-03-13 13:51:15.668 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.4424356667,0.1390228271484375,-0.257598876953125,-1.387435913085938,0
2020-03-13 13:51:15.698 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.4725196667,0.1033782958984375,-0.1904144287109375,-1.39752197265625,0
2020-03-13 13:51:15.728 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.5026046667,0.026824951171875,-0.1293792724609375,-1.345306396484375,0
2020-03-13 13:51:15.758 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.5326886667,0.0224151611328125,-0.106231689453125,-1.108383178710938,0
2020-03-13 13:51:15.788 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.5627726667,0.0185546875,-0.1228790283203125,-0.888336181640625,0
2020-03-13 13:51:15.818 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.5928566667,0.0379791259765625,-0.184356689453125,-0.8212890625,0
2020-03-13 13:51:15.848 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.622937625,-0.0521087646484375,-0.2584991455078125,-0.755767822265625,0
2020-03-13 13:51:15.878 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.653021625,-0.0703125,-0.27197265625,-0.74853515625,0
2020-03-13 13:51:15.908 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.6831056251,-0.0332794189453125,-0.2946929931640625,-0.7463836669921875,0
2020-03-13 13:51:15.938 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.7131896251,-0.0089569091796875,-0.301239013671875,-0.8061065673828125,0
2020-03-13 13:51:15.969 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.743274625,-0.02532958984375,-0.3100433349609375,-0.7969207763671875,0
2020-03-13 13:51:15.998 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.773358625,-0.0256500244140625,-0.31597900390625,-0.7720184326171875,0
2020-03-13 13:51:16.029 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.8034426251,-0.03607177734375,-0.337677001953125,-0.7474365234375,0
2020-03-13 13:51:16.059 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.8335266251,-0.0420989990234375,-0.3768463134765625,-0.712677001953125,0
2020-03-13 13:51:16.089 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.863611625,-0.09136962890625,-0.3690338134765625,-0.7176361083984375,0
2020-03-13 13:51:16.119 -0700,30,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.893695625,-0.11383056640625,-0.41510009765625,-0.825408935546875,0
2020-03-13 13:51:16.150 -0700,31,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.923779625,-0.15570068359375,-0.5160675048828125,-0.9408721923828125,0
2020-03-13 13:51:16.179 -0700,32,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.9538636251,-0.126953125,-0.560943603515625,-1.013381958007812,0
2020-03-13 13:51:16.209 -0700,33,78C976E1-270D-4701-AAC5-034656C6C0A8,627376.983948625,-0.13238525390625,-0.5588226318359375,-1.110977172851562,0
2020-03-13 13:51:16.239 -0700,34,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.014032625,-0.1543731689453125,-0.54595947265625,-1.200241088867188,0
2020-03-13 13:51:16.269 -0700,35,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.044116625,-0.19659423828125,-0.5150604248046875,-1.112518310546875,0
2020-03-13 13:51:16.299 -0700,36,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.0742006251,-0.19830322265625,-0.4770050048828125,-0.9823455810546875,0
2020-03-13 13:51:16.330 -0700,37,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.104285625,-0.1933441162109375,-0.4359893798828125,-0.8466339111328125,0
2020-03-13 13:51:16.360 -0700,38,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.134369625,-0.171234130859375,-0.4518890380859375,-0.7815093994140625,0
2020-03-13 13:51:16.390 -0700,39,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.164453625,-0.137176513671875,-0.4247589111328125,-0.6445159912109375,0
2020-03-13 13:51:16.420 -0700,40,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.1945376251,-0.091156005859375,-0.411956787109375,-0.52484130859375,0
2020-03-13 13:51:16.450 -0700,41,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.224622625,0.0118408203125,-0.4066925048828125,-0.501434326171875,0
2020-03-13 13:51:16.480 -0700,42,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.254706625,0.0958251953125,-0.371124267578125,-0.5806732177734375,0
2020-03-13 13:51:16.510 -0700,43,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.284790625,0.1085052490234375,-0.363128662109375,-0.65093994140625,0
2020-03-13 13:51:16.540 -0700,44,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.3148746251,0.167724609375,-0.3401336669921875,-0.589752197265625,0
2020-03-13 13:51:16.570 -0700,45,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.344959625,0.250640869140625,-0.3400726318359375,-0.7036590576171875,0
2020-03-13 13:51:16.600 -0700,46,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.375043625,0.2517242431640625,-0.3282012939453125,-0.854522705078125,0
2020-03-13 13:51:16.630 -0700,47,78C976E1-270D-4701-AAC5-034656C6C0A8,627377.405127625,0.2539520263671875,-0.350616455078125,-0.8442535400390625,0
