loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-27 00:27:21.939 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.2355881251,-0.123992919921875,-0.4751434326171875,-0.907470703125,0
2020-02-27 00:27:21.978 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.295283125,-0.074676513671875,-0.428558349609375,-0.9222412109375,0
2020-02-27 00:27:22.040 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.3549771251,-0.05987548828125,-0.4542694091796875,-0.922821044921875,0
2020-02-27 00:27:22.102 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.414672125,0.0257568359375,-0.444366455078125,-0.8909149169921875,0
2020-02-27 00:27:22.163 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.4743671251,0.118499755859375,-0.450836181640625,-0.8780670166015625,0
2020-02-27 00:27:22.223 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.534061125,0.258514404296875,-0.459991455078125,-0.915771484375,0
2020-02-27 00:27:22.282 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.5937561251,0.244049072265625,-0.3660888671875,-0.9389495849609375,0
2020-02-27 00:27:22.344 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.653451125,0.14276123046875,-0.3234405517578125,-0.8993377685546875,0
2020-02-27 00:27:22.402 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.7131461251,-0.101806640625,-0.3321533203125,-0.8224029541015625,0
2020-02-27 00:27:22.462 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.772840125,-0.310302734375,-0.336181640625,-0.8499298095703125,0
2020-02-27 00:27:22.523 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.8325351251,-0.4550323486328125,-0.3740997314453125,-0.8749847412109375,0
2020-02-27 00:27:22.583 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.8922301667,-0.5556640625,-0.406585693359375,-0.945556640625,0
2020-02-27 00:27:22.642 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955783.9519251668,-0.4831695556640625,-0.3689422607421875,-0.945831298828125,0
2020-02-27 00:27:22.703 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.0116191667,-0.3233642578125,-0.3097381591796875,-0.9478912353515625,0
2020-02-27 00:27:22.763 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.0713141668,-0.1116790771484375,-0.248992919921875,-0.9911956787109375,0
2020-02-27 00:27:22.823 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.1310091667,0.0292205810546875,-0.2381134033203125,-0.948516845703125,0
2020-02-27 00:27:22.882 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.1907041668,0.1917266845703125,-0.248291015625,-0.9682159423828125,0
2020-02-27 00:27:22.943 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.2503981667,0.2709197998046875,-0.227325439453125,-0.95831298828125,0
2020-02-27 00:27:23.000 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.3100931668,0.2380828857421875,-0.2286224365234375,-1.0059814453125,0
2020-02-27 00:27:23.063 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.3697881667,0.0641937255859375,-0.228851318359375,-1.0550537109375,0
2020-02-27 00:27:23.120 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.4294821668,-0.0745697021484375,-0.1995849609375,-1.044692993164062,0
2020-02-27 00:27:23.184 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.4891771667,-0.1906280517578125,-0.2005615234375,-1.040206909179688,0
2020-02-27 00:27:23.243 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.5488721668,-0.223175048828125,-0.190521240234375,-1.00396728515625,0
2020-02-27 00:27:23.304 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.6085671667,-0.230560302734375,-0.2162322998046875,-1.003997802734375,0
2020-02-27 00:27:23.364 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.6682611668,-0.1800537109375,-0.2229766845703125,-0.9975738525390625,0
2020-02-27 00:27:23.425 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.7279561667,-0.1186065673828125,-0.2182464599609375,-1.011184692382812,0
2020-02-27 00:27:23.480 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,955784.7876511667,-0.094329833984375,-0.2474517822265625,-0.992462158203125,0
