loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-12 19:38:41.978 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651573.78652525,0.015380859375,-0.2463531494140625,-0.9423828125,0
2020-04-12 19:38:42.026 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651573.84621425,0.0229949951171875,-0.2259368896484375,-0.98773193359375,0
2020-04-12 19:38:42.090 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651573.90590325,0.01904296875,-0.1967010498046875,-1.020248413085938,0
2020-04-12 19:38:42.153 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651573.96559225,0.02801513671875,-0.210418701171875,-0.99713134765625,0
2020-04-12 19:38:42.214 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.025280417,0.0206756591796875,-0.2024078369140625,-0.9543914794921875,0
2020-04-12 19:38:42.270 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.084969417,-0.0016632080078125,-0.216583251953125,-0.95843505859375,0
2020-04-12 19:38:42.332 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.144658417,0.0067291259765625,-0.2297210693359375,-0.9808807373046875,0
2020-04-12 19:38:42.392 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.204348417,-0.0003509521484375,-0.231109619140625,-1.04510498046875,0
2020-04-12 19:38:42.451 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.264037417,0.010223388671875,-0.24755859375,-1.088821411132812,0
2020-04-12 19:38:42.512 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.323726417,0.0598297119140625,-0.2108306884765625,-1.047882080078125,0
2020-04-12 19:38:42.568 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.383415417,0.06585693359375,-0.230743408203125,-1.03887939453125,0
2020-04-12 19:38:42.631 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.443104417,0.0903472900390625,-0.2219085693359375,-0.974639892578125,0
2020-04-12 19:38:42.692 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.502793417,0.0858917236328125,-0.257537841796875,-0.9687652587890625,0
2020-04-12 19:38:42.754 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.562482417,0.12066650390625,-0.23028564453125,-0.93817138671875,0
2020-04-12 19:38:42.811 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.622171417,0.0812835693359375,-0.23394775390625,-0.8887176513671875,0
2020-04-12 19:38:42.871 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651574.681860417,0.0383453369140625,-0.2333221435546875,-0.8372039794921875,0
