loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:07:55.729 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.371838375,0.02093505859375,-0.241241455078125,-0.9896697998046875,0
2020-04-13 13:07:55.797 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.43153525001,0.021881103515625,-0.22662353515625,-0.975311279296875,0
2020-04-13 13:07:55.856 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.49123025,-0.05084228515625,-0.2403564453125,-0.9904022216796875,0
2020-04-13 13:07:55.917 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.55092425,-0.050994873046875,-0.223968505859375,-0.9560089111328125,0
2020-04-13 13:07:55.976 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.61061825,-0.05902099609375,-0.235198974609375,-0.9672088623046875,0
2020-04-13 13:07:56.040 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.67031325,-0.07611083984375,-0.2369384765625,-0.9777069091796875,0
2020-04-13 13:07:56.097 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.73000725,-0.0618743896484375,-0.226226806640625,-0.9801177978515625,0
2020-04-13 13:07:56.159 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.78970125,-0.0845794677734375,-0.2288055419921875,-0.9854888916015625,0
2020-04-13 13:07:56.216 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.84939625,-0.0862579345703125,-0.2242431640625,-0.9482421875,0
2020-04-13 13:07:56.277 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.90909025,-0.0690460205078125,-0.2091064453125,-1.026962280273438,0
2020-04-13 13:07:56.337 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35840.96878425,-0.036895751953125,-0.2192535400390625,-0.97991943359375,0
2020-04-13 13:07:56.398 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.02847925,-0.020050048828125,-0.1907958984375,-0.9917449951171875,0
2020-04-13 13:07:56.457 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.08817325001,0.005584716796875,-0.2095794677734375,-0.986724853515625,0
2020-04-13 13:07:56.519 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.14786725,0.0360870361328125,-0.224456787109375,-0.9779510498046875,0
2020-04-13 13:07:56.577 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.20756225001,0.0554656982421875,-0.2300872802734375,-0.9437408447265625,0
2020-04-13 13:07:56.638 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.26725625,0.0849456787109375,-0.2335205078125,-0.9640960693359375,0
2020-04-13 13:07:56.697 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.32695025,0.0795135498046875,-0.2519989013671875,-0.9587860107421875,0
2020-04-13 13:07:56.755 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.38664525,0.0944671630859375,-0.2507171630859375,-0.973480224609375,0
2020-04-13 13:07:56.816 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.44633662501,0.087249755859375,-0.23419189453125,-1.011276245117188,0
2020-04-13 13:07:56.874 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.506030625,0.0636749267578125,-0.2478179931640625,-0.987518310546875,0
2020-04-13 13:07:56.937 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35841.56572562501,0.0128631591796875,-0.23468017578125,-0.9547271728515625,0
