loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-26 22:00:12.573 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.0719171667,0.015045166015625,-0.3077392578125,-0.9552764892578125,0
2020-02-26 22:00:12.633 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.1316091667,-0.0054931640625,-0.31011962890625,-0.960968017578125,0
2020-02-26 22:00:12.693 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.1913011668,-0.0189056396484375,-0.298309326171875,-0.9508056640625,0
2020-02-26 22:00:12.752 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.2509931667,-0.2248382568359375,-0.31365966796875,-1.003524780273438,0
2020-02-26 22:00:12.813 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.3106851667,-0.246978759765625,-0.301605224609375,-0.973663330078125,0
2020-02-26 22:00:12.876 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.3703781667,-0.1861572265625,-0.294677734375,-0.931610107421875,0
2020-02-26 22:00:12.933 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.4300698751,0.0345611572265625,-0.32733154296875,-1.018142700195312,0
2020-02-26 22:00:12.992 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.489761875,0.1734466552734375,-0.2496337890625,-0.9914703369140625,0
2020-02-26 22:00:13.055 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.549453875,0.2285003662109375,-0.2671661376953125,-0.9751739501953125,0
2020-02-26 22:00:13.112 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.6091458751,0.227874755859375,-0.278717041015625,-0.857177734375,0
2020-02-26 22:00:13.175 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.668837875,0.1266326904296875,-0.268798828125,-0.740692138671875,0
2020-02-26 22:00:13.234 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.7285298751,0.0279998779296875,-0.1920013427734375,-0.7353973388671875,0
2020-02-26 22:00:13.292 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.7882228751,-0.1081695556640625,-0.103729248046875,-0.716278076171875,0
2020-02-26 22:00:13.355 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.847914875,-0.2345428466796875,-0.061492919921875,-0.9686737060546875,0
2020-02-26 22:00:13.415 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.9076068751,-0.3314361572265625,-0.017822265625,-0.9546966552734375,0
2020-02-26 22:00:13.473 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946954.9672988751,-0.368377685546875,-0.05364990234375,-1.335006713867188,0
2020-02-26 22:00:13.534 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.026990875,-0.3041534423828125,0.005950927734375,-1.515579223632812,0
2020-02-26 22:00:13.593 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.0866828751,-0.1175689697265625,0.106719970703125,-1.663528442382812,0
2020-02-26 22:00:13.653 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.1463748751,0.1266326904296875,0.09210205078125,-1.510208129882812,0
2020-02-26 22:00:13.712 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.206067875,0.11669921875,0.077484130859375,-0.977325439453125,0
2020-02-26 22:00:13.772 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.2657598751,0.0385894775390625,-0.0415191650390625,-0.7014617919921875,0
2020-02-26 22:00:13.833 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.3254518751,-0.017974853515625,-0.1579132080078125,-0.5004425048828125,0
2020-02-26 22:00:13.892 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.385143875,-0.1104583740234375,-0.260223388671875,-0.56793212890625,0
2020-02-26 22:00:13.954 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.444835625,-0.07952880859375,-0.3038787841796875,-0.839874267578125,0
2020-02-26 22:00:14.012 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.504527625,-0.2575836181640625,-0.2761077880859375,-0.9661102294921875,0
2020-02-26 22:00:14.074 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.5642196251,-0.1608734130859375,-0.26177978515625,-1.028045654296875,0
2020-02-26 22:00:14.134 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.623912625,-0.176727294921875,-0.2904205322265625,-1.00762939453125,0
2020-02-26 22:00:14.193 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,946955.6836046251,-0.1287994384765625,-0.2793731689453125,-0.9645843505859375,0
