loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 17:57:29.017 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.2662872501,0.1374053955078125,-0.1256561279296875,-0.9432373046875,0
2020-03-13 17:57:29.023 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.2963732501,0.14605712890625,-0.09765625,-1.041610717773438,0
2020-03-13 17:57:29.064 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.3264582501,0.08245849609375,-0.1219940185546875,-1.032638549804688,0
2020-03-13 17:57:29.082 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.35654425,0.0537872314453125,-0.1492156982421875,-1.033645629882812,0
2020-03-13 17:57:29.129 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.38662925,0.028411865234375,-0.163421630859375,-0.9499359130859375,0
2020-03-13 17:57:29.142 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.41671425,-0.08416748046875,-0.150360107421875,-0.9986114501953125,0
2020-03-13 17:57:29.189 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.4468002501,-0.2924652099609375,-0.0959930419921875,-1.106307983398438,0
2020-03-13 17:57:29.202 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.4768852501,-0.4311370849609375,-0.0430450439453125,-1.135223388671875,0
2020-03-13 17:57:29.249 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.5069712501,-0.4235687255859375,-0.04461669921875,-1.15252685546875,0
2020-03-13 17:57:29.262 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.53705625,-0.31707763671875,-0.00848388671875,-1.117507934570312,0
2020-03-13 17:57:29.306 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.56714125,-0.19061279296875,0.004608154296875,-1.02093505859375,0
2020-03-13 17:57:29.323 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.59722725,0.01690673828125,-0.0337371826171875,-0.9600830078125,0
2020-03-13 17:57:29.369 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.6273122501,0.1858062744140625,-0.053070068359375,-1.03900146484375,0
2020-03-13 17:57:29.383 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.6573972501,0.334014892578125,-0.0171356201171875,-1.04205322265625,0
2020-03-13 17:57:29.426 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.68748325,0.4621124267578125,-0.03509521484375,-1.016830444335938,0
2020-03-13 17:57:29.443 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.71756825,0.4582672119140625,-0.0558013916015625,-0.992156982421875,0
2020-03-13 17:57:29.489 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.74765425,0.391357421875,-0.0438995361328125,-0.875701904296875,0
2020-03-13 17:57:29.503 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.77773925,0.2924346923828125,-0.10125732421875,-0.68646240234375,0
2020-03-13 17:57:29.549 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.8078242501,0.1513824462890625,-0.1237030029296875,-0.542999267578125,0
2020-03-13 17:57:29.563 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.8379102501,-0.02203369140625,-0.111053466796875,-0.5813446044921875,0
2020-03-13 17:57:29.608 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.86799525,-0.15093994140625,-0.1287689208984375,-0.7245025634765625,0
2020-03-13 17:57:29.624 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.89808125,-0.24664306640625,-0.1246185302734375,-0.78863525390625,0
2020-03-13 17:57:29.670 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.92816625,-0.3380279541015625,-0.0873565673828125,-0.8724212646484375,0
2020-03-13 17:57:29.684 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,640943.9582512501,-0.2945709228515625,-0.0297088623046875,-0.950592041015625,0
