loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:59:37.592 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.557361625,-0.042999267578125,-0.2747955322265625,-0.95892333984375,0
2020-03-05 18:59:37.635 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.6170540417,-0.028411865234375,-0.255584716796875,-0.9308013916015625,0
2020-03-05 18:59:37.694 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.6767480417,-0.07061767578125,-0.2573699951171875,-0.91217041015625,0
2020-03-05 18:59:37.754 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.7364420417,-0.10028076171875,-0.219573974609375,-0.861358642578125,0
2020-03-05 18:59:37.814 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.7961350417,-0.1159210205078125,-0.205718994140625,-0.829681396484375,0
2020-03-05 18:59:37.874 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.8558290417,-0.084320068359375,-0.1732025146484375,-0.8192901611328125,0
2020-03-05 18:59:37.933 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.9155230417,-0.0387725830078125,-0.1603240966796875,-0.9696807861328125,0
2020-03-05 18:59:37.993 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141854.9752160417,-0.0572052001953125,-0.1164703369140625,-1.030715942382812,0
2020-03-05 18:59:38.053 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.0349100417,-0.0352783203125,-0.1021575927734375,-1.160919189453125,0
2020-03-05 18:59:38.113 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.0946040417,-0.0506744384765625,-0.0914306640625,-1.189895629882812,0
2020-03-05 18:59:38.172 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.1542980417,-0.090728759765625,-0.12158203125,-1.247665405273438,0
2020-03-05 18:59:38.232 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.2139910417,-0.0756072998046875,-0.076995849609375,-1.329315185546875,0
2020-03-05 18:59:38.292 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.2736850417,-0.0989532470703125,-0.0783538818359375,-1.17291259765625,0
2020-03-05 18:59:38.351 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.3333790417,-0.080078125,-0.092681884765625,-1.007537841796875,0
2020-03-05 18:59:38.411 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.3930720417,-0.0126190185546875,-0.10968017578125,-0.9015960693359375,0
2020-03-05 18:59:38.471 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.4527660417,0.01385498046875,-0.1307220458984375,-0.8334197998046875,0
2020-03-05 18:59:38.530 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.5124600417,0.0006256103515625,-0.1977691650390625,-0.77215576171875,0
2020-03-05 18:59:38.590 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.5721530417,-0.00140380859375,-0.240020751953125,-0.8197784423828125,0
2020-03-05 18:59:38.650 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141855.631847375,-0.00537109375,-0.259674072265625,-0.9204559326171875,0
