loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:59:43.846 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141860.825198375,-0.0151824951171875,-0.2356109619140625,-0.973907470703125,0
2020-03-05 18:59:43.911 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141860.884892375,-0.0394439697265625,-0.2176361083984375,-0.964202880859375,0
2020-03-05 18:59:43.971 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141860.944586375,-0.0681915283203125,-0.19732666015625,-0.9071044921875,0
2020-03-05 18:59:44.032 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.004279375,-0.1015167236328125,-0.1821136474609375,-0.863983154296875,0
2020-03-05 18:59:44.092 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.063973375,-0.10919189453125,-0.16595458984375,-0.8497314453125,0
2020-03-05 18:59:44.153 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.123667375,-0.0458984375,-0.1288604736328125,-0.88372802734375,0
2020-03-05 18:59:44.214 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.183360375,-0.0140533447265625,-0.11590576171875,-1.011032104492188,0
2020-03-05 18:59:44.273 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.243054375,-0.0271148681640625,-0.1365814208984375,-1.0863037109375,0
2020-03-05 18:59:44.331 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.302748375,-0.0272979736328125,-0.09722900390625,-1.121231079101562,0
2020-03-05 18:59:44.391 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.362441375,-0.04107666015625,-0.0866241455078125,-1.134979248046875,0
2020-03-05 18:59:44.453 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.422135375,-0.0911407470703125,-0.0695953369140625,-1.285995483398438,0
2020-03-05 18:59:44.512 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.481829375,-0.058197021484375,-0.0638275146484375,-1.203048706054688,0
2020-03-05 18:59:44.571 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.541522375,-0.06640625,-0.0935211181640625,-1.1240234375,0
2020-03-05 18:59:44.631 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.601216375,-0.03265380859375,-0.1017303466796875,-0.994842529296875,0
2020-03-05 18:59:44.696 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.66091025,-0.0040130615234375,-0.1174163818359375,-0.9267730712890625,0
2020-03-05 18:59:44.752 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.72060325,-0.00390625,-0.1453094482421875,-0.8482818603515625,0
2020-03-05 18:59:44.813 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.78029725,0.01934814453125,-0.1664581298828125,-0.868011474609375,0
2020-03-05 18:59:44.873 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.83999125,0.0119476318359375,-0.2144012451171875,-0.8563232421875,0
2020-03-05 18:59:44.930 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141861.89968425,-0.0349578857421875,-0.250762939453125,-0.897491455078125,0
