loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 16:52:54.846 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134251.90188675,0.0072174072265625,-0.234222412109375,-0.9962005615234375,0
2020-03-05 16:52:54.905 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134251.96157475,0.01739501953125,-0.2368927001953125,-0.9420013427734375,0
2020-03-05 16:52:54.965 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.02126175,-0.0151519775390625,-0.2231903076171875,-0.915069580078125,0
2020-03-05 16:52:55.024 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.08094975,-0.0120849609375,-0.221405029296875,-0.8282470703125,0
2020-03-05 16:52:55.084 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.14063775,-0.029998779296875,-0.1506195068359375,-0.8228759765625,0
2020-03-05 16:52:55.149 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.20032575,-0.0225677490234375,-0.1106719970703125,-0.89105224609375,0
2020-03-05 16:52:55.203 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.26001375,0.0173797607421875,-0.1434783935546875,-1.05169677734375,0
2020-03-05 16:52:55.265 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.31970175,-0.013671875,-0.14544677734375,-1.1641845703125,0
2020-03-05 16:52:55.323 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.37938975,-0.0103759765625,-0.1536865234375,-1.313766479492188,0
2020-03-05 16:52:55.382 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.43907775,-0.01708984375,-0.14739990234375,-1.3214111328125,0
2020-03-05 16:52:55.442 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.49876575,-0.03533935546875,-0.1285552978515625,-1.209579467773438,0
2020-03-05 16:52:55.502 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.55845375,0.0065460205078125,-0.1359405517578125,-1.006683349609375,0
2020-03-05 16:52:55.565 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.61814175,0.023193359375,-0.1427154541015625,-0.7971954345703125,0
2020-03-05 16:52:55.621 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.6778295,0.0251007080078125,-0.1567840576171875,-0.671600341796875,0
2020-03-05 16:52:55.681 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.7375175,0.0261993408203125,-0.1590576171875,-0.6468505859375,0
2020-03-05 16:52:55.740 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.7972055,0.0278472900390625,-0.1601715087890625,-0.765716552734375,0
2020-03-05 16:52:55.800 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.8568935,-0.0382537841796875,-0.12835693359375,-0.8876800537109375,0
2020-03-05 16:52:55.860 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.9165815,-0.0240631103515625,-0.1775970458984375,-1.076431274414062,0
2020-03-05 16:52:55.920 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134252.9762695,0.0011444091796875,-0.1721954345703125,-1.243484497070312,0
2020-03-05 16:52:55.979 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.0359575,-0.0078125,-0.1888275146484375,-1.355926513671875,0
2020-03-05 16:52:56.039 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.0956455,0.013397216796875,-0.1501312255859375,-1.268722534179688,0
2020-03-05 16:52:56.099 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.1553335,0.0279388427734375,-0.1255645751953125,-1.086135864257812,0
2020-03-05 16:52:56.158 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.2150215,0.0086669921875,-0.1359100341796875,-0.8863372802734375,0
2020-03-05 16:52:56.218 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.2747095,0.031158447265625,-0.1502227783203125,-0.822265625,0
2020-03-05 16:52:56.278 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.3343975,0.0240631103515625,-0.19134521484375,-0.79205322265625,0
2020-03-05 16:52:56.338 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,134253.3940845,0.0084228515625,-0.208831787109375,-0.8590850830078125,0
