loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 20:25:53.340 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.668240875,-0.0225830078125,-0.1610260009765625,-1.000396728515625,0
2020-03-13 20:25:53.368 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.698326875,0.0021514892578125,-0.16229248046875,-1.035507202148438,0
2020-03-13 20:25:53.400 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.7284128751,0.0208282470703125,-0.1843719482421875,-1.036422729492188,0
2020-03-13 20:25:53.428 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.7584998751,0.030731201171875,-0.2158355712890625,-1.021163940429688,0
2020-03-13 20:25:53.458 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.7885858751,0.02105712890625,-0.201995849609375,-1.034255981445312,0
2020-03-13 20:25:53.488 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.8186718751,0.0333404541015625,-0.18414306640625,-1.0882568359375,0
2020-03-13 20:25:53.518 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.848757875,0.0110626220703125,-0.1537322998046875,-1.042282104492188,0
2020-03-13 20:25:53.550 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.878843875,-0.0130157470703125,-0.1058502197265625,-0.9761962890625,0
2020-03-13 20:25:53.579 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.908929875,-0.0362091064453125,-0.0684661865234375,-0.867706298828125,0
2020-03-13 20:25:53.609 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.939015875,-0.0646514892578125,-0.0451202392578125,-0.7791900634765625,0
2020-03-13 20:25:53.639 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.9691018751,-0.05364990234375,-0.0519866943359375,-0.67144775390625,0
2020-03-13 20:25:53.669 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,649847.9991878751,-0.0079345703125,-0.0060882568359375,-0.6304168701171875,0
2020-03-13 20:25:53.701 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.0292738751,0.0199737548828125,0.0298919677734375,-0.620880126953125,0
2020-03-13 20:25:53.729 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.059359875,0.107025146484375,0.0570526123046875,-0.600067138671875,0
2020-03-13 20:25:53.759 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.089445875,0.0860137939453125,0.0760040283203125,-0.663787841796875,0
2020-03-13 20:25:53.790 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.119531875,-0.0242767333984375,-0.013458251953125,-0.7214813232421875,0
2020-03-13 20:25:53.819 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.149617875,-0.0646514892578125,-0.0295257568359375,-0.7997894287109375,0
2020-03-13 20:25:53.850 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.1797038751,-0.1049346923828125,0.0148773193359375,-1.071060180664062,0
2020-03-13 20:25:53.880 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,649848.2097898751,-0.1106414794921875,-0.08056640625,-1.331451416015625,0
