loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:10:12.258 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35976.89271841667,0.0272674560546875,-0.247528076171875,-0.9763336181640625,0
2020-04-13 13:10:12.310 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35976.95241341667,0.0428924560546875,-0.238739013671875,-0.9707794189453125,0
2020-04-13 13:10:12.370 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.01210741667,0.0070953369140625,-0.2511138916015625,-0.974609375,0
2020-04-13 13:10:12.429 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.07180241667,-0.001068115234375,-0.223907470703125,-0.9920196533203125,0
2020-04-13 13:10:12.489 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.13149641667,-0.04119873046875,-0.2408599853515625,-0.98291015625,0
2020-04-13 13:10:12.549 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.19119041667,-0.052581787109375,-0.2253570556640625,-0.9905242919921875,0
2020-04-13 13:10:12.608 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.25088541667,-0.03277587890625,-0.2452545166015625,-0.9968109130859375,0
2020-04-13 13:10:12.668 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.31057941667,-0.0374603271484375,-0.240386962890625,-0.952850341796875,0
2020-04-13 13:10:12.728 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.37027341667,-0.032745361328125,-0.2454376220703125,-0.953826904296875,0
2020-04-13 13:10:12.787 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.42996841667,-0.0149078369140625,-0.2435302734375,-0.9669189453125,0
2020-04-13 13:10:12.847 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.48966241667,0.0349578857421875,-0.22418212890625,-0.9821929931640625,0
2020-04-13 13:10:12.907 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.5493575,0.01092529296875,-0.2505340576171875,-0.9710845947265625,0
2020-04-13 13:10:12.966 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.6090515,0.0590667724609375,-0.2397308349609375,-0.9658050537109375,0
2020-04-13 13:10:13.026 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.6687455,0.102935791015625,-0.2552337646484375,-0.981719970703125,0
2020-04-13 13:10:13.086 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.7284405,0.1216888427734375,-0.25811767578125,-0.968170166015625,0
2020-04-13 13:10:13.146 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.7881345,0.094024658203125,-0.255157470703125,-0.9098358154296875,0
2020-04-13 13:10:13.206 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.8478295,0.097747802734375,-0.262054443359375,-0.881622314453125,0
2020-04-13 13:10:13.265 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.90752350001,0.09393310546875,-0.2199554443359375,-0.8749237060546875,0
2020-04-13 13:10:13.325 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35977.9672175,0.1235809326171875,-0.1865386962890625,-0.912200927734375,0
2020-04-13 13:10:13.385 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35978.0269125,0.0673675537109375,-0.1551513671875,-0.8885650634765625,0
2020-04-13 13:10:13.444 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35978.0866065,0.0124969482421875,-0.15478515625,-0.9625396728515625,0
