loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:10:28.483 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.4782642501,0.03045654296875,-0.0574493408203125,-1.029510498046875,0
2020-03-12 17:10:28.503 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.5083472501,0.0052337646484375,-0.04669189453125,-0.9942626953125,0
2020-03-12 17:10:28.533 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.53843125,0.07611083984375,-0.06854248046875,-1.01220703125,0
2020-03-12 17:10:28.563 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.56851425,0.077880859375,-0.0803985595703125,-1.023696899414062,0
2020-03-12 17:10:28.594 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.5985972501,0.0448150634765625,-0.09490966796875,-1.018386840820312,0
2020-03-12 17:10:28.623 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.62868125,0.033416748046875,-0.0738525390625,-1.002655029296875,0
2020-03-12 17:10:28.654 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.65876425,0.0351409912109375,-0.0725250244140625,-0.9958038330078125,0
2020-03-12 17:10:28.684 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.6888472501,-0.001220703125,-0.083831787109375,-1.0286865234375,0
2020-03-12 17:10:28.714 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.71893125,-0.02081298828125,-0.0954742431640625,-1.06317138671875,0
2020-03-12 17:10:28.744 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.74901425,-0.0666046142578125,-0.106231689453125,-1.084335327148438,0
2020-03-12 17:10:28.774 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,601152.7790972501,-0.0905303955078125,-0.1072235107421875,-1.10595703125,0
