loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:34:04.999 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.0091651668,-0.084442138671875,-0.1765289306640625,-1.024429321289062,0
2020-03-12 17:34:05.021 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.0392491667,0.011566162109375,-0.1837005615234375,-1.108978271484375,0
2020-03-12 17:34:05.053 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.0693331667,-0.004547119140625,-0.1663360595703125,-1.104522705078125,0
2020-03-12 17:34:05.081 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.0994171667,-0.1031036376953125,-0.1323699951171875,-0.966278076171875,0
2020-03-12 17:34:05.117 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.1295001667,-0.01190185546875,-0.12841796875,-1.026031494140625,0
2020-03-12 17:34:05.142 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.1595841667,0.03228759765625,-0.1088104248046875,-1.10284423828125,0
2020-03-12 17:34:05.177 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.1896681667,-0.0586395263671875,-0.1031036376953125,-1.159652709960938,0
2020-03-12 17:34:05.202 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.2197521667,-0.0799407958984375,-0.112823486328125,-1.222396850585938,0
2020-03-12 17:34:05.237 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.2498361667,-0.0026702880859375,-0.1294708251953125,-1.270797729492188,0
2020-03-12 17:34:05.262 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.2799201667,0.0345306396484375,-0.1565093994140625,-1.276962280273438,0
2020-03-12 17:34:05.298 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.3100041667,0.0662078857421875,-0.14080810546875,-1.323394775390625,0
2020-03-12 17:34:05.322 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.3400886251,0.1248016357421875,-0.0911102294921875,-1.381790161132812,0
2020-03-12 17:34:05.356 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.3701726251,0.26910400390625,-0.00048828125,-1.46844482421875,0
2020-03-12 17:34:05.382 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,602569.400256625,0.4134521484375,0.02215576171875,-1.370574951171875,0
