loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 00:15:32.859 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102313.92844025,-0.0318450927734375,-0.295623779296875,-0.949188232421875,2
2020-03-05 00:15:32.920 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102313.98813425,-0.037200927734375,-0.2795867919921875,-0.9475860595703125,2
2020-03-05 00:15:32.981 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.04782925,-0.0672607421875,-0.2822723388671875,-0.923492431640625,2
2020-03-05 00:15:33.043 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.10752325,-0.1042022705078125,-0.2725067138671875,-0.9411773681640625,2
2020-03-05 00:15:33.103 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.16721725,-0.125640869140625,-0.2819061279296875,-1.003280639648438,2
2020-03-05 00:15:33.161 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.22691225,-0.0933685302734375,-0.290252685546875,-1.020233154296875,2
2020-03-05 00:15:33.226 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.28660625,-0.029266357421875,-0.2889862060546875,-1.08416748046875,2
2020-03-05 00:15:33.282 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.34630125,0.012847900390625,-0.2669525146484375,-1.075790405273438,2
2020-03-05 00:15:33.343 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.40599525,0.03936767578125,-0.27471923828125,-1.04888916015625,2
2020-03-05 00:15:33.404 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.46568925,0.0630950927734375,-0.295989990234375,-0.9760284423828125,2
2020-03-05 00:15:33.462 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.52538425,0.056793212890625,-0.3158416748046875,-0.943634033203125,2
2020-03-05 00:15:33.522 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.58507825,0.0641021728515625,-0.32208251953125,-0.8517913818359375,2
2020-03-05 00:15:33.584 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.64477325,0.048675537109375,-0.3511505126953125,-0.8151397705078125,2
2020-03-05 00:15:33.644 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.70446725,0.0218963623046875,-0.3577117919921875,-0.795928955078125,2
2020-03-05 00:15:33.702 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.76416125,-0.03753662109375,-0.3443603515625,-0.808135986328125,2
2020-03-05 00:15:33.764 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.82385625,-0.121337890625,-0.3779296875,-0.863616943359375,2
2020-03-05 00:15:33.825 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.88355025,-0.1351470947265625,-0.357421875,-0.9443359375,2
2020-03-05 00:15:33.883 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102314.94324525,-0.1016082763671875,-0.3280029296875,-1.019058227539062,2
2020-03-05 00:15:33.943 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.00293925,-0.0392913818359375,-0.308990478515625,-1.050857543945312,2
2020-03-05 00:15:34.003 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.06263325,0.01580810546875,-0.2975616455078125,-0.96014404296875,2
2020-03-05 00:15:34.063 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.12232825,0.0162200927734375,-0.2801055908203125,-0.888580322265625,2
2020-03-05 00:15:34.122 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.18202225,-0.0025177001953125,-0.268524169921875,-0.8148956298828125,2
2020-03-05 00:15:34.183 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.24171625,-0.0284271240234375,-0.2709503173828125,-0.8396453857421875,2
2020-03-05 00:15:34.238 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.30141125,-0.0160980224609375,-0.2469024658203125,-0.864532470703125,2
2020-03-05 00:15:34.298 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.36110525,-0.06304931640625,-0.2784576416015625,-0.9886016845703125,2
2020-03-05 00:15:34.359 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.42080025,-0.0448455810546875,-0.248992919921875,-1.048721313476562,2
2020-03-05 00:15:34.406 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.48049425,-0.027923583984375,-0.2125701904296875,-1.138717651367188,2
2020-03-05 00:15:34.478 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.54018825,-0.0603790283203125,-0.21551513671875,-1.097808837890625,2
2020-03-05 00:15:34.525 -0800,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.59988325,-0.0149078369140625,-0.189483642578125,-1.08477783203125,2
2020-03-05 00:15:34.586 -0800,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,102315.65957725,-0.0981597900390625,-0.24078369140625,-1.063613891601562,2
