loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:14:19.683 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.445224375,-0.045135498046875,-0.082427978515625,-0.9615631103515625,0
2020-03-13 13:14:19.714 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.4753073751,-0.029266357421875,-0.09033203125,-0.994354248046875,0
2020-03-13 13:14:19.744 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.505391375,0.0055694580078125,-0.095733642578125,-1.022491455078125,0
2020-03-13 13:14:19.774 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.535474375,-0.009674072265625,-0.0716400146484375,-1.050613403320312,0
2020-03-13 13:14:19.810 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.5655583751,-0.0418853759765625,-0.067901611328125,-1.006027221679688,0
2020-03-13 13:14:19.834 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.5956413751,0.00360107421875,-0.06524658203125,-1.017791748046875,0
2020-03-13 13:14:19.864 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.625725375,0.0111846923828125,-0.0548248291015625,-1.0477294921875,0
2020-03-13 13:14:19.894 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.65581225,-0.015625,-0.0456695556640625,-1.032363891601562,0
2020-03-13 13:14:19.924 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.6858952501,-0.02447509765625,-0.049957275390625,-0.986663818359375,0
2020-03-13 13:14:19.954 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.71597925,0.0048065185546875,-0.047088623046875,-0.9471435546875,0
2020-03-13 13:14:19.984 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.74606225,0.0218963623046875,-0.0353851318359375,-0.9715728759765625,0
2020-03-13 13:14:20.015 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,625160.7761462501,0.0183563232421875,-0.0246124267578125,-1.000244140625,0
