loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 23:26:48.255 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.36742012501,-0.0166778564453125,-0.4141693115234375,-0.9132080078125,2
2020-03-04 23:26:48.314 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.42711212501,-0.0219573974609375,-0.40869140625,-0.87066650390625,2
2020-03-04 23:26:48.374 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.486804125,-0.0213470458984375,-0.3979949951171875,-0.823394775390625,2
2020-03-04 23:26:48.434 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.54649612501,-0.020416259765625,-0.366424560546875,-0.7688140869140625,2
2020-03-04 23:26:48.493 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.60618712501,-0.0180511474609375,-0.3597412109375,-0.7869873046875,2
2020-03-04 23:26:48.553 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.66587912501,-0.0314788818359375,-0.3478851318359375,-0.88165283203125,2
2020-03-04 23:26:48.613 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.725571125,-0.0487518310546875,-0.3558197021484375,-1.001968383789062,2
2020-03-04 23:26:48.673 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.785263125,-0.0512237548828125,-0.3485107421875,-1.122634887695312,2
2020-03-04 23:26:48.734 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.84495512501,0.00897216796875,-0.3459014892578125,-1.098663330078125,2
2020-03-04 23:26:48.792 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.904647125,0.0699615478515625,-0.316131591796875,-1.014129638671875,2
2020-03-04 23:26:48.852 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99389.964339125,0.0781402587890625,-0.2755126953125,-0.9797821044921875,2
2020-03-04 23:26:48.911 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.02403112501,0.049652099609375,-0.288787841796875,-0.924041748046875,2
2020-03-04 23:26:48.971 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.08372225001,0.0238189697265625,-0.26025390625,-0.9532318115234375,2
2020-03-04 23:26:49.031 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.14341325,-0.0055389404296875,-0.2732391357421875,-0.9372100830078125,2
2020-03-04 23:26:49.090 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.20310525001,-0.062835693359375,-0.2573394775390625,-0.9957122802734375,2
2020-03-04 23:26:49.151 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.26279725,-0.0887298583984375,-0.2542877197265625,-0.995941162109375,2
2020-03-04 23:26:49.210 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.32248925,-0.1076507568359375,-0.2515716552734375,-0.978973388671875,2
2020-03-04 23:26:49.270 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.38218125001,-0.07672119140625,-0.23406982421875,-0.9540252685546875,2
2020-03-04 23:26:49.329 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.44187325001,-0.079833984375,-0.234710693359375,-0.905181884765625,2
2020-03-04 23:26:49.389 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.50156525,-0.084625244140625,-0.20965576171875,-0.83319091796875,2
2020-03-04 23:26:49.451 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.56125725001,-0.06146240234375,-0.199188232421875,-0.9431915283203125,2
2020-03-04 23:26:49.508 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.62094825001,-0.03863525390625,-0.173583984375,-0.957305908203125,2
2020-03-04 23:26:49.568 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.68064025001,0.0489501953125,-0.2291412353515625,-1.124252319335938,2
2020-03-04 23:26:49.628 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.74033225,0.0863800048828125,-0.22039794921875,-1.101760864257812,2
2020-03-04 23:26:49.687 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.80002425001,0.0597076416015625,-0.1893157958984375,-1.12823486328125,2
2020-03-04 23:26:49.747 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.85971625001,0.052215576171875,-0.1889190673828125,-1.053939819335938,2
2020-03-04 23:26:49.807 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.91940825,0.0166473388671875,-0.1748809814453125,-1.02801513671875,2
2020-03-04 23:26:49.867 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99390.97910025001,-0.031951904296875,-0.185150146484375,-1.065078735351562,2
