loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 22:56:09.659 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97657.99389541667,-0.0196685791015625,-0.292694091796875,-0.969757080078125,0
2020-03-04 22:56:09.718 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.05359641668,0.00689697265625,-0.275115966796875,-0.9337005615234375,0
2020-03-04 22:56:09.777 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.11329841668,0.00213623046875,-0.29425048828125,-0.914031982421875,0
2020-03-04 22:56:09.837 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.17300041667,-0.0041351318359375,-0.2733306884765625,-0.86920166015625,0
2020-03-04 22:56:09.896 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.23270241667,-0.008331298828125,-0.2867584228515625,-0.77001953125,0
2020-03-04 22:56:09.956 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.29240341668,-0.0142059326171875,-0.2410125732421875,-0.8524017333984375,0
2020-03-04 22:56:10.020 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.35210541668,-0.0188446044921875,-0.2255706787109375,-0.8510894775390625,0
2020-03-04 22:56:10.076 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.411807625,-0.00274658203125,-0.19061279296875,-1.039779663085938,0
2020-03-04 22:56:10.136 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.471509625,0.003875732421875,-0.162078857421875,-1.2186279296875,0
2020-03-04 22:56:10.195 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.53121062501,-0.032257080078125,-0.168548583984375,-1.205093383789062,0
2020-03-04 22:56:10.255 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.590912625,-0.03680419921875,-0.17095947265625,-1.156158447265625,0
2020-03-04 22:56:10.314 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.650614625,-0.0925445556640625,-0.15655517578125,-1.071640014648438,0
2020-03-04 22:56:10.374 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.710316625,-0.098480224609375,-0.12396240234375,-1.025192260742188,0
2020-03-04 22:56:10.435 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.77001762501,-0.103179931640625,-0.1251068115234375,-0.96783447265625,0
2020-03-04 22:56:10.494 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.82971962501,-0.0229644775390625,-0.131591796875,-0.986236572265625,0
2020-03-04 22:56:10.553 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.889421625,0.052520751953125,-0.13201904296875,-1.003021240234375,0
2020-03-04 22:56:10.613 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97658.949123625,0.076812744140625,-0.1714324951171875,-1.017623901367188,0
2020-03-04 22:56:10.673 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97659.00882462501,0.072174072265625,-0.175262451171875,-0.9889068603515625,0
2020-03-04 22:56:10.736 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97659.06852662501,0.0219879150390625,-0.1844940185546875,-0.97607421875,0
2020-03-04 22:56:10.792 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,97659.12822862501,-0.00653076171875,-0.1822662353515625,-0.994781494140625,0
