loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:32:19.899 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.6616816251,0.067413330078125,-0.0548553466796875,-0.996185302734375,0
2020-03-13 13:32:19.932 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.691765625,0.0376129150390625,-0.0467071533203125,-1.102157592773438,0
2020-03-13 13:32:19.958 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.721849625,0.046112060546875,-0.0644683837890625,-1.033966064453125,0
2020-03-13 13:32:19.995 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.7519336251,0.073516845703125,-0.12066650390625,-1.006759643554688,0
2020-03-13 13:32:20.018 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.7820176251,0.073760986328125,-0.1097259521484375,-0.999725341796875,0
2020-03-13 13:32:20.057 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.812101625,0.08154296875,-0.0625152587890625,-0.967132568359375,0
2020-03-13 13:32:20.078 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.842185625,0.089508056640625,-0.05706787109375,-0.96221923828125,0
2020-03-13 13:32:20.117 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.8722696251,0.076263427734375,-0.0577850341796875,-1.040328979492188,0
2020-03-13 13:32:20.138 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.902353625,0.10089111328125,-0.07464599609375,-1.0484619140625,0
2020-03-13 13:32:20.178 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.932437625,0.0972747802734375,-0.1260833740234375,-1.00958251953125,0
2020-03-13 13:32:20.198 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.962521625,0.0719757080078125,-0.20233154296875,-1.251602172851562,0
2020-03-13 13:32:20.237 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,626240.9926056251,0.076141357421875,-0.2093658447265625,-1.511276245117188,0
2020-03-13 13:32:20.259 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.022689625,0.0767669677734375,-0.1765594482421875,-1.62152099609375,0
2020-03-13 13:32:20.297 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.052773625,0.00299072265625,-0.1555023193359375,-1.67108154296875,0
2020-03-13 13:32:20.319 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.0828576251,-0.0370941162109375,-0.1519622802734375,-1.693893432617188,0
2020-03-13 13:32:20.358 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.1129416251,-0.076324462890625,-0.105621337890625,-1.401565551757812,0
2020-03-13 13:32:20.379 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.143025625,-0.1004791259765625,-0.11480712890625,-1.189468383789062,0
2020-03-13 13:32:20.417 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.173109625,-0.0709228515625,-0.07318115234375,-1.032943725585938,0
2020-03-13 13:32:20.439 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.2031946251,-0.01422119140625,-0.02789306640625,-0.7820281982421875,0
2020-03-13 13:32:20.477 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.2332786251,-0.027740478515625,-0.0381622314453125,-0.6632843017578125,0
2020-03-13 13:32:20.499 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.263362625,-0.09649658203125,-0.011749267578125,-0.630279541015625,0
2020-03-13 13:32:20.537 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.293446625,-0.0809478759765625,-0.08355712890625,-0.357879638671875,0
2020-03-13 13:32:20.559 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.3235306251,-0.0525360107421875,-0.1197967529296875,-0.2678375244140625,0
2020-03-13 13:32:20.599 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.3536146251,-0.0988006591796875,-0.1401214599609375,-0.34808349609375,0
2020-03-13 13:32:20.620 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.383698625,-0.124237060546875,-0.1465301513671875,-0.2341766357421875,0
2020-03-13 13:32:20.658 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.413782625,-0.13922119140625,-0.177490234375,-0.1271209716796875,0
2020-03-13 13:32:20.680 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.4438666251,-0.163848876953125,-0.186737060546875,-0.3767242431640625,0
2020-03-13 13:32:20.718 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.473950625,-0.1955108642578125,-0.137420654296875,-0.528076171875,0
2020-03-13 13:32:20.740 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.504034625,-0.144805908203125,-0.113739013671875,-0.63751220703125,0
2020-03-13 13:32:20.778 -0700,30,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.534118625,-0.125274658203125,-0.12762451171875,-0.788299560546875,0
2020-03-13 13:32:20.800 -0700,31,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.5642026251,-0.092193603515625,-0.0911712646484375,-0.979400634765625,0
2020-03-13 13:32:20.837 -0700,32,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.59429,0.003753662109375,-0.05987548828125,-1.060012817382812,0
2020-03-13 13:32:20.860 -0700,33,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.624374,-0.013916015625,-0.12664794921875,-1.200027465820312,0
2020-03-13 13:32:20.897 -0700,34,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.6544580001,0.009796142578125,-0.1579132080078125,-1.253982543945312,0
2020-03-13 13:32:20.921 -0700,35,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.6845420001,0.116912841796875,-0.1688079833984375,-1.387603759765625,0
2020-03-13 13:32:20.956 -0700,36,78C976E1-270D-4701-AAC5-034656C6C0A8,626241.714626,0.1156158447265625,-0.1678619384765625,-1.544036865234375,0
