loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-26 19:00:03.024 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.6164082501,0.0568695068359375,-0.4550628662109375,-0.9076995849609375,0
2020-02-26 19:00:03.083 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.6761002501,0.0008087158203125,-0.4549102783203125,-0.8610382080078125,0
2020-02-26 19:00:03.143 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.73579225,-0.0167236328125,-0.4514312744140625,-0.7484283447265625,0
2020-02-26 19:00:03.203 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.7954842501,-0.126373291015625,-0.42041015625,-0.6589813232421875,0
2020-02-26 19:00:03.263 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.8551762501,-0.216033935546875,-0.34307861328125,-0.5908660888671875,0
2020-02-26 19:00:03.322 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.91486825,-0.2542877197265625,-0.2107696533203125,-0.5927734375,0
2020-02-26 19:00:03.382 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936144.9745602501,-0.1663970947265625,-0.0717620849609375,-0.8135223388671875,0
2020-02-26 19:00:03.441 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.0342522501,-0.021636962890625,0.053863525390625,-1.17205810546875,0
2020-02-26 19:00:03.501 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.0939431668,0.0494232177734375,-0.024261474609375,-1.575241088867188,0
2020-02-26 19:00:03.561 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.1536361667,-0.08502197265625,-0.1740264892578125,-1.803024291992188,0
2020-02-26 19:00:03.621 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.2133281667,-0.1376190185546875,-0.18145751953125,-1.663742065429688,0
2020-02-26 19:00:03.680 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.2730201667,-0.132843017578125,-0.1208953857421875,-1.417556762695312,0
2020-02-26 19:00:03.740 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.3327121667,-0.1067352294921875,-0.086944580078125,-1.03021240234375,0
2020-02-26 19:00:03.800 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.3924041667,0.0059661865234375,-0.1342315673828125,-0.7077178955078125,0
2020-02-26 19:00:03.859 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.4520961667,0.00286865234375,-0.2000274658203125,-0.5150146484375,0
2020-02-26 19:00:03.919 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.5117881667,0.05145263671875,-0.355926513671875,-0.354522705078125,0
2020-02-26 19:00:03.979 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.5714801667,0.1697540283203125,-0.460235595703125,-0.319580078125,0
2020-02-26 19:00:04.038 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.6311721667,0.2574615478515625,-0.4989166259765625,-0.4311370849609375,0
2020-02-26 19:00:04.098 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.6908651667,0.271820068359375,-0.2965850830078125,-0.6864776611328125,0
2020-02-26 19:00:04.158 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.7505571668,0.0098419189453125,-0.237640380859375,-0.95123291015625,0
2020-02-26 19:00:04.218 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.8102491667,-0.1794281005859375,-0.218170166015625,-1.33880615234375,0
2020-02-26 19:00:04.277 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.8699411667,-0.1893310546875,-0.2313385009765625,-1.419509887695312,0
2020-02-26 19:00:04.337 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.9296331668,-0.2224578857421875,-0.287506103515625,-1.280960083007812,0
2020-02-26 19:00:04.397 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936145.9893251667,-0.0671844482421875,-0.2471466064453125,-1.123764038085938,0
2020-02-26 19:00:04.456 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936146.0490171667,0.004364013671875,-0.2324981689453125,-0.965423583984375,0
2020-02-26 19:00:04.516 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936146.1087087917,-0.01153564453125,-0.25494384765625,-0.928497314453125,0
2020-02-26 19:00:04.576 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936146.1684007917,0.0517730712890625,-0.2510528564453125,-0.8726959228515625,0
2020-02-26 19:00:04.635 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,936146.2280927917,0.0049591064453125,-0.29815673828125,-0.937286376953125,0
