loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-02-26 18:22:30.718 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.3391321667,0.04693603515625,-0.3320770263671875,-0.83428955078125,0
2020-02-26 18:22:30.778 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.3988221667,0.04205322265625,-0.3339080810546875,-0.7111968994140625,0
2020-02-26 18:22:30.837 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.4585131668,0.03216552734375,-0.261962890625,-0.5622100830078125,0
2020-02-26 18:22:30.897 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.5182031668,-0.1312103271484375,-0.1920623779296875,-0.681121826171875,0
2020-02-26 18:22:30.957 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.5778941667,-0.33892822265625,-0.1865081787109375,-0.9912261962890625,0
2020-02-26 18:22:31.017 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.6375841667,-0.43292236328125,-0.3071441650390625,-1.70550537109375,0
2020-02-26 18:22:31.076 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.6972751667,-0.120025634765625,-0.3447723388671875,-1.837982177734375,0
2020-02-26 18:22:31.136 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.7569651668,0.02813720703125,-0.2047271728515625,-1.326492309570312,0
2020-02-26 18:22:31.196 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.8166561667,0.0552978515625,-0.122039794921875,-0.6947784423828125,0
2020-02-26 18:22:31.255 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.8763461667,0.1077728271484375,-0.147918701171875,-0.358062744140625,0
2020-02-26 18:22:31.315 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.9360361667,0.115264892578125,-0.1312255859375,-0.32708740234375,0
2020-02-26 18:22:31.375 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933892.9957271668,-0.0273895263671875,-0.133087158203125,-0.4775543212890625,0
2020-02-26 18:22:31.434 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.0554165001,-0.0449371337890625,-0.0491485595703125,-0.85113525390625,0
2020-02-26 18:22:31.494 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.1151075001,0.0943756103515625,-0.09014892578125,-1.264175415039062,0
2020-02-26 18:22:31.554 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.1747975,-0.0632476806640625,-0.1935577392578125,-1.645797729492188,0
2020-02-26 18:22:31.613 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.2344885,-0.121002197265625,-0.1411285400390625,-1.703720092773438,0
2020-02-26 18:22:31.673 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.2941785001,-0.1316375732421875,-0.141387939453125,-1.487457275390625,0
2020-02-26 18:22:31.733 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.3538695001,-0.166900634765625,-0.0576934814453125,-1.151138305664062,0
2020-02-26 18:22:31.792 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.4135595,-0.1883544921875,-0.1338653564453125,-0.800811767578125,0
2020-02-26 18:22:31.852 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.4732495,-0.1634674072265625,-0.1873779296875,-0.594635009765625,0
2020-02-26 18:22:31.912 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.5329405001,-0.0475921630859375,-0.237823486328125,-0.5950927734375,0
2020-02-26 18:22:31.971 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.5926305001,-0.0282440185546875,-0.297821044921875,-0.80523681640625,0
2020-02-26 18:22:32.031 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,933893.6523215,-0.0513763427734375,-0.39447021484375,-0.973114013671875,0
