loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:10:24.334 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.326763625,0.0140380859375,-0.0958099365234375,-1.016571044921875,0
2020-03-12 17:10:24.352 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.356847625,0.002838134765625,-0.100250244140625,-1.005264282226562,0
2020-03-12 17:10:24.383 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.3869306251,0.0350189208984375,-0.114013671875,-1.014572143554688,0
2020-03-12 17:10:24.415 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.417013625,0.024505615234375,-0.1133575439453125,-1.018997192382812,0
2020-03-12 17:10:24.444 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.447096625,0.013275146484375,-0.1192779541015625,-1.001174926757812,0
2020-03-12 17:10:24.472 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.4771806251,0.0117950439453125,-0.0941925048828125,-1.011306762695312,0
2020-03-12 17:10:24.505 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.507263625,0.0136260986328125,-0.0835723876953125,-1.013595581054688,0
2020-03-12 17:10:24.532 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.537346625,0.0081787109375,-0.08770751953125,-0.9903564453125,0
2020-03-12 17:10:24.565 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.5674306251,0.0106201171875,-0.0962371826171875,-1.002395629882812,0
2020-03-12 17:10:24.592 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.597513625,0.0081787109375,-0.099029541015625,-1.008392333984375,0
2020-03-12 17:10:24.630 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.627596625,0.0095672607421875,-0.08990478515625,-1.0029296875,0
2020-03-12 17:10:24.652 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.657680625,0.0153656005859375,-0.1031951904296875,-1.021499633789062,0
2020-03-12 17:10:24.691 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.6877636251,0.0088958740234375,-0.11175537109375,-1.03887939453125,0
2020-03-12 17:10:24.713 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.717846625,-0.004608154296875,-0.1162567138671875,-1.059646606445312,0
2020-03-12 17:10:24.747 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.747930625,-0.02496337890625,-0.14739990234375,-1.11260986328125,0
2020-03-12 17:10:24.773 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.7780136251,-0.02490234375,-0.1900634765625,-1.156051635742188,0
2020-03-12 17:10:24.809 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.808096625,-0.049163818359375,-0.2028045654296875,-1.204391479492188,0
2020-03-12 17:10:24.833 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.838180625,-0.0495758056640625,-0.2312774658203125,-1.278167724609375,0
2020-03-12 17:10:24.871 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.8682636251,-0.062286376953125,-0.2334747314453125,-1.318893432617188,0
2020-03-12 17:10:24.893 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.898346625,-0.071807861328125,-0.2128753662109375,-1.286788940429688,0
2020-03-12 17:10:24.929 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.928430625,-0.0792083740234375,-0.177276611328125,-1.253860473632812,0
2020-03-12 17:10:24.953 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.9585136251,-0.067474365234375,-0.1588897705078125,-1.248077392578125,0
2020-03-12 17:10:24.990 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,601148.988596625,-0.08233642578125,-0.1455230712890625,-1.105056762695312,0
2020-03-12 17:10:25.014 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.018680625,-0.10113525390625,-0.1383819580078125,-0.9853973388671875,0
2020-03-12 17:10:25.050 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.04876775,-0.1033935546875,-0.155120849609375,-0.942138671875,0
2020-03-12 17:10:25.074 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.07885075,-0.103759765625,-0.1581573486328125,-0.896240234375,0
2020-03-12 17:10:25.109 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.1089347501,-0.092193603515625,-0.176544189453125,-0.884979248046875,0
2020-03-12 17:10:25.134 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.13901775,-0.061676025390625,-0.1699981689453125,-0.869049072265625,0
2020-03-12 17:10:25.171 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.16910075,-0.061920166015625,-0.1698150634765625,-0.874542236328125,0
2020-03-12 17:10:25.194 -0700,30,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.1991847501,-0.049468994140625,-0.183380126953125,-0.8798065185546875,0
2020-03-12 17:10:25.229 -0700,31,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.2292677501,-0.0381011962890625,-0.1947021484375,-0.8211669921875,0
2020-03-12 17:10:25.254 -0700,32,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.25935075,-0.015655517578125,-0.23382568359375,-0.7536163330078125,0
2020-03-12 17:10:25.289 -0700,33,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.28943475,-0.08062744140625,-0.2456512451171875,-0.7406158447265625,0
2020-03-12 17:10:25.314 -0700,34,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.3195177501,-0.075469970703125,-0.2374725341796875,-0.721282958984375,0
2020-03-12 17:10:25.350 -0700,35,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.34960075,-0.0438995361328125,-0.265411376953125,-0.6733245849609375,0
2020-03-12 17:10:25.375 -0700,36,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.37968475,-0.064453125,-0.2848968505859375,-0.6854095458984375,0
2020-03-12 17:10:25.409 -0700,37,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.4097677501,-0.1159515380859375,-0.2948760986328125,-0.6740570068359375,0
2020-03-12 17:10:25.435 -0700,38,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.43985075,-0.130157470703125,-0.293548583984375,-0.6590728759765625,0
2020-03-12 17:10:25.470 -0700,39,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.46993475,-0.144805908203125,-0.2840576171875,-0.7031707763671875,0
2020-03-12 17:10:25.495 -0700,40,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.5000177501,-0.1546630859375,-0.2695465087890625,-0.7197265625,0
2020-03-12 17:10:25.529 -0700,41,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.53010075,-0.182159423828125,-0.2282257080078125,-0.727874755859375,0
2020-03-12 17:10:25.555 -0700,42,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.56018475,-0.186676025390625,-0.2243499755859375,-0.7625274658203125,0
2020-03-12 17:10:25.590 -0700,43,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.5902677501,-0.17327880859375,-0.2165679931640625,-0.80462646484375,0
2020-03-12 17:10:25.615 -0700,44,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.62035075,-0.1320037841796875,-0.194091796875,-0.85455322265625,0
2020-03-12 17:10:25.649 -0700,45,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.65043475,-0.1060333251953125,-0.198211669921875,-0.89227294921875,0
2020-03-12 17:10:25.675 -0700,46,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.6805177501,-0.115264892578125,-0.178558349609375,-0.9045257568359375,0
2020-03-12 17:10:25.708 -0700,47,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.7106007501,-0.1089935302734375,-0.1413726806640625,-0.9115447998046875,0
2020-03-12 17:10:25.736 -0700,48,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.74068475,-0.0712738037109375,-0.12060546875,-0.960052490234375,0
2020-03-12 17:10:25.770 -0700,49,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.77076775,-0.1125946044921875,-0.1107635498046875,-0.93304443359375,0
2020-03-12 17:10:25.796 -0700,50,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.8008507501,-0.1128082275390625,-0.138214111328125,-0.973297119140625,0
2020-03-12 17:10:25.830 -0700,51,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.83093475,-0.123992919921875,-0.105560302734375,-1.029998779296875,0
2020-03-12 17:10:25.856 -0700,52,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.86101775,-0.127532958984375,-0.0837249755859375,-1.101760864257812,0
2020-03-12 17:10:25.890 -0700,53,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.8911007501,-0.0755615234375,-0.06585693359375,-1.177719116210938,0
2020-03-12 17:10:25.916 -0700,54,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.92118475,-0.038665771484375,-0.0099029541015625,-1.213638305664062,0
2020-03-12 17:10:25.950 -0700,55,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.95126775,-0.0393218994140625,-0.019500732421875,-1.24847412109375,0
2020-03-12 17:10:25.976 -0700,56,78C976E1-270D-4701-AAC5-034656C6C0A8,601149.9813507501,-0.0233917236328125,-0.039642333984375,-1.255050659179688,0
2020-03-12 17:10:26.011 -0700,57,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.01143475,-0.0360107421875,-0.0055084228515625,-1.207489013671875,0
2020-03-12 17:10:26.036 -0700,58,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.041514,-0.03717041015625,0.000732421875,-1.211700439453125,0
2020-03-12 17:10:26.068 -0700,59,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.071597,-0.042327880859375,-0.0034637451171875,-1.20684814453125,0
2020-03-12 17:10:26.097 -0700,60,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.1016810001,-0.0608978271484375,-0.0137939453125,-1.146530151367188,0
2020-03-12 17:10:26.130 -0700,61,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.131764,-0.04541015625,0.0098114013671875,-1.066482543945312,0
2020-03-12 17:10:26.157 -0700,62,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.161847,-0.040313720703125,0.0186004638671875,-1.12078857421875,0
2020-03-12 17:10:26.192 -0700,63,78C976E1-270D-4701-AAC5-034656C6C0A8,601150.191931,-0.0505828857421875,0.0115203857421875,-1.087051391601562,0
