loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-12 17:29:50.461 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.4648053751,0.2953338623046875,-0.3826751708984375,-0.743560791015625,0
2020-03-12 17:29:50.479 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.4948893751,0.2322845458984375,-0.388519287109375,-0.815093994140625,0
2020-03-12 17:29:50.508 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.524973375,0.25445556640625,-0.3942413330078125,-0.8282623291015625,0
2020-03-12 17:29:50.538 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.555057375,0.3317413330078125,-0.3664093017578125,-0.8972015380859375,0
2020-03-12 17:29:50.568 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.5851413751,0.324920654296875,-0.3264617919921875,-0.937255859375,0
2020-03-12 17:29:50.598 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.615225375,0.319061279296875,-0.3286285400390625,-0.86627197265625,0
2020-03-12 17:29:50.628 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.645310375,0.332763671875,-0.3133087158203125,-0.7915802001953125,0
2020-03-12 17:29:50.658 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.675394375,0.359893798828125,-0.2266998291015625,-0.8008575439453125,0
2020-03-12 17:29:50.688 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.7054783751,0.353973388671875,-0.1564178466796875,-0.8507537841796875,0
2020-03-12 17:29:50.718 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.735562375,0.3353118896484375,-0.129852294921875,-0.890869140625,0
2020-03-12 17:29:50.749 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.765646375,0.31463623046875,-0.0877838134765625,-0.903350830078125,0
2020-03-12 17:29:50.779 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.795730375,0.2498779296875,-0.0550689697265625,-0.891510009765625,0
2020-03-12 17:29:50.809 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.8258143751,0.2825164794921875,-0.058990478515625,-0.9522857666015625,0
2020-03-12 17:29:50.839 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.855898375,0.2578887939453125,-0.07183837890625,-1.028167724609375,0
2020-03-12 17:29:50.869 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.885983375,0.206146240234375,-0.0730438232421875,-1.034576416015625,0
2020-03-12 17:29:50.899 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.916067375,0.20733642578125,-0.0895538330078125,-0.9993896484375,0
2020-03-12 17:29:50.929 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.9461513751,0.2257843017578125,-0.1045989990234375,-0.9318695068359375,0
2020-03-12 17:29:50.959 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,602314.976235375,0.177001953125,-0.114349365234375,-0.979583740234375,0
2020-03-12 17:29:50.989 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,602315.006319375,0.0939788818359375,-0.1091461181640625,-1.016265869140625,0
2020-03-12 17:29:51.019 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,602315.036403375,0.1022186279296875,-0.1250457763671875,-0.98565673828125,0
2020-03-12 17:29:51.049 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,602315.0664873751,0.12054443359375,-0.09002685546875,-0.9648590087890625,0
2020-03-12 17:29:51.079 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,602315.0965751667,0.0450286865234375,-0.070220947265625,-0.9359130859375,0
