loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:42:46.674 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.4445854167,0.0641326904296875,-0.13250732421875,-0.939056396484375,0
2020-03-13 13:42:46.704 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.4746694167,0.048370361328125,-0.1280364990234375,-0.9546356201171875,0
2020-03-13 13:42:46.735 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.5047524167,0.09368896484375,-0.1223602294921875,-1.008346557617188,0
2020-03-13 13:42:46.764 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.5348354167,0.0760345458984375,-0.10308837890625,-0.99822998046875,0
2020-03-13 13:42:46.795 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.5649194167,0.07135009765625,-0.0858917236328125,-0.978973388671875,0
2020-03-13 13:42:46.824 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.5950024168,0.0767059326171875,-0.10015869140625,-0.9952850341796875,0
2020-03-13 13:42:46.873 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.6250854167,0.0519866943359375,-0.1036224365234375,-0.978240966796875,0
2020-03-13 13:42:46.884 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.6551694167,0.058837890625,-0.0877532958984375,-0.9987030029296875,0
2020-03-13 13:42:46.915 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.6852524168,0.0645904541015625,-0.0753326416015625,-1.077041625976562,0
2020-03-13 13:42:46.944 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.7153354167,0.066650390625,-0.07501220703125,-1.14752197265625,0
2020-03-13 13:42:46.975 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.7454194167,0.0824127197265625,-0.0931549072265625,-1.225875854492188,0
2020-03-13 13:42:47.005 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.7755024167,0.0776824951171875,-0.0956878662109375,-1.348281860351562,0
2020-03-13 13:42:47.035 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.8055864167,0.0316009521484375,-0.0829925537109375,-1.352737426757812,0
2020-03-13 13:42:47.065 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.8356694167,0.049102783203125,-0.07696533203125,-1.398391723632812,0
2020-03-13 13:42:47.096 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.8657524167,-0.0087127685546875,-0.0774688720703125,-1.529251098632812,0
2020-03-13 13:42:47.125 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.8958364167,-0.0676116943359375,-0.0619354248046875,-1.40087890625,0
2020-03-13 13:42:47.169 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.9259194167,-0.05316162109375,-0.0815277099609375,-1.358062744140625,0
2020-03-13 13:42:47.185 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.9560024167,-0.046722412109375,-0.1045074462890625,-1.340377807617188,0
2020-03-13 13:42:47.235 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,626867.9860864168,0.004241943359375,-0.079071044921875,-1.306854248046875,0
2020-03-13 13:42:47.245 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.0161694167,-0.0250701904296875,-0.1021270751953125,-1.11767578125,0
2020-03-13 13:42:47.293 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.0462524167,-0.0279083251953125,-0.110809326171875,-0.9317169189453125,0
2020-03-13 13:42:47.305 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.0763364166,-0.014892578125,-0.1367950439453125,-0.746612548828125,0
2020-03-13 13:42:47.335 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.1064194167,0.0034332275390625,-0.164398193359375,-0.630889892578125,0
2020-03-13 13:42:47.366 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.1365024167,-0.029632568359375,-0.197052001953125,-0.4911346435546875,0
2020-03-13 13:42:47.410 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.1665867501,-0.06201171875,-0.2892913818359375,-0.4835968017578125,0
2020-03-13 13:42:47.426 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.19666975,-0.0927886962890625,-0.31207275390625,-0.472259521484375,0
2020-03-13 13:42:47.472 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.22675275,-0.1754302978515625,-0.3513031005859375,-0.58734130859375,0
2020-03-13 13:42:47.486 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.2568367501,-0.2235870361328125,-0.368408203125,-0.655914306640625,0
2020-03-13 13:42:47.532 -0700,29,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.28691975,-0.2476348876953125,-0.400299072265625,-0.7153167724609375,0
2020-03-13 13:42:47.546 -0700,30,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.31700275,-0.268890380859375,-0.380767822265625,-0.7381744384765625,0
2020-03-13 13:42:47.593 -0700,31,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.3470867501,-0.2465362548828125,-0.3551788330078125,-0.7416839599609375,0
2020-03-13 13:42:47.606 -0700,32,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.37716975,-0.1670684814453125,-0.330108642578125,-0.68609619140625,0
2020-03-13 13:42:47.652 -0700,33,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.40725275,-0.0648345947265625,-0.3395538330078125,-0.612213134765625,0
2020-03-13 13:42:47.666 -0700,34,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.4373367501,0.061248779296875,-0.3548431396484375,-0.5708160400390625,0
2020-03-13 13:42:47.713 -0700,35,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.4674197501,0.1544952392578125,-0.366790771484375,-0.595977783203125,0
2020-03-13 13:42:47.727 -0700,36,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.49750275,0.199615478515625,-0.37249755859375,-0.573974609375,0
2020-03-13 13:42:47.772 -0700,37,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.52758675,0.277191162109375,-0.36962890625,-0.5922088623046875,0
2020-03-13 13:42:47.787 -0700,38,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.5576697501,0.3559112548828125,-0.37506103515625,-0.5770263671875,0
2020-03-13 13:42:47.832 -0700,39,78C976E1-270D-4701-AAC5-034656C6C0A8,626868.58775275,0.44500732421875,-0.3187408447265625,-0.63262939453125,0
