loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:51:41.240 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.0140542501,0.1143646240234375,-0.1673126220703125,-0.9886627197265625,0
2020-03-13 13:51:41.271 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.0441392501,0.0814971923828125,-0.1767578125,-0.9918060302734375,0
2020-03-13 13:51:41.301 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.07422325,0.079345703125,-0.157806396484375,-1.043609619140625,0
2020-03-13 13:51:41.331 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.10430725,0.1074676513671875,-0.1574554443359375,-1.052093505859375,0
2020-03-13 13:51:41.361 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.1343912501,0.102752685546875,-0.150665283203125,-0.957855224609375,0
2020-03-13 13:51:41.406 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.1644762501,0.0895233154296875,-0.142791748046875,-0.9590911865234375,0
2020-03-13 13:51:41.421 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.19456025,0.0901336669921875,-0.12939453125,-0.971343994140625,0
2020-03-13 13:51:41.468 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.22464425,0.1019134521484375,-0.1199493408203125,-0.947418212890625,0
2020-03-13 13:51:41.481 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.2547282501,0.12249755859375,-0.1231842041015625,-0.9520263671875,0
2020-03-13 13:51:41.529 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.2848132501,0.12835693359375,-0.106719970703125,-1.005889892578125,0
2020-03-13 13:51:41.541 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,627402.31489725,0.1052703857421875,-0.1238555908203125,-1.043426513671875,0
