loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 13:57:01.635 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.4113222917,0.0022125244140625,-0.189544677734375,-0.96319580078125,0
2020-03-13 13:57:01.668 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.4414062917,0.0012359619140625,-0.15618896484375,-1.016098022460938,0
2020-03-13 13:57:01.695 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.4714892918,0.0119171142578125,-0.177825927734375,-1.050201416015625,0
2020-03-13 13:57:01.725 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.5015732917,0.0140838623046875,-0.18511962890625,-1.032760620117188,0
2020-03-13 13:57:01.756 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.5316562917,0.052734375,-0.204315185546875,-1.001983642578125,0
2020-03-13 13:57:01.787 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.5617402917,0.0569305419921875,-0.2501373291015625,-1.016021728515625,0
2020-03-13 13:57:01.819 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.5918242917,0.08758544921875,-0.2789306640625,-1.105255126953125,0
2020-03-13 13:57:01.847 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.6219072917,0.10955810546875,-0.2671356201171875,-1.2757568359375,0
2020-03-13 13:57:01.876 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.6519912917,0.1609344482421875,-0.2208709716796875,-1.347122192382812,0
2020-03-13 13:57:01.908 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.6820742917,0.1954803466796875,-0.1991424560546875,-1.350509643554688,0
2020-03-13 13:57:01.936 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.7121582917,0.217498779296875,-0.1918182373046875,-1.3411865234375,0
2020-03-13 13:57:01.969 -0700,12,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.7422422917,0.1991424560546875,-0.171600341796875,-1.260467529296875,0
2020-03-13 13:57:01.996 -0700,13,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.7723252916,0.1775970458984375,-0.11859130859375,-1.13665771484375,0
2020-03-13 13:57:02.028 -0700,14,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.8024092917,0.185028076171875,-0.0977325439453125,-1.034637451171875,0
2020-03-13 13:57:02.056 -0700,15,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.8324932917,0.1555023193359375,-0.11773681640625,-0.88671875,0
2020-03-13 13:57:02.088 -0700,16,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.8625762917,0.1607818603515625,-0.1277923583984375,-0.744354248046875,0
2020-03-13 13:57:02.120 -0700,17,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.8926602917,0.12518310546875,-0.1571807861328125,-0.6403045654296875,0
2020-03-13 13:57:02.147 -0700,18,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.92274325,0.0579681396484375,-0.19537353515625,-0.6452178955078125,0
2020-03-13 13:57:02.177 -0700,19,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.95282725,-0.0089874267578125,-0.2271881103515625,-0.5732269287109375,0
2020-03-13 13:57:02.208 -0700,20,78C976E1-270D-4701-AAC5-034656C6C0A8,627722.9829112501,-0.009429931640625,-0.23565673828125,-0.523101806640625,0
2020-03-13 13:57:02.237 -0700,21,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.01299425,-0.1058349609375,-0.2502288818359375,-0.53875732421875,0
2020-03-13 13:57:02.268 -0700,22,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.04307825,-0.1678924560546875,-0.2795257568359375,-0.5174407958984375,0
2020-03-13 13:57:02.297 -0700,23,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.07316225,-0.1444854736328125,-0.322265625,-0.60552978515625,0
2020-03-13 13:57:02.328 -0700,24,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.1032452501,-0.17767333984375,-0.4123077392578125,-0.751861572265625,0
2020-03-13 13:57:02.357 -0700,25,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.13332925,-0.265380859375,-0.4397735595703125,-0.722869873046875,0
2020-03-13 13:57:02.389 -0700,26,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.16341225,-0.289886474609375,-0.436492919921875,-0.883270263671875,0
2020-03-13 13:57:02.421 -0700,27,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.1934962501,-0.2844085693359375,-0.4489288330078125,-1.053115844726562,0
2020-03-13 13:57:02.448 -0700,28,78C976E1-270D-4701-AAC5-034656C6C0A8,627723.2235802501,-0.2495269775390625,-0.4557037353515625,-1.129257202148438,0
