loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-13 20:53:04.222 -0700,1,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.548979875,0.0499725341796875,-0.2416839599609375,-0.8843994140625,0
2020-03-13 20:53:04.240 -0700,2,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.579065875,0.002532958984375,-0.2139434814453125,-0.930023193359375,0
2020-03-13 20:53:04.270 -0700,3,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.609150875,-0.0399932861328125,-0.229248046875,-1.036026000976562,0
2020-03-13 20:53:04.300 -0700,4,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.639236875,-0.08111572265625,-0.23443603515625,-1.042266845703125,0
2020-03-13 20:53:04.330 -0700,5,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.6693228751,-0.1683349609375,-0.21649169921875,-1.023712158203125,0
2020-03-13 20:53:04.361 -0700,6,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.6994078751,-0.276275634765625,-0.195068359375,-0.9895782470703125,0
2020-03-13 20:53:04.393 -0700,7,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.7294938751,-0.3607177734375,-0.154388427734375,-0.9919891357421875,0
2020-03-13 20:53:04.421 -0700,8,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.759578875,-0.4413299560546875,-0.0968780517578125,-1.007293701171875,0
2020-03-13 20:53:04.452 -0700,9,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.789664875,-0.4788055419921875,-0.0689697265625,-1.00543212890625,0
2020-03-13 20:53:04.481 -0700,10,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.819749875,-0.4439239501953125,-0.0673065185546875,-0.97259521484375,0
2020-03-13 20:53:04.515 -0700,11,78C976E1-270D-4701-AAC5-034656C6C0A8,651478.8498358751,-0.4163360595703125,-0.058746337890625,-0.975616455078125,0
