loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:19:39.110 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.1287411667,0.036834716796875,-0.31658935546875,-0.959808349609375,0
2020-03-05 18:19:39.170 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.1884321667,0.0730743408203125,-0.33135986328125,-0.9681243896484375,0
2020-03-05 18:19:39.230 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.2481241667,0.086883544921875,-0.3238677978515625,-0.9454345703125,0
2020-03-05 18:19:39.289 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.3078161667,0.0616455078125,-0.319305419921875,-0.931182861328125,0
2020-03-05 18:19:39.349 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.3675071667,0.0707855224609375,-0.297393798828125,-0.8929901123046875,0
2020-03-05 18:19:39.409 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.4271991667,0.029815673828125,-0.29888916015625,-0.8866424560546875,0
2020-03-05 18:19:39.469 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.4868901667,-0.0049285888671875,-0.2751922607421875,-0.89093017578125,0
2020-03-05 18:19:39.528 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.546582125,-0.0574493408203125,-0.2779998779296875,-0.8605804443359375,0
2020-03-05 18:19:39.588 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.606274125,-0.138336181640625,-0.277618408203125,-0.957275390625,0
2020-03-05 18:19:39.648 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.665965125,-0.119415283203125,-0.2169036865234375,-0.9833831787109375,0
2020-03-05 18:19:39.707 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.725657125,-0.1214447021484375,-0.2252044677734375,-1.006210327148438,0
2020-03-05 18:19:39.767 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.785348125,-0.099639892578125,-0.2016448974609375,-1.013595581054688,0
2020-03-05 18:19:39.827 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.845040125,-0.0492706298828125,-0.197723388671875,-1.066253662109375,0
2020-03-05 18:19:39.886 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.904732125,-0.0063018798828125,-0.195831298828125,-1.088241577148438,0
2020-03-05 18:19:39.946 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139456.964423125,0.0153350830078125,-0.1842193603515625,-1.052993774414062,0
2020-03-05 18:19:40.006 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139457.024115125,0.029266357421875,-0.1717529296875,-1.03887939453125,0
2020-03-05 18:19:40.065 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139457.083806125,0.016265869140625,-0.1949920654296875,-1.033004760742188,0
