loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 23:25:47.498 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.601056,-0.0211334228515625,-0.3767547607421875,-0.9322357177734375,2
2020-03-04 23:25:47.547 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.66074800001,-0.0074005126953125,-0.3614654541015625,-0.9161834716796875,2
2020-03-04 23:25:47.607 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.72044,-0.0128631591796875,-0.3729095458984375,-0.875244140625,2
2020-03-04 23:25:47.667 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.780132,-0.017486572265625,-0.3602294921875,-0.841461181640625,2
2020-03-04 23:25:47.727 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.83982400001,-0.0312652587890625,-0.32440185546875,-0.8389892578125,2
2020-03-04 23:25:47.786 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.899516,-0.02423095703125,-0.34625244140625,-0.8185577392578125,2
2020-03-04 23:25:47.846 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99328.95920700001,-0.039031982421875,-0.3161773681640625,-0.939697265625,2
2020-03-04 23:25:47.906 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.018899,-0.0367584228515625,-0.2964324951171875,-1.041900634765625,2
2020-03-04 23:25:47.965 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.07859154168,-0.0260162353515625,-0.3035125732421875,-1.028701782226562,2
2020-03-04 23:25:48.025 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.13828354167,-0.017120361328125,-0.2789154052734375,-1.060348510742188,2
2020-03-04 23:25:48.084 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.19797554167,0.0246124267578125,-0.27008056640625,-1.063980102539062,2
2020-03-04 23:25:48.144 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.25766754168,0.05609130859375,-0.2479705810546875,-1.0030517578125,2
2020-03-04 23:25:48.204 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.31735954167,0.112579345703125,-0.230072021484375,-0.9516754150390625,2
2020-03-04 23:25:48.264 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.37705154167,0.062469482421875,-0.2212677001953125,-0.967864990234375,2
2020-03-04 23:25:48.323 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.43674254167,0.0088043212890625,-0.213623046875,-0.98297119140625,2
2020-03-04 23:25:48.383 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.49643454167,-0.0688018798828125,-0.2279205322265625,-0.9896087646484375,2
2020-03-04 23:25:48.443 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.55612654168,-0.0971221923828125,-0.219635009765625,-0.9993896484375,2
2020-03-04 23:25:48.502 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.61581854167,-0.1179351806640625,-0.2276611328125,-0.96044921875,2
2020-03-04 23:25:48.562 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.67551054167,-0.1268463134765625,-0.2145233154296875,-0.9229583740234375,2
2020-03-04 23:25:48.622 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.73520254168,-0.130157470703125,-0.1852874755859375,-0.91265869140625,2
2020-03-04 23:25:48.682 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.79489454167,-0.054779052734375,-0.16033935546875,-0.9583740234375,2
2020-03-04 23:25:48.741 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.85458654167,-0.0216522216796875,-0.1845245361328125,-0.9556884765625,2
2020-03-04 23:25:48.801 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.91427854168,0.05426025390625,-0.1769256591796875,-1.061843872070312,2
2020-03-04 23:25:48.861 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99329.97396954168,0.101654052734375,-0.1970062255859375,-1.07763671875,2
2020-03-04 23:25:48.920 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99330.03366100001,0.0604248046875,-0.203857421875,-1.119049072265625,2
2020-03-04 23:25:48.980 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99330.093353,0.06756591796875,-0.1677093505859375,-1.033767700195312,2
2020-03-04 23:25:49.040 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99330.153045,0.02117919921875,-0.164337158203125,-1.019317626953125,2
2020-03-04 23:25:49.099 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,99330.21273700001,-0.015716552734375,-0.1984405517578125,-1.00762939453125,2
