loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 16:40:42.024 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.372978125,-0.0139617919921875,-0.191131591796875,-1.004302978515625,0
2020-03-05 16:40:42.080 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.432665125,0.0066680908203125,-0.20233154296875,-1.003387451171875,0
2020-03-05 16:40:42.140 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.492352125,-0.048675537109375,-0.1969757080078125,-0.96533203125,0
2020-03-05 16:40:42.199 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.552038125,-0.0693817138671875,-0.199249267578125,-0.908477783203125,0
2020-03-05 16:40:42.260 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.611725125,-0.0558929443359375,-0.1770782470703125,-0.8559112548828125,0
2020-03-05 16:40:42.320 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.671412125,-0.0713348388671875,-0.1562042236328125,-0.835357666015625,0
2020-03-05 16:40:42.380 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.731099125,-0.042266845703125,-0.1176300048828125,-0.8870697021484375,0
2020-03-05 16:40:42.438 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.790786125,0.002197265625,-0.101837158203125,-0.978118896484375,0
2020-03-05 16:40:42.500 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.850473125,-0.021148681640625,-0.0928497314453125,-1.031097412109375,0
2020-03-05 16:40:42.558 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.910160125,-0.006072998046875,-0.07403564453125,-1.08331298828125,0
2020-03-05 16:40:42.620 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133789.969846125,0.019989013671875,-0.1037139892578125,-1.30108642578125,0
2020-03-05 16:40:42.682 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.029533125,-0.0175323486328125,-0.091705322265625,-1.271270751953125,0
2020-03-05 16:40:42.740 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.089220125,-0.07037353515625,-0.069305419921875,-1.24114990234375,0
2020-03-05 16:40:42.799 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.148907125,-0.0457611083984375,-0.0827484130859375,-1.094741821289062,0
2020-03-05 16:40:42.859 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.208594125,-0.0267791748046875,-0.103271484375,-0.984954833984375,0
2020-03-05 16:40:42.919 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.268278,-0.00146484375,-0.1110687255859375,-0.8816375732421875,0
2020-03-05 16:40:42.979 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.327964,0.02154541015625,-0.1573638916015625,-0.8670806884765625,0
2020-03-05 16:40:43.035 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.387651,0.0323486328125,-0.1623382568359375,-0.862518310546875,0
2020-03-05 16:40:43.094 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.447338,0.00567626953125,-0.20428466796875,-0.8720703125,0
2020-03-05 16:40:43.156 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133790.507025,-0.0037841796875,-0.2289276123046875,-0.9397125244140625,0
