loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 12:50:26.477 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.12093079167,0.02691650390625,-0.142669677734375,-0.9904632568359375,0
2020-04-13 12:50:26.524 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.18061779167,0.0494232177734375,-0.1234588623046875,-1.007293701171875,0
2020-04-13 12:50:26.584 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.24030579167,0.0499420166015625,-0.1221160888671875,-1.038543701171875,0
2020-04-13 12:50:26.643 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.29999379167,0.0405731201171875,-0.148651123046875,-1.05255126953125,0
2020-04-13 12:50:26.703 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.35968079167,0.02935791015625,-0.140716552734375,-1.08734130859375,0
2020-04-13 12:50:26.763 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.41936879167,0.009857177734375,-0.153076171875,-1.085372924804688,0
2020-04-13 12:50:26.823 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.479056375,0.0265045166015625,-0.165618896484375,-1.11407470703125,0
2020-04-13 12:50:26.885 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.538743375,-0.0139923095703125,-0.1783294677734375,-1.099380493164062,0
2020-04-13 12:50:26.942 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.598431375,0.009735107421875,-0.172088623046875,-1.025238037109375,0
2020-04-13 12:50:27.002 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.658119375,0.0051727294921875,-0.170684814453125,-1.03826904296875,0
2020-04-13 12:50:27.061 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.717806375,0.025054931640625,-0.1861419677734375,-0.9839630126953125,0
2020-04-13 12:50:27.121 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.777494375,0.0338134765625,-0.2207183837890625,-0.9343109130859375,0
2020-04-13 12:50:27.181 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.83718137501,0.0336456298828125,-0.2532196044921875,-0.907958984375,0
2020-04-13 12:50:27.241 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.896869375,0.005950927734375,-0.283447265625,-0.8835296630859375,0
2020-04-13 12:50:27.300 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34791.956557375,0.0125274658203125,-0.3028564453125,-0.81243896484375,0
2020-04-13 12:50:27.360 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.016244375,0.0245208740234375,-0.3319549560546875,-0.831573486328125,0
2020-04-13 12:50:27.419 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.075932375,0.0350341796875,-0.3416748046875,-0.762451171875,0
2020-04-13 12:50:27.479 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.135620375,0.009857177734375,-0.3564300537109375,-0.802398681640625,0
2020-04-13 12:50:27.539 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.195307375,0.0219879150390625,-0.380767822265625,-0.7623291015625,0
2020-04-13 12:50:27.598 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.254995375,-0.014434814453125,-0.355560302734375,-0.7971649169921875,0
2020-04-13 12:50:27.658 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.314683375,-0.04412841796875,-0.3228607177734375,-0.8140716552734375,0
2020-04-13 12:50:27.718 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.374370375,-0.0691070556640625,-0.2818756103515625,-0.815460205078125,0
2020-04-13 12:50:27.777 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.434058375,-0.0547943115234375,-0.256927490234375,-0.9103240966796875,0
2020-04-13 12:50:27.837 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.493745625,-0.0416259765625,-0.25274658203125,-0.9290771484375,0
2020-04-13 12:50:27.897 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.55343362501,-0.05413818359375,-0.2064971923828125,-0.9892578125,0
2020-04-13 12:50:27.956 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.613121625,-0.005615234375,-0.164581298828125,-1.041122436523438,0
2020-04-13 12:50:28.016 -1000,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.672808625,0.03045654296875,-0.171112060546875,-1.076980590820312,0
2020-04-13 12:50:28.076 -1000,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.732496625,0.034271240234375,-0.1181793212890625,-1.127182006835938,0
2020-04-13 12:50:28.136 -1000,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.792184625,0.044158935546875,-0.1607666015625,-1.1065673828125,0
2020-04-13 12:50:28.195 -1000,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.851871625,0.0263671875,-0.13055419921875,-1.166168212890625,0
2020-04-13 12:50:28.255 -1000,31,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,34792.911559625,0.016876220703125,-0.156951904296875,-1.0699462890625,0
