loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:11:17.226 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.2512297917,0.019195556640625,-0.3028717041015625,-0.8852996826171875,0
2020-03-05 18:11:17.290 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.3109177917,0.0202789306640625,-0.288116455078125,-0.847564697265625,0
2020-03-05 18:11:17.349 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.3706057917,0.018463134765625,-0.2777099609375,-0.834625244140625,0
2020-03-05 18:11:17.411 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.4302947917,-0.0120391845703125,-0.258026123046875,-0.8723297119140625,0
2020-03-05 18:11:17.471 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.4899827917,-0.028961181640625,-0.236907958984375,-0.90081787109375,0
2020-03-05 18:11:17.532 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.5496707917,-0.0198974609375,-0.2283172607421875,-0.9883575439453125,0
2020-03-05 18:11:17.591 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.6093597917,-0.04425048828125,-0.1761627197265625,-1.009597778320312,0
2020-03-05 18:11:17.652 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.6690477917,-0.0653076171875,-0.1760406494140625,-1.04229736328125,0
2020-03-05 18:11:17.710 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.7287357917,-0.0703125,-0.1234893798828125,-1.015548706054688,0
2020-03-05 18:11:17.770 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.7884247917,-0.086700439453125,-0.13800048828125,-1.087982177734375,0
2020-03-05 18:11:17.832 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.8481127917,-0.06292724609375,-0.1072998046875,-1.110870361328125,0
2020-03-05 18:11:17.891 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.9078017917,-0.0771942138671875,-0.0825653076171875,-1.087783813476562,0
2020-03-05 18:11:17.951 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138954.9674897917,-0.04840087890625,-0.1301116943359375,-1.117904663085938,0
2020-03-05 18:11:18.011 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.0271777917,0.0267181396484375,-0.11151123046875,-1.067108154296875,0
2020-03-05 18:11:18.072 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.08686775,0.0805816650390625,-0.091766357421875,-1.12274169921875,0
2020-03-05 18:11:18.131 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.14655575,0.1094970703125,-0.10101318359375,-1.040084838867188,0
2020-03-05 18:11:18.194 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.20624375,0.1104736328125,-0.1227874755859375,-1.003677368164062,0
2020-03-05 18:11:18.249 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.26593275,0.12689208984375,-0.1211090087890625,-1.003936767578125,0
2020-03-05 18:11:18.312 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.32562075,0.10296630859375,-0.152496337890625,-0.994659423828125,0
2020-03-05 18:11:18.373 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.38530975,0.0287017822265625,-0.17218017578125,-0.895751953125,0
2020-03-05 18:11:18.430 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.44499775,-0.021453857421875,-0.21746826171875,-0.92095947265625,0
2020-03-05 18:11:18.493 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.50468575,-0.031463623046875,-0.22308349609375,-0.8637542724609375,0
2020-03-05 18:11:18.554 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.56437475,-0.0486297607421875,-0.2141876220703125,-0.9048004150390625,0
2020-03-05 18:11:18.610 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.62406275,-0.0218048095703125,-0.1920318603515625,-0.9492340087890625,0
2020-03-05 18:11:18.669 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,138955.68375175,-0.0292816162109375,-0.1884307861328125,-0.98370361328125,0
