loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:20:41.733 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139518.7453375,-0.005035400390625,-0.299102783203125,-0.9588623046875,0
2020-03-05 18:20:41.788 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139518.8050295,0.0207977294921875,-0.2987060546875,-0.9572296142578125,0
2020-03-05 18:20:41.847 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139518.8647215,0.0555267333984375,-0.296844482421875,-0.9698333740234375,0
2020-03-05 18:20:41.907 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139518.9244135,0.0752105712890625,-0.3072967529296875,-0.9981536865234375,0
2020-03-05 18:20:41.967 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139518.9841055,0.080841064453125,-0.3033447265625,-0.93841552734375,0
2020-03-05 18:20:42.026 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.0437965,0.0714263916015625,-0.2909088134765625,-0.9088134765625,0
2020-03-05 18:20:42.086 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.1034885,0.050048828125,-0.2882843017578125,-0.8810577392578125,0
2020-03-05 18:20:42.146 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.1631805,0.0287933349609375,-0.2673492431640625,-0.87225341796875,0
2020-03-05 18:20:42.206 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.2228725,-0.036041259765625,-0.2586517333984375,-0.8704071044921875,0
2020-03-05 18:20:42.265 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.2825645,-0.0883331298828125,-0.2181854248046875,-0.9223175048828125,0
2020-03-05 18:20:42.325 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.3422565,-0.146270751953125,-0.20703125,-0.93536376953125,0
2020-03-05 18:20:42.385 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.4019475,-0.1485443115234375,-0.1829681396484375,-1.017471313476562,0
2020-03-05 18:20:42.444 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.4616395,-0.133880615234375,-0.14990234375,-1.101470947265625,0
2020-03-05 18:20:42.504 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.5213315,-0.1213531494140625,-0.131622314453125,-1.186141967773438,0
2020-03-05 18:20:42.564 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.5810235,-0.0565185546875,-0.173858642578125,-1.18109130859375,0
2020-03-05 18:20:42.624 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.6407160417,0.0424346923828125,-0.161376953125,-1.09857177734375,0
2020-03-05 18:20:42.683 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.7004080417,0.067718505859375,-0.1879119873046875,-0.9644317626953125,0
2020-03-05 18:20:42.743 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.7600990417,0.0775146484375,-0.205596923828125,-0.942291259765625,0
2020-03-05 18:20:42.802 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,139519.8197910417,0.02392578125,-0.2258758544921875,-0.8986968994140625,0
