loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:45:04.662 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.657391375,-0.0399322509765625,-0.2081451416015625,-1.049163818359375,0
2020-03-05 18:45:04.722 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.717085375,-0.047393798828125,-0.1888275146484375,-1.236053466796875,0
2020-03-05 18:45:04.782 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.776779375,-0.02093505859375,-0.1856842041015625,-1.212631225585938,0
2020-03-05 18:45:04.841 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.8364741667,0.048431396484375,-0.2082672119140625,-1.137893676757812,0
2020-03-05 18:45:04.901 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.8961681667,0.0590667724609375,-0.2064208984375,-0.9385833740234375,0
2020-03-05 18:45:04.961 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140981.9558621667,0.0812225341796875,-0.2404937744140625,-0.8095550537109375,0
2020-03-05 18:45:05.020 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.0155561667,0.0841217041015625,-0.23492431640625,-0.7961883544921875,0
2020-03-05 18:45:05.080 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.0752501667,0.034088134765625,-0.2441864013671875,-0.6850738525390625,0
2020-03-05 18:45:05.140 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.1349441667,-0.089141845703125,-0.28619384765625,-0.6798248291015625,0
2020-03-05 18:45:05.199 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.1946381667,-0.0888519287109375,-0.2749786376953125,-0.7436370849609375,0
2020-03-05 18:45:05.259 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.2543321667,-0.0636749267578125,-0.2011566162109375,-0.8355712890625,0
2020-03-05 18:45:05.320 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.3140261667,-0.0852813720703125,-0.1783905029296875,-0.9298248291015625,0
2020-03-05 18:45:05.378 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.3737201667,-0.04278564453125,-0.2058258056640625,-1.00244140625,0
2020-03-05 18:45:05.439 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.4334141667,0.0242919921875,-0.2109375,-1.192031860351562,0
2020-03-05 18:45:05.499 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.4931081667,0.0368804931640625,-0.173858642578125,-1.165542602539062,0
2020-03-05 18:45:05.561 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.5528011667,0.0565032958984375,-0.1602935791015625,-1.170013427734375,0
2020-03-05 18:45:05.617 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.6124951667,0.0888214111328125,-0.144683837890625,-1.1268310546875,0
2020-03-05 18:45:05.681 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.6721891667,0.03369140625,-0.1118621826171875,-1.136993408203125,0
2020-03-05 18:45:05.742 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.7318831667,-0.0222015380859375,-0.0687713623046875,-0.9891204833984375,0
2020-03-05 18:45:05.799 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.7915771667,-0.11279296875,-0.070709228515625,-0.9178619384765625,0
2020-03-05 18:45:05.861 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.85127075,-0.1503143310546875,-0.074737548828125,-0.908782958984375,0
2020-03-05 18:45:05.919 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.91096475,-0.219573974609375,-0.07403564453125,-0.926483154296875,0
2020-03-05 18:45:05.979 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140982.97065875,-0.160888671875,-0.0654449462890625,-1.061294555664062,0
2020-03-05 18:45:06.041 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.03035275,-0.1378936767578125,-0.070465087890625,-1.019088745117188,0
2020-03-05 18:45:06.100 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.09004675,-0.0159759521484375,-0.1124725341796875,-1.011444091796875,0
2020-03-05 18:45:06.158 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.14974075,0.07513427734375,-0.1337890625,-0.9795379638671875,0
2020-03-05 18:45:06.222 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.20943475,0.1504669189453125,-0.1237945556640625,-1.069183349609375,0
2020-03-05 18:45:06.279 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.26912875,0.0949859619140625,-0.1350555419921875,-0.96783447265625,0
2020-03-05 18:45:06.338 -0800,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.32882275,0.0474700927734375,-0.172393798828125,-0.98175048828125,0
2020-03-05 18:45:06.399 -0800,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,140983.38851675,-0.01129150390625,-0.15789794921875,-0.97418212890625,0
