loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 18:56:33.905 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141670.879527375,0.0231170654296875,-0.2283935546875,-0.920928955078125,0
2020-03-05 18:56:33.954 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141670.939220375,0.04913330078125,-0.2171173095703125,-0.937469482421875,0
2020-03-05 18:56:34.014 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141670.998914375,0.0933074951171875,-0.189544677734375,-0.9715728759765625,0
2020-03-05 18:56:34.074 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.058607375,0.0795745849609375,-0.195709228515625,-1.0181884765625,0
2020-03-05 18:56:34.133 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.118300375,0.06890869140625,-0.1852569580078125,-1.0631103515625,0
2020-03-05 18:56:34.193 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.177993375,0.010223388671875,-0.219085693359375,-1.100845336914062,0
2020-03-05 18:56:34.253 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.237687375,-0.0026397705078125,-0.2004241943359375,-1.143692016601562,0
2020-03-05 18:56:34.313 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.297380375,-0.003265380859375,-0.1967926025390625,-1.093338012695312,0
2020-03-05 18:56:34.373 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.357073375,-0.0533905029296875,-0.23126220703125,-1.019210815429688,0
2020-03-05 18:56:34.432 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.416766375,-0.0495147705078125,-0.230560302734375,-1.008987426757812,0
2020-03-05 18:56:34.492 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.476459625,-0.0745849609375,-0.2398681640625,-0.9510040283203125,0
2020-03-05 18:56:34.551 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.536153625,-0.0738525390625,-0.2610931396484375,-0.9171142578125,0
2020-03-05 18:56:34.611 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.595846625,-0.04949951171875,-0.2788848876953125,-0.7899322509765625,0
2020-03-05 18:56:34.671 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.655539625,-0.038421630859375,-0.27447509765625,-0.693206787109375,0
2020-03-05 18:56:34.730 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.715232625,-0.027801513671875,-0.263671875,-0.696807861328125,0
2020-03-05 18:56:34.790 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.774925625,0.021392822265625,-0.1725311279296875,-0.7913665771484375,0
2020-03-05 18:56:34.850 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.834619625,0.0657958984375,-0.1966705322265625,-0.8191375732421875,0
2020-03-05 18:56:34.909 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.894312625,0.072357177734375,-0.1158447265625,-0.9352569580078125,0
2020-03-05 18:56:34.969 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141671.954005625,0.1260528564453125,-0.085174560546875,-1.013320922851562,0
2020-03-05 18:56:35.029 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.013698625,0.1153411865234375,-0.0581817626953125,-1.146987915039062,0
2020-03-05 18:56:35.091 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.073392625,0.125030517578125,-0.03619384765625,-1.262924194335938,0
2020-03-05 18:56:35.150 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.133085625,0.149078369140625,0.0193634033203125,-1.33685302734375,0
2020-03-05 18:56:35.210 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.192778625,0.0277557373046875,-0.026092529296875,-1.322097778320312,0
2020-03-05 18:56:35.268 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.252471625,-0.03424072265625,-0.0173492431640625,-1.229156494140625,0
2020-03-05 18:56:35.330 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.312164625,-0.1141357421875,-0.0323486328125,-1.15234375,0
2020-03-05 18:56:35.389 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,141672.371858625,-0.1470184326171875,-0.0372314453125,-1.0701904296875,0
