loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 00:06:47.370 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.4414417917,-0.04339599609375,-0.2660980224609375,-0.96087646484375,2
2020-03-05 00:06:47.420 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.5011357917,-0.0698699951171875,-0.2589569091796875,-0.9618682861328125,2
2020-03-05 00:06:47.479 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.5608297917,-0.10125732421875,-0.253662109375,-0.973236083984375,2
2020-03-05 00:06:47.539 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.6205237917,-0.1203155517578125,-0.242431640625,-0.9969329833984375,2
2020-03-05 00:06:47.599 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.6802167917,-0.1038665771484375,-0.252288818359375,-1.011428833007812,2
2020-03-05 00:06:47.659 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.7399107917,-0.0686187744140625,-0.2548828125,-1.052291870117188,2
2020-03-05 00:06:47.719 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.7996047917,-0.0096893310546875,-0.264801025390625,-1.069625854492188,2
2020-03-05 00:06:47.780 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.8592987917,0.04132080078125,-0.2752685546875,-1.077239990234375,2
2020-03-05 00:06:47.838 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.9189927917,0.0956878662109375,-0.265167236328125,-1.030715942382812,2
2020-03-05 00:06:47.897 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101788.9786857917,0.0978240966796875,-0.2930450439453125,-0.92633056640625,2
2020-03-05 00:06:47.956 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.0383797917,0.0626220703125,-0.3133697509765625,-0.8992767333984375,2
2020-03-05 00:06:48.016 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.0980737917,0.05316162109375,-0.3130340576171875,-0.8325653076171875,2
2020-03-05 00:06:48.076 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.1577677917,0.00311279296875,-0.337158203125,-0.8047637939453125,2
2020-03-05 00:06:48.135 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.2174617917,-0.02569580078125,-0.3511810302734375,-0.784698486328125,2
2020-03-05 00:06:48.195 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.2771540417,-0.048187255859375,-0.3483734130859375,-0.819427490234375,2
2020-03-05 00:06:48.255 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.3368480417,-0.1282196044921875,-0.3567047119140625,-0.8694305419921875,2
2020-03-05 00:06:48.315 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.3965420417,-0.15814208984375,-0.327362060546875,-0.9708709716796875,2
2020-03-05 00:06:48.374 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.4562360417,-0.12451171875,-0.2898101806640625,-0.997100830078125,2
2020-03-05 00:06:48.434 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.5159290417,-0.051971435546875,-0.2349395751953125,-0.9805450439453125,2
2020-03-05 00:06:48.494 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.5756230417,-0.0383758544921875,-0.2458038330078125,-0.8973846435546875,2
2020-03-05 00:06:48.553 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.6353170417,0.007568359375,-0.2534027099609375,-0.929046630859375,2
2020-03-05 00:06:48.613 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.6950110417,-0.0223846435546875,-0.2710723876953125,-1.001144409179688,2
2020-03-05 00:06:48.673 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.7547050417,-0.013031005859375,-0.254364013671875,-1.02532958984375,2
2020-03-05 00:06:48.732 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.8143980417,-0.0344696044921875,-0.2601470947265625,-1.047332763671875,2
2020-03-05 00:06:48.792 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.8740920417,-0.023681640625,-0.2445526123046875,-1.047561645507812,2
2020-03-05 00:06:48.852 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.9337860417,-0.018218994140625,-0.2279815673828125,-1.055252075195312,2
2020-03-05 00:06:48.911 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101789.9934800417,-0.0440826416015625,-0.2255706787109375,-0.9879913330078125,2
2020-03-05 00:06:48.971 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,101790.0531740417,-0.0525360107421875,-0.2288665771484375,-1.024856567382812,2
