loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:00:18.554 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.201878625,-0.0088958740234375,-0.234954833984375,-0.9798431396484375,0
2020-04-13 13:00:18.614 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.261571625,0.005615234375,-0.236175537109375,-0.9679412841796875,0
2020-04-13 13:00:18.673 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.321263625,-0.018524169921875,-0.240478515625,-0.9800262451171875,0
2020-04-13 13:00:18.733 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.38095662501,-0.00164794921875,-0.2348480224609375,-0.9481353759765625,0
2020-04-13 13:00:18.793 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.440648625,-0.01153564453125,-0.2408599853515625,-0.9183349609375,0
2020-04-13 13:00:18.852 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.500341625,-0.01507568359375,-0.2342376708984375,-0.8885498046875,0
2020-04-13 13:00:18.912 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.560033625,-0.021209716796875,-0.206817626953125,-0.8474884033203125,0
2020-04-13 13:00:18.972 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.619726625,-0.0199737548828125,-0.1827545166015625,-0.8838043212890625,0
2020-04-13 13:00:19.031 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.679418625,-0.027740478515625,-0.175445556640625,-0.9285888671875,0
2020-04-13 13:00:19.091 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.739111625,-0.01788330078125,-0.1397857666015625,-1.026275634765625,0
2020-04-13 13:00:19.151 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.798803625,-0.016876220703125,-0.1523895263671875,-1.091049194335938,0
2020-04-13 13:00:19.210 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.85849662501,-0.0214691162109375,-0.1310577392578125,-1.0999755859375,0
2020-04-13 13:00:19.270 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.918188625,-0.0126190185546875,-0.1265411376953125,-1.113265991210938,0
2020-04-13 13:00:19.330 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35383.977881625,-0.0105133056640625,-0.0949249267578125,-1.09503173828125,0
2020-04-13 13:00:19.390 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35384.03757729167,-0.00445556640625,-0.09698486328125,-1.0377197265625,0
2020-04-13 13:00:19.449 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35384.09727029167,0.0023956298828125,-0.084014892578125,-0.9948272705078125,0
2020-04-13 13:00:19.509 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35384.15696229167,0.0126190185546875,-0.087982177734375,-0.985260009765625,0
2020-04-13 13:00:19.569 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35384.21665529167,0.05560302734375,-0.08367919921875,-0.9534149169921875,0
2020-04-13 13:00:19.628 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35384.27634729167,0.0680694580078125,-0.096771240234375,-0.9384002685546875,0
