loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-04 22:12:29.484 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95037.860999625,0.0007171630859375,-0.18756103515625,-0.957489013671875,0
2020-03-04 22:12:29.544 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95037.920686625,0.0067291259765625,-0.1837921142578125,-0.97607421875,0
2020-03-04 22:12:29.604 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95037.98037262501,-0.0009765625,-0.187103271484375,-1.001007080078125,0
2020-03-04 22:12:29.663 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.04005962501,-0.02264404296875,-0.1807403564453125,-1.053268432617188,0
2020-03-04 22:12:29.723 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.099747,0.0018157958984375,-0.207275390625,-1.237411499023438,0
2020-03-04 22:12:29.786 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.159434,-0.0022735595703125,-0.2235107421875,-1.266311645507812,0
2020-03-04 22:12:29.842 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.219121,-0.011138916015625,-0.2049713134765625,-1.124404907226562,0
2020-03-04 22:12:29.902 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.27880700001,0.026214599609375,-0.192230224609375,-0.9554595947265625,0
2020-03-04 22:12:29.962 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.33849400001,0.0208282470703125,-0.20916748046875,-0.7960205078125,0
2020-03-04 22:12:30.021 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.39818100001,-0.009002685546875,-0.223297119140625,-0.77813720703125,0
2020-03-04 22:12:30.085 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.45786800001,-0.01483154296875,-0.27691650390625,-0.755584716796875,0
2020-03-04 22:12:30.141 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.517555,-0.074371337890625,-0.275115966796875,-0.932830810546875,0
2020-03-04 22:12:30.201 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.57724100001,-0.1347198486328125,-0.3082275390625,-0.9515838623046875,0
2020-03-04 22:12:30.260 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.63692800001,-0.1286773681640625,-0.3003082275390625,-0.9886474609375,0
2020-03-04 22:12:30.320 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.69661500001,-0.0698394775390625,-0.320831298828125,-0.8793792724609375,0
2020-03-04 22:12:30.380 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.75630200001,-0.0005340576171875,-0.2917633056640625,-0.8797149658203125,0
2020-03-04 22:12:30.439 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.81598900001,0.079437255859375,-0.2996063232421875,-0.811187744140625,0
2020-03-04 22:12:30.502 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.875675,0.167572021484375,-0.2768402099609375,-0.8367919921875,0
2020-03-04 22:12:30.559 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.935362,0.19683837890625,-0.2559814453125,-0.91229248046875,0
2020-03-04 22:12:30.618 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95038.995049,0.19158935546875,-0.2318878173828125,-1.034194946289062,0
2020-03-04 22:12:30.678 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.05473566668,0.1746368408203125,-0.189453125,-1.090240478515625,0
2020-03-04 22:12:30.738 -0800,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.11442266667,0.0876312255859375,-0.1719818115234375,-1.07562255859375,0
2020-03-04 22:12:30.797 -0800,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.17410966667,-0.02178955078125,-0.159423828125,-1.0867919921875,0
2020-03-04 22:12:30.857 -0800,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.23379566667,-0.12750244140625,-0.1621246337890625,-1.0482177734375,0
2020-03-04 22:12:30.919 -0800,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.29348266668,-0.1728363037109375,-0.1701202392578125,-0.9781951904296875,0
2020-03-04 22:12:30.976 -0800,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.35316966668,-0.1120452880859375,-0.1739044189453125,-0.9779205322265625,0
2020-03-04 22:12:31.036 -0800,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.41285666668,-0.012908935546875,-0.1630706787109375,-0.9878692626953125,0
2020-03-04 22:12:31.096 -0800,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.47254366668,0.0188751220703125,-0.1881561279296875,-0.964935302734375,0
2020-03-04 22:12:31.155 -0800,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,95039.53223066668,0.049530029296875,-0.1694793701171875,-0.9833526611328125,0
