loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-03-05 16:40:25.189 -0800,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.5413104167,0.00048828125,-0.20440673828125,-0.981475830078125,0
2020-03-05 16:40:25.248 -0800,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.6009964167,0.0012664794921875,-0.1817169189453125,-1.006881713867188,0
2020-03-05 16:40:25.308 -0800,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.6606834167,-0.0494537353515625,-0.207275390625,-0.8958587646484375,0
2020-03-05 16:40:25.367 -0800,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.7203704167,-0.070892333984375,-0.20343017578125,-0.8318634033203125,0
2020-03-05 16:40:25.427 -0800,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.7800564167,-0.076568603515625,-0.1423797607421875,-0.855255126953125,0
2020-03-05 16:40:25.487 -0800,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.8397434167,-0.052337646484375,-0.1220550537109375,-0.8754119873046875,0
2020-03-05 16:40:25.547 -0800,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.8994294167,-0.0028533935546875,-0.0855255126953125,-0.8850555419921875,0
2020-03-05 16:40:25.607 -0800,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133772.9591164167,-0.00396728515625,-0.0659637451171875,-0.9637451171875,0
2020-03-05 16:40:25.666 -0800,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.0188024167,0.058502197265625,-0.064239501953125,-1.125015258789062,0
2020-03-05 16:40:25.726 -0800,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.0784894167,0.0070648193359375,-0.0667877197265625,-1.318313598632812,0
2020-03-05 16:40:25.785 -0800,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.1381764167,-0.0284576416015625,-0.09124755859375,-1.31341552734375,0
2020-03-05 16:40:25.845 -0800,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.1978624167,-0.08416748046875,-0.0798797607421875,-1.2705078125,0
2020-03-05 16:40:25.905 -0800,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.2575494167,-0.0616302490234375,-0.0686492919921875,-1.180511474609375,0
2020-03-05 16:40:25.964 -0800,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.3172354167,-0.047882080078125,-0.077911376953125,-1.006423950195312,0
2020-03-05 16:40:26.024 -0800,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.3769224167,-0.0120697021484375,-0.1082916259765625,-0.86944580078125,0
2020-03-05 16:40:26.084 -0800,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.4366094167,0.0112457275390625,-0.1578826904296875,-0.8470001220703125,0
2020-03-05 16:40:26.143 -0800,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.4962954167,0.0487518310546875,-0.177490234375,-0.84832763671875,0
2020-03-05 16:40:26.203 -0800,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.5559824167,0.04022216796875,-0.2047271728515625,-0.842803955078125,0
2020-03-05 16:40:26.263 -0800,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.6156684167,0.0109405517578125,-0.2187347412109375,-0.9314727783203125,0
2020-03-05 16:40:26.322 -0800,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.6753554167,0.0311126708984375,-0.2319183349609375,-0.9362945556640625,0
2020-03-05 16:40:26.382 -0800,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,133773.7350414167,-0.0254669189453125,-0.2506866455078125,-1.001846313476562,0
