loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:08:57.879 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.513577125,0.035491943359375,-0.2334136962890625,-0.9831085205078125,0
2020-04-13 13:08:57.930 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.573271125,0.0360260009765625,-0.238983154296875,-0.980621337890625,0
2020-04-13 13:08:57.989 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.63296612501,0.02923583984375,-0.2420654296875,-0.97344970703125,0
2020-04-13 13:08:58.049 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.692660125,0.020660400390625,-0.23870849609375,-0.9316558837890625,0
2020-04-13 13:08:58.109 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.752354125,0.0343475341796875,-0.22845458984375,-0.8799896240234375,0
2020-04-13 13:08:58.168 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.812049125,0.006591796875,-0.21258544921875,-0.811981201171875,0
2020-04-13 13:08:58.228 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.871743125,0.023529052734375,-0.1640167236328125,-0.7826690673828125,0
2020-04-13 13:08:58.288 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.931437125,-0.0219573974609375,-0.146392822265625,-0.9078521728515625,0
2020-04-13 13:08:58.348 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35902.991132125,0.0725555419921875,-0.0736083984375,-0.9067840576171875,0
2020-04-13 13:08:58.407 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.050826125,-0.001190185546875,-0.068511962890625,-1.04058837890625,0
2020-04-13 13:08:58.467 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.110520125,0.037078857421875,-0.0460205078125,-1.091598510742188,0
2020-04-13 13:08:58.527 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.170215125,0.0517425537109375,-0.01409912109375,-1.183563232421875,0
2020-04-13 13:08:58.586 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.229909125,0.0082550048828125,-0.0594024658203125,-1.123626708984375,0
2020-04-13 13:08:58.646 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.28960312501,0.0430145263671875,-0.0294036865234375,-1.192947387695312,0
2020-04-13 13:08:58.706 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.349298125,0.0119781494140625,-0.0145416259765625,-1.175125122070312,0
2020-04-13 13:08:58.766 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.40899212501,0.014862060546875,-0.009552001953125,-1.193222045898438,0
2020-04-13 13:08:58.825 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.46868891667,0.0160980224609375,-0.0288848876953125,-1.130020141601562,0
2020-04-13 13:08:58.885 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.52838391667,0.0282440185546875,-0.039947509765625,-1.092910766601562,0
2020-04-13 13:08:58.944 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.58807791667,0.06292724609375,-0.0322418212890625,-1.027801513671875,0
2020-04-13 13:08:59.004 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.64777191667,0.0483551025390625,-0.0876617431640625,-0.9631195068359375,0
2020-04-13 13:08:59.064 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.70746691667,0.0649566650390625,-0.0941162109375,-0.923553466796875,0
2020-04-13 13:08:59.124 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.76716091667,0.0674896240234375,-0.143310546875,-0.8585968017578125,0
2020-04-13 13:08:59.183 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.82685491667,0.073211669921875,-0.1720428466796875,-0.83953857421875,0
2020-04-13 13:08:59.243 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.88654991667,0.0469512939453125,-0.1956787109375,-0.8282012939453125,0
2020-04-13 13:08:59.302 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35903.94624391667,0.0494842529296875,-0.2233734130859375,-0.8171539306640625,0
2020-04-13 13:08:59.362 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.00593891667,0.03424072265625,-0.1974945068359375,-0.8087005615234375,0
2020-04-13 13:08:59.422 -1000,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.06563291667,0.02178955078125,-0.2020416259765625,-0.855072021484375,0
2020-04-13 13:08:59.482 -1000,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.12532691667,0.0017242431640625,-0.1574249267578125,-0.8714752197265625,0
2020-04-13 13:08:59.541 -1000,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.18502091667,0.015960693359375,-0.11572265625,-0.978485107421875,0
2020-04-13 13:08:59.601 -1000,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.24471591667,0.0343170166015625,-0.109375,-1.005859375,0
2020-04-13 13:08:59.661 -1000,31,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.30440991667,-0.0113525390625,-0.086395263671875,-1.018310546875,0
2020-04-13 13:08:59.720 -1000,32,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35904.36410491667,0.0192108154296875,-0.074249267578125,-1.084152221679688,0
