loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-12 19:39:07.285 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.094726667,0.096435546875,-0.2088165283203125,-0.9779205322265625,0
2020-04-12 19:39:07.349 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.154416667,0.08441162109375,-0.1938629150390625,-0.9763336181640625,0
2020-04-12 19:39:07.394 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.214105667,0.08514404296875,-0.2059783935546875,-1.009719848632812,0
2020-04-12 19:39:07.455 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.273794667,0.0796356201171875,-0.2003631591796875,-0.9725494384765625,0
2020-04-12 19:39:07.515 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.333484667,0.0502166748046875,-0.224334716796875,-0.9731292724609375,0
2020-04-12 19:39:07.575 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.393173667,0.048065185546875,-0.2281036376953125,-0.9678192138671875,0
2020-04-12 19:39:07.634 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.452862667,0.0161285400390625,-0.2241668701171875,-0.9678192138671875,0
2020-04-12 19:39:07.693 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.512552667,0.0330047607421875,-0.2296905517578125,-0.9597930908203125,0
2020-04-12 19:39:07.754 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.572241667,0.0177001953125,-0.2176971435546875,-0.9086151123046875,0
2020-04-12 19:39:07.811 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.631930667,0.026702880859375,-0.2382659912109375,-0.9040069580078125,0
2020-04-12 19:39:07.871 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.691620667,0.0230560302734375,-0.213836669921875,-0.8548431396484375,0
2020-04-12 19:39:07.934 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.751309667,0.0863037109375,-0.227691650390625,-0.833099365234375,0
2020-04-12 19:39:07.991 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.810998667,0.0781402587890625,-0.20794677734375,-0.843048095703125,0
2020-04-12 19:39:08.050 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.870688667,0.0487823486328125,-0.2071990966796875,-0.835968017578125,0
2020-04-12 19:39:08.110 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.930377667,0.076507568359375,-0.16571044921875,-0.8791351318359375,0
2020-04-12 19:39:08.170 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651599.990066667,0.053680419921875,-0.182830810546875,-0.961700439453125,0
2020-04-12 19:39:08.229 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.049757,0.0743865966796875,-0.0709381103515625,-1.0146484375,0
2020-04-12 19:39:08.289 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.109446,0.0476531982421875,-0.059234619140625,-1.056747436523438,0
2020-04-12 19:39:08.349 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.169135,0.0657501220703125,-0.007354736328125,-1.095138549804688,0
2020-04-12 19:39:08.408 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.228825,0.0827484130859375,0.0360565185546875,-1.11956787109375,0
2020-04-12 19:39:08.468 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.288514,0.034423828125,0.0362091064453125,-1.189376831054688,0
2020-04-12 19:39:08.528 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.348204,-0.0242156982421875,0.0208892822265625,-1.193130493164062,0
2020-04-12 19:39:08.588 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.407893,-0.015167236328125,0.0525360107421875,-1.149154663085938,0
2020-04-12 19:39:08.647 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.467582,-0.0093536376953125,0.064666748046875,-1.075881958007812,0
2020-04-12 19:39:08.707 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.527272,-0.0204620361328125,0.0531005859375,-1.036163330078125,0
2020-04-12 19:39:08.767 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.586961,-0.0337066650390625,0.0359954833984375,-1.097061157226562,0
2020-04-12 19:39:08.826 -1000,27,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.64665,-0.0579833984375,0.0370330810546875,-1.109359741210938,0
2020-04-12 19:39:08.886 -1000,28,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.70634,-0.065765380859375,-0.0005645751953125,-1.126510620117188,0
2020-04-12 19:39:08.946 -1000,29,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.766029,-0.11627197265625,-0.07354736328125,-1.1163330078125,0
2020-04-12 19:39:09.005 -1000,30,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.825718,-0.08447265625,-0.0795440673828125,-1.0421142578125,0
2020-04-12 19:39:09.065 -1000,31,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.885408,-0.0841217041015625,-0.0800628662109375,-0.9170379638671875,0
2020-04-12 19:39:09.125 -1000,32,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651600.945097,-0.1180267333984375,-0.1053619384765625,-0.80963134765625,0
2020-04-12 19:39:09.184 -1000,33,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651601.004787,-0.07135009765625,-0.1240234375,-0.7343292236328125,0
2020-04-12 19:39:09.244 -1000,34,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651601.064475292,-0.009429931640625,-0.10577392578125,-0.66748046875,0
2020-04-12 19:39:09.304 -1000,35,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651601.124164292,0.079803466796875,-0.0997467041015625,-0.701202392578125,0
2020-04-12 19:39:09.363 -1000,36,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,1651601.183854292,0.0618438720703125,-0.0763397216796875,-0.789154052734375,0
