loggingTime(txt),loggingSample(N),identifierForVendor(txt),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),label(N)
2020-04-13 13:09:40.514 -1000,1,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.13532379167,0.0175933837890625,-0.2313232421875,-1.010421752929688,0
2020-04-13 13:09:40.553 -1000,2,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.19501879167,0.0215301513671875,-0.2391815185546875,-0.9915618896484375,0
2020-04-13 13:09:40.616 -1000,3,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.25471279167,0.02117919921875,-0.2249908447265625,-0.98077392578125,0
2020-04-13 13:09:40.679 -1000,4,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.31440679167,0.0313568115234375,-0.23223876953125,-0.917510986328125,0
2020-04-13 13:09:40.738 -1000,5,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.37410179167,0.0404205322265625,-0.2253875732421875,-0.8857421875,0
2020-04-13 13:09:40.801 -1000,6,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.43379579167,0.0419158935546875,-0.2205963134765625,-0.89703369140625,0
2020-04-13 13:09:40.860 -1000,7,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.49349079167,0.0351409912109375,-0.2032318115234375,-0.9073333740234375,0
2020-04-13 13:09:40.918 -1000,8,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.55318125,0.024383544921875,-0.16558837890625,-0.9284210205078125,0
2020-04-13 13:09:40.979 -1000,9,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.61287525,-0.0196685791015625,-0.1657562255859375,-0.9122772216796875,0
2020-04-13 13:09:41.039 -1000,10,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.67257025,0.0012054443359375,-0.1448822021484375,-0.9304351806640625,0
2020-04-13 13:09:41.099 -1000,11,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.73226425,-0.0133819580078125,-0.139617919921875,-0.9746856689453125,0
2020-04-13 13:09:41.158 -1000,12,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.79195825,-0.0172882080078125,-0.092132568359375,-1.047576904296875,0
2020-04-13 13:09:41.220 -1000,13,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.85165325,-0.0158843994140625,-0.076568603515625,-1.01397705078125,0
2020-04-13 13:09:41.278 -1000,14,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.91134725,-0.0339813232421875,-0.0226898193359375,-1.042953491210938,0
2020-04-13 13:09:41.338 -1000,15,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35945.97104125,-0.0253753662109375,-0.0055084228515625,-1.093902587890625,0
2020-04-13 13:09:41.400 -1000,16,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.03073625,-0.0625152587890625,-0.001007080078125,-1.185623168945312,0
2020-04-13 13:09:41.458 -1000,17,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.09043025001,-0.05657958984375,-0.0057373046875,-1.194808959960938,0
2020-04-13 13:09:41.522 -1000,18,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.15012425,-0.0417633056640625,-0.0116119384765625,-1.170913696289062,0
2020-04-13 13:09:41.576 -1000,19,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.20981925001,0.0009613037109375,-0.0219268798828125,-1.193435668945312,0
2020-04-13 13:09:41.633 -1000,20,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.26951325,0.016693115234375,-0.0606231689453125,-1.1236572265625,0
2020-04-13 13:09:41.698 -1000,21,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.32920825,0.072021484375,-0.087310791015625,-1.096908569335938,0
2020-04-13 13:09:41.758 -1000,22,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.38890225,0.04742431640625,-0.0881500244140625,-1.017135620117188,0
2020-04-13 13:09:41.822 -1000,23,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.44859625,0.037445068359375,-0.1309967041015625,-1.000411987304688,0
2020-04-13 13:09:41.880 -1000,24,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.50829129167,0.02008056640625,-0.1645050048828125,-0.890899658203125,0
2020-04-13 13:09:41.939 -1000,25,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.56798529167,0.0076904296875,-0.2099151611328125,-0.893157958984375,0
2020-04-13 13:09:42.000 -1000,26,AA7096C8-1371-4F44-9B1F-FADFAA8EE5E5,35946.62767929167,-0.00567626953125,-0.2162322998046875,-0.8066558837890625,0
